; Candidate 1324
; ADRP+ADD at VM 0xfffffff008352258 (fileoff 0x134e258): page=0x1fed51000 add_imm=0xd29

0xfffffff0083521d8: 0075c23d  ldr	q0, [x8, #0x9d0]
0xfffffff0083521dc: a042823c  stur	q0, [x21, #0x24]
0xfffffff0083521e0: 88078052  mov	w8, #0x3c
0xfffffff0083521e4: a80600b9  str	w8, [x21, #4]
0xfffffff0083521e8: e865ffb0  adrp	x8, #0xfffffff00700f000
0xfffffff0083521ec: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff0083521f0: a0c201fc  stur	d0, [x21, #0x1c]
0xfffffff0083521f4: bf4203f8  stur	xzr, [x21, #0x34]
0xfffffff0083521f8: 11000014  b	#0xfffffff00835223c
0xfffffff0083521fc: e00314aa  mov	x0, x20
0xfffffff008352200: 010080d2  mov	x1, #0
0xfffffff008352204: 03000014  b	#0xfffffff008352210
0xfffffff008352208: e00314aa  mov	x0, x20
0xfffffff00835220c: e10315aa  mov	x1, x21
0xfffffff008352210: df7d0394  bl	#0xfffffff00843198c
0xfffffff008352214: 13008052  mov	w19, #0
0xfffffff008352218: e865ffd0  adrp	x8, #0xfffffff007010000
0xfffffff00835221c: 00f5c23d  ldr	q0, [x8, #0xbd0]
0xfffffff008352220: c042823c  stur	q0, [x22, #0x24]
0xfffffff008352224: 88078052  mov	w8, #0x3c
0xfffffff008352228: c80600b9  str	w8, [x22, #4]
0xfffffff00835222c: e865ffb0  adrp	x8, #0xfffffff00700f000
0xfffffff008352230: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff008352234: c0c201fc  stur	d0, [x22, #0x1c]
0xfffffff008352238: df4203f8  stur	xzr, [x22, #0x34]
0xfffffff00835223c: e00313aa  mov	x0, x19
0xfffffff008352240: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008352244: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008352248: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00835224c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008352250: ff830191  add	sp, sp, #0x60
0xfffffff008352254: ff0f5fd6  retab	
0xfffffff008352258: 806affb0  adrp	x0, #0xfffffff0070a3000
0xfffffff00835225c: 00a43491  add	x0, x0, #0xd29
0xfffffff008352260: ac44fe97  bl	#0xfffffff0082e3510
0xfffffff008352264: 200020d4  brk	#1
0xfffffff008352268: 5f2403d5  bti	c
0xfffffff00835226c: 20f600d0  adrp	x0, #0xfffffff00a218000
0xfffffff008352270: 00201e91  add	x0, x0, #0x788
0xfffffff008352274: c0035fd6  ret	
0xfffffff008352278: 5f2403d5  bti	c
0xfffffff00835227c: e10300aa  mov	x1, x0
0xfffffff008352280: 08008092  mov	x8, #-1
0xfffffff008352284: 080000f9  str	x8, [x0]
0xfffffff008352288: 60b1ff90  adrp	x0, #0xfffffff00797e000
0xfffffff00835228c: 00c01591  add	x0, x0, #0x570
0xfffffff008352290: 02048052  mov	w2, #0x20
0xfffffff008352294: 0255fe17  b	#0xfffffff0082e769c
0xfffffff008352298: 5f2403d5  bti	c
0xfffffff00835229c: 08008092  mov	x8, #-1
0xfffffff0083522a0: 080000f9  str	x8, [x0]
0xfffffff0083522a4: c0035fd6  ret	
0xfffffff0083522a8: 7f2303d5  pacibsp	
0xfffffff0083522ac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083522b0: fd030091  mov	x29, sp
0xfffffff0083522b4: 68b1ff90  adrp	x8, #0xfffffff00797e000
0xfffffff0083522b8: 089d45b9  ldr	w8, [x8, #0x59c]
0xfffffff0083522bc: 1f491b72  tst	w8, #0xffffe0
0xfffffff0083522c0: c0000054  b.eq	#0xfffffff0083522d8
0xfffffff0083522c4: 60b1ff90  adrp	x0, #0xfffffff00797e000
0xfffffff0083522c8: 00c01591  add	x0, x0, #0x570
0xfffffff0083522cc: 81008052  mov	w1, #4
0xfffffff0083522d0: bc51e997  bl	#0xfffffff007da69c0
0xfffffff0083522d4: 08000014  b	#0xfffffff0083522f4
