; Candidate 8474
; ADRP+ADD at VM 0xfffffff0088aceb0 (fileoff 0x18a8eb0): page=0x1fe93d000 add_imm=0xe80

0xfffffff0088ace30: 284bff90  adrp	x8, #0xfffffff007210000
0xfffffff0088ace34: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088ace38: 098c8052  mov	w9, #0x460
0xfffffff0088ace3c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ace40: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088ace44: 08352c91  add	x8, x8, #0xb0d
0xfffffff0088ace48: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ace4c: c80f8052  mov	w8, #0x7e
0xfffffff0088ace50: f62300a9  stp	x22, x8, [sp]
0xfffffff0088ace54: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ace58: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ace5c: e18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088ace60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ace64: a34dfff0  adrp	x3, #0xfffffff007263000
0xfffffff0088ace68: 639c2b91  add	x3, x3, #0xae7
0xfffffff0088ace6c: 02008052  mov	w2, #0
0xfffffff0088ace70: b018ea97  bl	#0xfffffff008333130
0xfffffff0088ace74: 18000014  b	#0xfffffff0088aced4
0xfffffff0088ace78: cd1c0094  bl	#0xfffffff0088b41ac
0xfffffff0088ace7c: f50300aa  mov	x21, x0
0xfffffff0088ace80: 80008052  mov	w0, #4
0xfffffff0088ace84: 733aff97  bl	#0xfffffff00887b850
0xfffffff0088ace88: 284cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088ace8c: 08d13a91  add	x8, x8, #0xeb4
0xfffffff0088ace90: 098b8052  mov	w9, #0x458
0xfffffff0088ace94: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff0088ace98: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088ace9c: 08352c91  add	x8, x8, #0xb0d
0xfffffff0088acea0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088acea4: c80f8052  mov	w8, #0x7e
0xfffffff0088acea8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088aceac: f50300f9  str	x21, [sp]
0xfffffff0088aceb0: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088aceb4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088aceb8: e18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088acebc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088acec0: a34dfff0  adrp	x3, #0xfffffff007263000
0xfffffff0088acec4: 63e02a91  add	x3, x3, #0xab8
0xfffffff0088acec8: 02008052  mov	w2, #0
0xfffffff0088acecc: 9918ea97  bl	#0xfffffff008333130
0xfffffff0088aced0: 157d8012  mov	w21, #-0x3e9
0xfffffff0088aced4: c00f8052  mov	w0, #0x7e
0xfffffff0088aced8: c1008052  mov	w1, #6
0xfffffff0088acedc: 3d3aff97  bl	#0xfffffff00887b7d0
0xfffffff0088acee0: 20050034  cbz	w0, #0xfffffff0088acf84
0xfffffff0088acee4: c00f8052  mov	w0, #0x7e
0xfffffff0088acee8: 4c3aff97  bl	#0xfffffff00887b818
0xfffffff0088aceec: f70300aa  mov	x23, x0
0xfffffff0088acef0: af1c0094  bl	#0xfffffff0088b41ac
0xfffffff0088acef4: f60300aa  mov	x22, x0
0xfffffff0088acef8: c0008052  mov	w0, #6
0xfffffff0088acefc: 553aff97  bl	#0xfffffff00887b850
0xfffffff0088acf00: b7010034  cbz	w23, #0xfffffff0088acf34
0xfffffff0088acf04: e80315aa  mov	x8, x21
0xfffffff0088acf08: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088acf0c: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088acf10: 08352c91  add	x8, x8, #0xb0d
0xfffffff0088acf14: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088acf18: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088acf1c: c80f8052  mov	w8, #0x7e
0xfffffff0088acf20: c04bffb0  adrp	x0, #0xfffffff007225000
0xfffffff0088acf24: 00042891  add	x0, x0, #0xa01
0xfffffff0088acf28: f62300a9  stp	x22, x8, [sp]
0xfffffff0088acf2c: 4d29d497  bl	#0xfffffff007db7460
