; Candidate 7432
; ADRP+ADD at VM 0xfffffff00886d1e4 (fileoff 0x18691e4): page=0x1fe9bc000 add_imm=0xe85

0xfffffff00886d164: 152102b9  str	w21, [x8, #0x220]
0xfffffff00886d168: 162502b9  str	w22, [x8, #0x224]
0xfffffff00886d16c: 42000014  b	#0xfffffff00886d274
0xfffffff00886d170: 600c8052  mov	w0, #0x63
0xfffffff00886d174: 81008052  mov	w1, #4
0xfffffff00886d178: 96390094  bl	#0xfffffff00887b7d0
0xfffffff00886d17c: a0070034  cbz	w0, #0xfffffff00886d270
0xfffffff00886d180: 600c8052  mov	w0, #0x63
0xfffffff00886d184: a5390094  bl	#0xfffffff00887b818
0xfffffff00886d188: f80300aa  mov	x24, x0
0xfffffff00886d18c: 081c0194  bl	#0xfffffff0088b41ac
0xfffffff00886d190: f70300aa  mov	x23, x0
0xfffffff00886d194: 80008052  mov	w0, #4
0xfffffff00886d198: ae390094  bl	#0xfffffff00887b850
0xfffffff00886d19c: f8020034  cbz	w24, #0xfffffff00886d1f8
0xfffffff00886d1a0: e80316aa  mov	x8, x22
0xfffffff00886d1a4: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886d1a8: ea0315aa  mov	x10, x21
0xfffffff00886d1ac: ea2305a9  stp	x10, x8, [sp, #0x50]
0xfffffff00886d1b0: e80314aa  mov	x8, x20
0xfffffff00886d1b4: ea4dff90  adrp	x10, #0xfffffff007229000
0xfffffff00886d1b8: 4a253b91  add	x10, x10, #0xec9
0xfffffff00886d1bc: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00886d1c0: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff00886d1c4: 680c8152  mov	w8, #0x863
0xfffffff00886d1c8: a94dfff0  adrp	x9, #0xfffffff007224000
0xfffffff00886d1cc: 29992691  add	x9, x9, #0x9a6
0xfffffff00886d1d0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00886d1d4: c84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886d1d8: 08811191  add	x8, x8, #0x460
0xfffffff00886d1dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886d1e0: 680c8052  mov	w8, #0x63
0xfffffff00886d1e4: e04dff90  adrp	x0, #0xfffffff007229000
0xfffffff00886d1e8: 00143a91  add	x0, x0, #0xe85
0xfffffff00886d1ec: f72300a9  stp	x23, x8, [sp]
0xfffffff00886d1f0: 9c28d597  bl	#0xfffffff007db7460
0xfffffff00886d1f4: 1f000014  b	#0xfffffff00886d270
0xfffffff00886d1f8: ed1b0194  bl	#0xfffffff0088b41ac
0xfffffff00886d1fc: f70300aa  mov	x23, x0
0xfffffff00886d200: 80008052  mov	w0, #4
0xfffffff00886d204: 93390094  bl	#0xfffffff00887b850
0xfffffff00886d208: e80316aa  mov	x8, x22
0xfffffff00886d20c: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886d210: ea0315aa  mov	x10, x21
0xfffffff00886d214: ea2305a9  stp	x10, x8, [sp, #0x50]
0xfffffff00886d218: e80314aa  mov	x8, x20
0xfffffff00886d21c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00886d220: e84dff90  adrp	x8, #0xfffffff007229000
0xfffffff00886d224: 08253b91  add	x8, x8, #0xec9
0xfffffff00886d228: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00886d22c: 680c8152  mov	w8, #0x863
0xfffffff00886d230: a94dfff0  adrp	x9, #0xfffffff007224000
0xfffffff00886d234: 29992691  add	x9, x9, #0x9a6
0xfffffff00886d238: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00886d23c: c84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886d240: 08811191  add	x8, x8, #0x460
0xfffffff00886d244: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886d248: 680c8052  mov	w8, #0x63
0xfffffff00886d24c: 434ffff0  adrp	x3, #0xfffffff007258000
0xfffffff00886d250: 63740291  add	x3, x3, #0x9d
0xfffffff00886d254: f72300a9  stp	x23, x8, [sp]
0xfffffff00886d258: e04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00886d25c: 00003a91  add	x0, x0, #0xe80
0xfffffff00886d260: c18cfff0  adrp	x1, #0xfffffff007a08000
