; Candidate 14941
; ADRP+ADD at VM 0xfffffff009a052e8 (fileoff 0x2a012e8): page=0x1fdbfb000 add_imm=0xe23

0xfffffff009a05268: 6378a397  bl	#0xfffffff0082e33f4
0xfffffff009a0526c: 685e4439  ldrb	w8, [x19, #0x117]
0xfffffff009a05270: c8020034  cbz	w8, #0xfffffff009a052c8
0xfffffff009a05274: 68564439  ldrb	w8, [x19, #0x115]
0xfffffff009a05278: e8040034  cbz	w8, #0xfffffff009a05314
0xfffffff009a0527c: 934d00b0  adrp	x19, #0xfffffff00a3b6000
0xfffffff009a05280: 68426e39  ldrb	w8, [x19, #0xb90]
0xfffffff009a05284: 28010036  tbz	w8, #0, #0xfffffff009a052a8
0xfffffff009a05288: d3219397  bl	#0xfffffff007ecd9d4
0xfffffff009a0528c: e0000035  cbnz	w0, #0xfffffff009a052a8
0xfffffff009a05290: c8dffef0  adrp	x8, #0xfffffff007600000
0xfffffff009a05294: 08053991  add	x8, x8, #0xe41
0xfffffff009a05298: e80300f9  str	x8, [sp]
0xfffffff009a0529c: c0dffef0  adrp	x0, #0xfffffff007600000
0xfffffff009a052a0: 00183a91  add	x0, x0, #0xe86
0xfffffff009a052a4: 5f47a597  bl	#0xfffffff008357020
0xfffffff009a052a8: 68426e39  ldrb	w8, [x19, #0xb90]
0xfffffff009a052ac: c8070836  tbz	w8, #1, #0xfffffff009a053a4
0xfffffff009a052b0: c8dffef0  adrp	x8, #0xfffffff007600000
0xfffffff009a052b4: 08053991  add	x8, x8, #0xe41
0xfffffff009a052b8: e80300f9  str	x8, [sp]
0xfffffff009a052bc: c0dffef0  adrp	x0, #0xfffffff007600000
0xfffffff009a052c0: 00183a91  add	x0, x0, #0xe86
0xfffffff009a052c4: 37000014  b	#0xfffffff009a053a0
0xfffffff009a052c8: 934d00b0  adrp	x19, #0xfffffff00a3b6000
0xfffffff009a052cc: 68426e39  ldrb	w8, [x19, #0xb90]
0xfffffff009a052d0: 28010036  tbz	w8, #0, #0xfffffff009a052f4
0xfffffff009a052d4: c0219397  bl	#0xfffffff007ecd9d4
0xfffffff009a052d8: e0000035  cbnz	w0, #0xfffffff009a052f4
0xfffffff009a052dc: c8dffef0  adrp	x8, #0xfffffff007600000
0xfffffff009a052e0: 08053991  add	x8, x8, #0xe41
0xfffffff009a052e4: e80300f9  str	x8, [sp]
0xfffffff009a052e8: c0dffef0  adrp	x0, #0xfffffff007600000
0xfffffff009a052ec: 008c3891  add	x0, x0, #0xe23
0xfffffff009a052f0: 4c47a597  bl	#0xfffffff008357020
0xfffffff009a052f4: 68426e39  ldrb	w8, [x19, #0xb90]
0xfffffff009a052f8: 68050836  tbz	w8, #1, #0xfffffff009a053a4
0xfffffff009a052fc: c8dffef0  adrp	x8, #0xfffffff007600000
0xfffffff009a05300: 08053991  add	x8, x8, #0xe41
0xfffffff009a05304: e80300f9  str	x8, [sp]
0xfffffff009a05308: c0dffef0  adrp	x0, #0xfffffff007600000
0xfffffff009a0530c: 008c3891  add	x0, x0, #0xe23
0xfffffff009a05310: 24000014  b	#0xfffffff009a053a0
0xfffffff009a05314: 700240f9  ldr	x16, [x19]
0xfffffff009a05318: f10313aa  mov	x17, x19
0xfffffff009a0531c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a05320: 301ac1da  autda	x16, x17
0xfffffff009a05324: 11d380d2  mov	x17, #0x698
0xfffffff009a05328: 1002118b  add	x16, x16, x17
0xfffffff009a0532c: 080240f9  ldr	x8, [x16]
0xfffffff009a05330: e90310aa  mov	x9, x16
0xfffffff009a05334: e00313aa  mov	x0, x19
0xfffffff009a05338: 21008052  mov	w1, #1
0xfffffff009a0533c: f10309aa  mov	x17, x9
0xfffffff009a05340: 916ae6f2  movk	x17, #0x3354, lsl #48
0xfffffff009a05344: 11093fd7  blraa	x8, x17
0xfffffff009a05348: 08588052  mov	w8, #0x2c0
0xfffffff009a0534c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009a05350: 1f00086b  cmp	w0, w8
0xfffffff009a05354: 41030054  b.ne	#0xfffffff009a053bc
0xfffffff009a05358: 934d00b0  adrp	x19, #0xfffffff00a3b6000
0xfffffff009a0535c: 68426e39  ldrb	w8, [x19, #0xb90]
0xfffffff009a05360: 28010036  tbz	w8, #0, #0xfffffff009a05384
0xfffffff009a05364: 9c219397  bl	#0xfffffff007ecd9d4
