; Candidate 6428
; ADRP+ADD at VM 0xfffffff00882aa88 (fileoff 0x1826a88): page=0x1fe9bf000 add_imm=0xe80

0xfffffff00882aa08: 081a8052  mov	w8, #0xd0
0xfffffff00882aa0c: c94fff90  adrp	x9, #0xfffffff007222000
0xfffffff00882aa10: 29c50191  add	x9, x9, #0x71
0xfffffff00882aa14: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882aa18: c84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882aa1c: 081d0d91  add	x8, x8, #0x347
0xfffffff00882aa20: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882aa24: a80a8052  mov	w8, #0x55
0xfffffff00882aa28: f72300a9  stp	x23, x8, [sp]
0xfffffff00882aa2c: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882aa30: 00003a91  add	x0, x0, #0xe80
0xfffffff00882aa34: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882aa38: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882aa3c: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882aa40: 63200b91  add	x3, x3, #0x2c8
0xfffffff00882aa44: 02008052  mov	w2, #0
0xfffffff00882aa48: ba21ec97  bl	#0xfffffff008333130
0xfffffff00882aa4c: 540300b5  cbnz	x20, #0xfffffff00882aab4
0xfffffff00882aa50: 1a000014  b	#0xfffffff00882aab8
0xfffffff00882aa54: d6250294  bl	#0xfffffff0088b41ac
0xfffffff00882aa58: f50300aa  mov	x21, x0
0xfffffff00882aa5c: 80008052  mov	w0, #4
0xfffffff00882aa60: 7c430194  bl	#0xfffffff00887b850
0xfffffff00882aa64: a84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff00882aa68: 083d0391  add	x8, x8, #0xcf
0xfffffff00882aa6c: e9188052  mov	w9, #0xc7
0xfffffff00882aa70: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882aa74: c84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882aa78: 08c50191  add	x8, x8, #0x71
0xfffffff00882aa7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882aa80: a80a8052  mov	w8, #0x55
0xfffffff00882aa84: f52300a9  stp	x21, x8, [sp]
0xfffffff00882aa88: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882aa8c: 00003a91  add	x0, x0, #0xe80
0xfffffff00882aa90: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882aa94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882aa98: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882aa9c: 63740991  add	x3, x3, #0x25d
0xfffffff00882aaa0: 02008052  mov	w2, #0
0xfffffff00882aaa4: a321ec97  bl	#0xfffffff008333130
0xfffffff00882aaa8: 160080d2  mov	x22, #0
0xfffffff00882aaac: 15008052  mov	w21, #0
0xfffffff00882aab0: 540000b4  cbz	x20, #0xfffffff00882aab8
0xfffffff00882aab4: 950200b9  str	w21, [x20]
0xfffffff00882aab8: 730100b4  cbz	x19, #0xfffffff00882aae4
0xfffffff00882aabc: 700240f9  ldr	x16, [x19]
0xfffffff00882aac0: f10313aa  mov	x17, x19
0xfffffff00882aac4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00882aac8: 301ac1da  autda	x16, x17
0xfffffff00882aacc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00882aad0: e90310aa  mov	x9, x16
0xfffffff00882aad4: e00313aa  mov	x0, x19
0xfffffff00882aad8: f10309aa  mov	x17, x9
0xfffffff00882aadc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00882aae0: 11093fd7  blraa	x8, x17
0xfffffff00882aae4: e00316aa  mov	x0, x22
0xfffffff00882aae8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00882aaec: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00882aaf0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00882aaf4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00882aaf8: ff030291  add	sp, sp, #0x80
0xfffffff00882aafc: ff0f5fd6  retab	
0xfffffff00882ab00: ab250294  bl	#0xfffffff0088b41ac
0xfffffff00882ab04: f60300aa  mov	x22, x0
