; Candidate 8675
; ADRP+ADD at VM 0xfffffff0088bc090 (fileoff 0x18b8090): page=0x1fe92d000 add_imm=0xe80

0xfffffff0088bc010: 00050034  cbz	w0, #0xfffffff0088bc0b0
0xfffffff0088bc014: c0088052  mov	w0, #0x46
0xfffffff0088bc018: 00fefe97  bl	#0xfffffff00887b818
0xfffffff0088bc01c: f40300aa  mov	x20, x0
0xfffffff0088bc020: 63e0ff97  bl	#0xfffffff0088b41ac
0xfffffff0088bc024: f30300aa  mov	x19, x0
0xfffffff0088bc028: 80008052  mov	w0, #4
0xfffffff0088bc02c: 09fefe97  bl	#0xfffffff00887b850
0xfffffff0088bc030: 94010034  cbz	w20, #0xfffffff0088bc060
0xfffffff0088bc034: 88188052  mov	w8, #0xc4
0xfffffff0088bc038: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff0088bc03c: c84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088bc040: 08953691  add	x8, x8, #0xda5
0xfffffff0088bc044: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bc048: c8088052  mov	w8, #0x46
0xfffffff0088bc04c: f32300a9  stp	x19, x8, [sp]
0xfffffff0088bc050: c04bffd0  adrp	x0, #0xfffffff007236000
0xfffffff0088bc054: 00dc3591  add	x0, x0, #0xd77
0xfffffff0088bc058: 02edd397  bl	#0xfffffff007db7460
0xfffffff0088bc05c: 15000014  b	#0xfffffff0088bc0b0
0xfffffff0088bc060: 53e0ff97  bl	#0xfffffff0088b41ac
0xfffffff0088bc064: f30300aa  mov	x19, x0
0xfffffff0088bc068: 80008052  mov	w0, #4
0xfffffff0088bc06c: f9fdfe97  bl	#0xfffffff00887b850
0xfffffff0088bc070: e80315aa  mov	x8, x21
0xfffffff0088bc074: 89188052  mov	w9, #0xc4
0xfffffff0088bc078: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088bc07c: c84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088bc080: 08953691  add	x8, x8, #0xda5
0xfffffff0088bc084: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bc088: c8088052  mov	w8, #0x46
0xfffffff0088bc08c: f32300a9  stp	x19, x8, [sp]
0xfffffff0088bc090: 6049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088bc094: 00003a91  add	x0, x0, #0xe80
0xfffffff0088bc098: 618aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088bc09c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088bc0a0: 434dfff0  adrp	x3, #0xfffffff007267000
0xfffffff0088bc0a4: 63380291  add	x3, x3, #0x8e
0xfffffff0088bc0a8: 02008052  mov	w2, #0
0xfffffff0088bc0ac: 21dce997  bl	#0xfffffff008333130
0xfffffff0088bc0b0: e00315aa  mov	x0, x21
0xfffffff0088bc0b4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088bc0b8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088bc0bc: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088bc0c0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088bc0c4: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0088bc0c8: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0088bc0cc: ff430291  add	sp, sp, #0x90
0xfffffff0088bc0d0: ff0f5fd6  retab	
0xfffffff0088bc0d4: 15008052  mov	w21, #0
0xfffffff0088bc0d8: f6ffff17  b	#0xfffffff0088bc0b0
0xfffffff0088bc0dc: 7f2303d5  pacibsp	
0xfffffff0088bc0e0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088bc0e4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088bc0e8: fd430091  add	x29, sp, #0x10
0xfffffff0088bc0ec: f30300aa  mov	x19, x0
0xfffffff0088bc0f0: 810000b4  cbz	x1, #0xfffffff0088bc100
0xfffffff0088bc0f4: e00313aa  mov	x0, x19
0xfffffff0088bc0f8: 82de8352  mov	w2, #0x1ef4
0xfffffff0088bc0fc: 2542d297  bl	#0xfffffff007d4c990
0xfffffff0088bc100: 88de8352  mov	w8, #0x1ef4
0xfffffff0088bc104: 680200b9  str	w8, [x19]
0xfffffff0088bc108: 7fee1cb9  str	wzr, [x19, #0x1cec]
0xfffffff0088bc10c: 089e8352  mov	w8, #0x1cf0
