; Candidate 9803
; ADRP+ADD at VM 0xfffffff008b44630 (fileoff 0x1b40630): page=0x179d000 add_imm=0xd20

0xfffffff008b445b0: 408e38d4  brk	#0xc472
0xfffffff008b445b4: e00310aa  mov	x0, x16
0xfffffff008b445b8: 02000014  b	#0xfffffff008b445c0
0xfffffff008b445bc: 000080d2  mov	x0, #0
0xfffffff008b445c0: 02068052  mov	w2, #0x30
0xfffffff008b445c4: 2c6ccd97  bl	#0xfffffff007e9f674
0xfffffff008b445c8: 1f000071  cmp	w0, #0
0xfffffff008b445cc: e0179f1a  cset	w0, eq
0xfffffff008b445d0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008b445d4: ff0f5fd6  retab	
0xfffffff008b445d8: 5f2403d5  bti	c
0xfffffff008b445dc: dc8bde17  b	#0xfffffff0082e754c
0xfffffff008b445e0: 7f2303d5  pacibsp	
0xfffffff008b445e4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008b445e8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008b445ec: fd430091  add	x29, sp, #0x10
0xfffffff008b445f0: f30300aa  mov	x19, x0
0xfffffff008b445f4: d68bde97  bl	#0xfffffff0082e754c
0xfffffff008b445f8: 9dabdf97  bl	#0xfffffff00832f46c
0xfffffff008b445fc: e10313aa  mov	x1, x19
0xfffffff008b44600: 02038052  mov	w2, #0x18
0xfffffff008b44604: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008b44608: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008b4460c: ff2303d5  autibsp	
0xfffffff008b44610: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008b44614: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008b4461c
0xfffffff008b44618: 208e38d4  brk	#0xc471
0xfffffff008b4461c: 208cde17  b	#0xfffffff0082e769c
0xfffffff008b44620: 5f2403d5  bti	c
0xfffffff008b44624: 00008052  mov	w0, #0
0xfffffff008b44628: c0035fd6  ret	
0xfffffff008b4462c: 5f2403d5  bti	c
0xfffffff008b44630: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44634: 00803491  add	x0, x0, #0xd20
0xfffffff008b44638: c0035fd6  ret	
0xfffffff008b4463c: 7f2303d5  pacibsp	
0xfffffff008b44640: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008b44644: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008b44648: fd430091  add	x29, sp, #0x10
0xfffffff008b4464c: e80301aa  mov	x8, x1
0xfffffff008b44650: f40300aa  mov	x20, x0
0xfffffff008b44654: e1bc00b0  adrp	x1, #0xfffffff00a2e1000
0xfffffff008b44658: 21803491  add	x1, x1, #0xd20
0xfffffff008b4465c: e00308aa  mov	x0, x8
0xfffffff008b44660: a57dde97  bl	#0xfffffff0082e3cf4
0xfffffff008b44664: f30300aa  mov	x19, x0
0xfffffff008b44668: a00100b4  cbz	x0, #0xfffffff008b4469c
0xfffffff008b4466c: 900240f9  ldr	x16, [x20]
0xfffffff008b44670: f10314aa  mov	x17, x20
0xfffffff008b44674: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b44678: 301ac1da  autda	x16, x17
0xfffffff008b4467c: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff008b44680: e90310aa  mov	x9, x16
0xfffffff008b44684: e00314aa  mov	x0, x20
0xfffffff008b44688: e10313aa  mov	x1, x19
0xfffffff008b4468c: f10309aa  mov	x17, x9
0xfffffff008b44690: f1c8ecf2  movk	x17, #0x6647, lsl #48
0xfffffff008b44694: 11093fd7  blraa	x8, x17
0xfffffff008b44698: 01000014  b	#0xfffffff008b4469c
0xfffffff008b4469c: 7f0200f1  cmp	x19, #0
0xfffffff008b446a0: e8079f1a  cset	w8, ne
0xfffffff008b446a4: 0001000a  and	w0, w8, w0
0xfffffff008b446a8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008b446ac: f44fc2a8  ldp	x20, x19, [sp], #0x20
