; Candidate 543
; ADRP+ADD at VM 0xfffffff007f79610 (fileoff 0xf75610): page=0x1ff9fa000 add_imm=0xd30

0xfffffff007f79590: 29016539  ldrb	w9, [x9, #0x940]
0xfffffff007f79594: 3f010071  cmp	w9, #0
0xfffffff007f79598: 09088052  mov	w9, #0x40
0xfffffff007f7959c: 29119f9a  csel	x9, x9, xzr, ne
0xfffffff007f795a0: 290108cb  sub	x9, x9, x8
0xfffffff007f795a4: 2a1601b0  adrp	x10, #0xfffffff00a23e000
0xfffffff007f795a8: 4a116539  ldrb	w10, [x10, #0x944]
0xfffffff007f795ac: 5f010071  cmp	w10, #0
0xfffffff007f795b0: 0a0a8052  mov	w10, #0x50
0xfffffff007f795b4: 4a119f9a  csel	x10, x10, xzr, ne
0xfffffff007f795b8: 4a01008b  add	x10, x10, x0
0xfffffff007f795bc: 3f010aeb  cmp	x9, x10
0xfffffff007f795c0: 8c0a0054  b.gt	#0xfffffff007f79710
0xfffffff007f795c4: e90308cb  neg	x9, x8
0xfffffff007f795c8: ea008092  mov	x10, #-8
0xfffffff007f795cc: 480108cb  sub	x8, x10, x8
0xfffffff007f795d0: 000100f9  str	x0, [x8]
0xfffffff007f795d4: 697603f9  str	x9, [x19, #0x6e8]
0xfffffff007f795d8: 68825b39  ldrb	w8, [x19, #0x6e0]
0xfffffff007f795dc: 1f090072  tst	w8, #7
0xfffffff007f795e0: 410a0054  b.ne	#0xfffffff007f79728
0xfffffff007f795e4: 15008052  mov	w21, #0
0xfffffff007f795e8: 14008052  mov	w20, #0
0xfffffff007f795ec: 68da43f9  ldr	x8, [x19, #0x7b0]
0xfffffff007f795f0: 08f8ffb5  cbnz	x8, #0xfffffff007f794f0
0xfffffff007f795f4: c0cfffd0  adrp	x0, #0xfffffff007973000
0xfffffff007f795f8: 00c03391  add	x0, x0, #0xcf0
0xfffffff007f795fc: 81008052  mov	w1, #4
0xfffffff007f79600: 35b6f897  bl	#0xfffffff007da6ed4
0xfffffff007f79604: 60da03f9  str	x0, [x19, #0x7b0]
0xfffffff007f79608: 68de43f9  ldr	x8, [x19, #0x7b8]
0xfffffff007f7960c: 68f7ffb5  cbnz	x8, #0xfffffff007f794f8
0xfffffff007f79610: c0cfffd0  adrp	x0, #0xfffffff007973000
0xfffffff007f79614: 00c03491  add	x0, x0, #0xd30
0xfffffff007f79618: 81008052  mov	w1, #4
0xfffffff007f7961c: 2eb6f897  bl	#0xfffffff007da6ed4
0xfffffff007f79620: 60de03f9  str	x0, [x19, #0x7b8]
0xfffffff007f79624: f5050034  cbz	w21, #0xfffffff007f796e0
0xfffffff007f79628: 687243f9  ldr	x8, [x19, #0x6e0]
0xfffffff007f7962c: 080200b4  cbz	x8, #0xfffffff007f7966c
0xfffffff007f79630: 291601b0  adrp	x9, #0xfffffff00a23e000
0xfffffff007f79634: 299544f9  ldr	x9, [x9, #0x928]
0xfffffff007f79638: 15815ff8  ldur	x21, [x8, #-8]
0xfffffff007f7963c: 1f811ff8  stur	xzr, [x8, #-8]
0xfffffff007f79640: 365d40a9  ldp	x22, x23, [x9]
0xfffffff007f79644: d86a4079  ldrh	w24, [x22, #0x34]
0xfffffff007f79648: e00315aa  mov	x0, x21
0xfffffff007f7964c: e10318aa  mov	x1, x24
0xfffffff007f79650: 3c4df797  bl	#0xfffffff007d4cb40
0xfffffff007f79654: e00316aa  mov	x0, x22
0xfffffff007f79658: e10317aa  mov	x1, x23
0xfffffff007f7965c: e20315aa  mov	x2, x21
0xfffffff007f79660: e30318aa  mov	x3, x24
0xfffffff007f79664: 832cfa97  bl	#0xfffffff007e04870
0xfffffff007f79668: 7f7203f9  str	xzr, [x19, #0x6e0]
0xfffffff007f7966c: 687643f9  ldr	x8, [x19, #0x6e8]
0xfffffff007f79670: 080200b4  cbz	x8, #0xfffffff007f796b0
0xfffffff007f79674: 291601b0  adrp	x9, #0xfffffff00a23e000
0xfffffff007f79678: 299d44f9  ldr	x9, [x9, #0x938]
0xfffffff007f7967c: 15815ff8  ldur	x21, [x8, #-8]
0xfffffff007f79680: 1f811ff8  stur	xzr, [x8, #-8]
0xfffffff007f79684: 365d40a9  ldp	x22, x23, [x9]
0xfffffff007f79688: d86a4079  ldrh	w24, [x22, #0x34]
0xfffffff007f7968c: e00315aa  mov	x0, x21
