; Candidate 2996
; ADRP+ADD at VM 0xfffffff008701184 (fileoff 0x16fd184): page=0x1fea30000 add_imm=0xd90

0xfffffff008701104: 0b008052  mov	w11, #0
0xfffffff008701108: 299950f9  ldr	x9, [x9, #0x2130]
0xfffffff00870110c: 2d0940f9  ldr	x13, [x9, #0x10]
0xfffffff008701110: 2c3540b9  ldr	w12, [x9, #0x34]
0xfffffff008701114: ae010cab  adds	x14, x13, x12
0xfffffff008701118: f0379f1a  cset	w16, hs
0xfffffff00870111c: 4c010e2b  adds	w12, w10, w14
0xfffffff008701120: ef379f1a  cset	w15, hs
0xfffffff008701124: 2a008052  mov	w10, #1
0xfffffff008701128: 50090037  tbnz	w16, #0, #0xfffffff008701250
0xfffffff00870112c: cefd60d3  lsr	x14, x14, #0x20
0xfffffff008701130: 0e0900b5  cbnz	x14, #0xfffffff008701250
0xfffffff008701134: ef080037  tbnz	w15, #0, #0xfffffff008701250
0xfffffff008701138: 2a3940b9  ldr	w10, [x9, #0x38]
0xfffffff00870113c: ad010aab  adds	x13, x13, x10
0xfffffff008701140: ee379f1a  cset	w14, hs
0xfffffff008701144: 74010d2b  adds	w20, w11, w13
0xfffffff008701148: eb379f1a  cset	w11, hs
0xfffffff00870114c: 4a008052  mov	w10, #2
0xfffffff008701150: 0e080037  tbnz	w14, #0, #0xfffffff008701250
0xfffffff008701154: adfd60d3  lsr	x13, x13, #0x20
0xfffffff008701158: cd0700b5  cbnz	x13, #0xfffffff008701250
0xfffffff00870115c: ab070037  tbnz	w11, #0, #0xfffffff008701250
0xfffffff008701160: 0cad00b9  str	w12, [x8, #0xac]
0xfffffff008701164: 296540b9  ldr	w9, [x9, #0x64]
0xfffffff008701168: 09b100b9  str	w9, [x8, #0xb0]
0xfffffff00870116c: 880340f9  ldr	x8, [x28]
0xfffffff008701170: 09c14239  ldrb	w9, [x8, #0xb0]
0xfffffff008701174: 3f150072  tst	w9, #0x3f
0xfffffff008701178: 80010054  b.eq	#0xfffffff0087011a8
0xfffffff00870117c: a84a8052  mov	w8, #0x255
0xfffffff008701180: f62300a9  stp	x22, x8, [sp]
0xfffffff008701184: 8051ff90  adrp	x0, #0xfffffff007131000
0xfffffff008701188: 00403691  add	x0, x0, #0xd90
0xfffffff00870118c: e197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008701190: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008701194: a351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff008701198: 63601691  add	x3, x3, #0x598
0xfffffff00870119c: 02008052  mov	w2, #0
0xfffffff0087011a0: e4c7f097  bl	#0xfffffff008333130
0xfffffff0087011a4: 880340f9  ldr	x8, [x28]
0xfffffff0087011a8: 14b500b9  str	w20, [x8, #0xb4]
0xfffffff0087011ac: 690e40f9  ldr	x9, [x19, #0x18]
0xfffffff0087011b0: 299950f9  ldr	x9, [x9, #0x2130]
0xfffffff0087011b4: 296940b9  ldr	w9, [x9, #0x68]
0xfffffff0087011b8: 09b900b9  str	w9, [x8, #0xb8]
0xfffffff0087011bc: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0087011c0: 09e14239  ldrb	w9, [x8, #0xb8]
0xfffffff0087011c4: 3f150072  tst	w9, #0x3f
0xfffffff0087011c8: 80010054  b.eq	#0xfffffff0087011f8
0xfffffff0087011cc: 284b8052  mov	w8, #0x259
0xfffffff0087011d0: f62300a9  stp	x22, x8, [sp]
0xfffffff0087011d4: 8051ff90  adrp	x0, #0xfffffff007131000
0xfffffff0087011d8: 00403691  add	x0, x0, #0xd90
0xfffffff0087011dc: e197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087011e0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087011e4: a351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff0087011e8: 632c1791  add	x3, x3, #0x5cb
0xfffffff0087011ec: 02008052  mov	w2, #0
0xfffffff0087011f0: d0c7f097  bl	#0xfffffff008333130
0xfffffff0087011f4: 880340f9  ldr	x8, [x28]
0xfffffff0087011f8: eb1f40b9  ldr	w11, [sp, #0x1c]
0xfffffff0087011fc: 098d4bb9  ldr	w9, [x8, #0xb8c]
0xfffffff008701200: 29010032  orr	w9, w9, #1
