; Candidate 2670
; ADRP+ADD at VM 0xfffffff0086dad6c (fileoff 0x16d6d6c): page=0x1fea57000 add_imm=0xd90

0xfffffff0086dacec: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff0086dacf0: 0df159f9  ldr	x13, [x8, #0x33e0]
0xfffffff0086dacf4: b58148b9  ldr	w21, [x13, #0x880]
0xfffffff0086dacf8: b48548b9  ldr	w20, [x13, #0x884]
0xfffffff0086dacfc: 380440b9  ldr	w24, [x1, #4]
0xfffffff0086dad00: 28244429  ldp	w8, w9, [x1, #0x20]
0xfffffff0086dad04: b63d40b9  ldr	w22, [x13, #0x3c]
0xfffffff0086dad08: df3e0071  cmp	w22, #0xf
0xfffffff0086dad0c: fa179f1a  cset	w26, eq
0xfffffff0086dad10: 0a088052  mov	w10, #0x40
0xfffffff0086dad14: 0b108052  mov	w11, #0x80
0xfffffff0086dad18: 6e018a1a  csel	w14, w11, w10, eq
0xfffffff0086dad1c: 1f01096b  cmp	w8, w9
0xfffffff0086dad20: 08c1891a  csel	w8, w8, w9, gt
0xfffffff0086dad24: e84f00b9  str	w8, [sp, #0x4c]
0xfffffff0086dad28: 08250011  add	w8, w8, #9
0xfffffff0086dad2c: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff0086dad30: e87700b9  str	w8, [sp, #0x74]
0xfffffff0086dad34: b96d76b9  ldr	w25, [x13, #0x366c]
0xfffffff0086dad38: ed3f00f9  str	x13, [sp, #0x78]
0xfffffff0086dad3c: ae4319b8  stur	w14, [x29, #-0x6c]
0xfffffff0086dad40: e22b00f9  str	x2, [sp, #0x50]
0xfffffff0086dad44: d9000034  cbz	w25, #0xfffffff0086dad5c
0xfffffff0086dad48: df3e0071  cmp	w22, #0xf
0xfffffff0086dad4c: 08328052  mov	w8, #0x190
0xfffffff0086dad50: 09648052  mov	w9, #0x320
0xfffffff0086dad54: 2801881a  csel	w8, w9, w8, eq
0xfffffff0086dad58: 15000014  b	#0xfffffff0086dadac
0xfffffff0086dad5c: 68e18052  mov	w8, #0x70b
0xfffffff0086dad60: a953ffb0  adrp	x9, #0xfffffff00714f000
0xfffffff0086dad64: 293d0b91  add	x9, x9, #0x2cf
0xfffffff0086dad68: e92300a9  stp	x9, x8, [sp]
0xfffffff0086dad6c: a052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086dad70: 00403691  add	x0, x0, #0xd90
0xfffffff0086dad74: 0199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086dad78: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086dad7c: c352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086dad80: 63c00b91  add	x3, x3, #0x2f0
0xfffffff0086dad84: 02008052  mov	w2, #0
0xfffffff0086dad88: ea60f197  bl	#0xfffffff008333130
0xfffffff0086dad8c: ed3f40f9  ldr	x13, [sp, #0x78]
0xfffffff0086dad90: b96d76b9  ldr	w25, [x13, #0x366c]
0xfffffff0086dad94: df3e0071  cmp	w22, #0xf
0xfffffff0086dad98: 08328052  mov	w8, #0x190
0xfffffff0086dad9c: 09648052  mov	w9, #0x320
0xfffffff0086dada0: 2801881a  csel	w8, w9, w8, eq
0xfffffff0086dada4: 99360034  cbz	w25, #0xfffffff0086db474
0xfffffff0086dada8: ae4359b8  ldur	w14, [x29, #-0x6c]
0xfffffff0086dadac: 0f008052  mov	w15, #0
0xfffffff0086dadb0: e903192a  mov	w9, w25
0xfffffff0086dadb4: ab414ab9  ldr	w11, [x13, #0xa40]
0xfffffff0086dadb8: aa112991  add	x10, x13, #0xa44
0xfffffff0086dadbc: 4c4540b8  ldr	w12, [x10], #4
0xfffffff0086dadc0: 8b010b4b  sub	w11, w12, w11
0xfffffff0086dadc4: 6b7d081b  mul	w11, w11, w8
0xfffffff0086dadc8: ff010b6b  cmp	w15, w11
0xfffffff0086dadcc: efc18b1a  csel	w15, w15, w11, gt
0xfffffff0086dadd0: eb030caa  mov	x11, x12
0xfffffff0086dadd4: 290500f1  subs	x9, x9, #1
0xfffffff0086dadd8: 21ffff54  b.ne	#0xfffffff0086dadbc
0xfffffff0086daddc: 08008052  mov	w8, #0
0xfffffff0086dade0: ba0317b8  stur	w26, [x29, #-0x90]
0xfffffff0086dade4: ef4b00b9  str	w15, [sp, #0x48]
0xfffffff0086dade8: b8d33129  stp	w24, w20, [x29, #-0x74]
