; Candidate 16281
; ADRP+ADD at VM 0xfffffff009e40300 (fileoff 0x2e3c300): page=0x1fd9e5000 add_imm=0xd34

0xfffffff009e40280: e92300a9  stp	x9, x8, [sp]
0xfffffff009e40284: e4230191  add	x4, sp, #0x48
0xfffffff009e40288: e5b30091  add	x5, sp, #0x2c
0xfffffff009e4028c: e7a30091  add	x7, sp, #0x28
0xfffffff009e40290: e00314aa  mov	x0, x20
0xfffffff009e40294: e10317aa  mov	x1, x23
0xfffffff009e40298: e20316aa  mov	x2, x22
0xfffffff009e4029c: e30315aa  mov	x3, x21
0xfffffff009e402a0: 060080d2  mov	x6, #0
0xfffffff009e402a4: c5e3ff97  bl	#0xfffffff009e391b8
0xfffffff009e402a8: 60030034  cbz	w0, #0xfffffff009e40314
0xfffffff009e402ac: f50300aa  mov	x21, x0
0xfffffff009e402b0: 083e8452  mov	w8, #0x21f0
0xfffffff009e402b4: 8802088b  add	x8, x20, x8
0xfffffff009e402b8: a95b8352  mov	w9, #0x1add
0xfffffff009e402bc: 2acffef0  adrp	x10, #0xfffffff007827000
0xfffffff009e402c0: 4a790491  add	x10, x10, #0x11e
0xfffffff009e402c4: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e402c8: e85701a9  stp	x8, x21, [sp, #0x10]
0xfffffff009e402cc: 20cffed0  adrp	x0, #0xfffffff007826000
0xfffffff009e402d0: 006c1791  add	x0, x0, #0x5db
0xfffffff009e402d4: 7cfd0094  bl	#0xfffffff009e7f8c4
0xfffffff009e402d8: b1000014  b	#0xfffffff009e4059c
0xfffffff009e402dc: 083e8452  mov	w8, #0x21f0
0xfffffff009e402e0: 8802088b  add	x8, x20, x8
0xfffffff009e402e4: c95a8352  mov	w9, #0x1ad6
0xfffffff009e402e8: 2acffef0  adrp	x10, #0xfffffff007827000
0xfffffff009e402ec: 4a790491  add	x10, x10, #0x11e
0xfffffff009e402f0: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e402f4: e903002a  mov	w9, w0
0xfffffff009e402f8: e9e301a9  stp	x9, x24, [sp, #0x18]
0xfffffff009e402fc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e40300: 20cffeb0  adrp	x0, #0xfffffff007825000
0xfffffff009e40304: 00d03491  add	x0, x0, #0xd34
0xfffffff009e40308: 6ffd0094  bl	#0xfffffff009e7f8c4
0xfffffff009e4030c: 15008012  mov	w21, #-1
0xfffffff009e40310: a3000014  b	#0xfffffff009e4059c
0xfffffff009e40314: 683e40b9  ldr	w8, [x19, #0x3c]
0xfffffff009e40318: a80c0034  cbz	w8, #0xfffffff009e404ac
0xfffffff009e4031c: f62740f9  ldr	x22, [sp, #0x48]
0xfffffff009e40320: f72f40b9  ldr	w23, [sp, #0x2c]
0xfffffff009e40324: 693a40b9  ldr	w9, [x19, #0x38]
0xfffffff009e40328: 3f050071  cmp	w9, #1
0xfffffff009e4032c: cb020054  b.lt	#0xfffffff009e40384
0xfffffff009e40330: 18008052  mov	w24, #0
0xfffffff009e40334: 6a1a40f9  ldr	x10, [x19, #0x30]
0xfffffff009e40338: eb0309aa  mov	x11, x9
0xfffffff009e4033c: 6c01180b  add	w12, w11, w24
0xfffffff009e40340: 9f010071  cmp	w12, #0
0xfffffff009e40344: 8ca58c1a  cinc	w12, w12, lt
0xfffffff009e40348: 8d7d0113  asr	w13, w12, #1
0xfffffff009e4034c: bf01096b  cmp	w13, w9
0xfffffff009e40350: ca010054  b.ge	#0xfffffff009e40388
0xfffffff009e40354: 4ccd2d8b  add	x12, x10, w13, sxtw #3
0xfffffff009e40358: 8e0140f9  ldr	x14, [x12]
0xfffffff009e4035c: cff94092  and	x15, x14, #0x7fffffffffffffff
0xfffffff009e40360: ff0116eb  cmp	x15, x22
0xfffffff009e40364: c0050054  b.eq	#0xfffffff009e4041c
0xfffffff009e40368: ac050051  sub	w12, w13, #1
0xfffffff009e4036c: ff0116eb  cmp	x15, x22
0xfffffff009e40370: 18878d1a  csinc	w24, w24, w13, hi
0xfffffff009e40374: 8b818b1a  csel	w11, w12, w11, hi
0xfffffff009e40378: 1f030b6b  cmp	w24, w11
0xfffffff009e4037c: 0dfeff54  b.le	#0xfffffff009e4033c
