; Candidate 4575
; ADRP+ADD at VM 0xfffffff0087bc12c (fileoff 0x17b812c): page=0x1fe975000 add_imm=0xd90

0xfffffff0087bc0ac: fd030191  add	x29, sp, #0x40
0xfffffff0087bc0b0: f30300aa  mov	x19, x0
0xfffffff0087bc0b4: f5348052  mov	w21, #0x1a7
0xfffffff0087bc0b8: b44cff90  adrp	x20, #0xfffffff007150000
0xfffffff0087bc0bc: 94fa0f91  add	x20, x20, #0x3fe
0xfffffff0087bc0c0: e00313aa  mov	x0, x19
0xfffffff0087bc0c4: e10314aa  mov	x1, x20
0xfffffff0087bc0c8: 22008052  mov	w2, #1
0xfffffff0087bc0cc: 7dfcff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bc0d0: 00040035  cbnz	w0, #0xfffffff0087bc150
0xfffffff0087bc0d4: b5060091  add	x21, x21, #1
0xfffffff0087bc0d8: bfba0671  cmp	w21, #0x1ae
0xfffffff0087bc0dc: 21ffff54  b.ne	#0xfffffff0087bc0c0
0xfffffff0087bc0e0: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0087bc0e4: 14554029  ldp	w20, w21, [x8]
0xfffffff0087bc0e8: 014dffd0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bc0ec: 21702d91  add	x1, x1, #0xb5c
0xfffffff0087bc0f0: e00313aa  mov	x0, x19
0xfffffff0087bc0f4: e20314aa  mov	x2, x20
0xfffffff0087bc0f8: 72fcff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bc0fc: 08040011  add	w8, w0, #1
0xfffffff0087bc100: e81f00b9  str	w8, [sp, #0x1c]
0xfffffff0087bc104: f6771f32  mov	w22, #0x7ffffffe
0xfffffff0087bc108: 1f00166b  cmp	w0, w22
0xfffffff0087bc10c: 09008092  mov	x9, #-1
0xfffffff0087bc110: 2921d49a  lsl	x9, x9, x20
0xfffffff0087bc114: e90329aa  mvn	x9, x9
0xfffffff0087bc118: 009149fa  ccmp	x8, x9, #0, ls
0xfffffff0087bc11c: 6d0a0054  b.le	#0xfffffff0087bc268
0xfffffff0087bc120: 094dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bc124: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087bc128: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bc12c: a04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087bc130: 00403691  add	x0, x0, #0xd90
0xfffffff0087bc134: 0192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bc138: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bc13c: 834cffb0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bc140: 63101791  add	x3, x3, #0x5c4
0xfffffff0087bc144: 02008052  mov	w2, #0
0xfffffff0087bc148: fadbed97  bl	#0xfffffff008333130
0xfffffff0087bc14c: 41000014  b	#0xfffffff0087bc250
0xfffffff0087bc150: a89a0651  sub	w8, w21, #0x1a6
0xfffffff0087bc154: 081d0012  and	w8, w8, #0xff
0xfffffff0087bc158: 08050051  sub	w8, w8, #1
0xfffffff0087bc15c: 1f1d0071  cmp	w8, #7
0xfffffff0087bc160: 08060054  b.hi	#0xfffffff0087bc220
0xfffffff0087bc164: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bc168: 0979b5b8  ldrsw	x9, [x8, x21, lsl #2]
0xfffffff0087bc16c: 3f050031  cmn	w9, #1
0xfffffff0087bc170: 80050054  b.eq	#0xfffffff0087bc220
0xfffffff0087bc174: 090d098b  add	x9, x8, x9, lsl #3
0xfffffff0087bc178: 299d43f9  ldr	x9, [x9, #0x738]
0xfffffff0087bc17c: 290500b4  cbz	x9, #0xfffffff0087bc220
0xfffffff0087bc180: 359146b9  ldr	w21, [x9, #0x690]
0xfffffff0087bc184: 349946b9  ldr	w20, [x9, #0x698]
0xfffffff0087bc188: 29d11c91  add	x9, x9, #0x734
0xfffffff0087bc18c: 0a910591  add	x10, x8, #0x164
0xfffffff0087bc190: 200140fd  ldr	d0, [x9]
0xfffffff0087bc194: 400100fd  str	d0, [x10]
0xfffffff0087bc198: 156d01b9  str	w21, [x8, #0x16c]
0xfffffff0087bc19c: 147101b9  str	w20, [x8, #0x170]
0xfffffff0087bc1a0: 692e40f9  ldr	x9, [x19, #0x58]
0xfffffff0087bc1a4: 29094139  ldrb	w9, [x9, #0x42]
0xfffffff0087bc1a8: a90c0034  cbz	w9, #0xfffffff0087bc33c
