; Candidate 11147
; ADRP+ADD at VM 0xfffffff008e7c9ac (fileoff 0x1e789ac): page=0x148e000 add_imm=0xe18

0xfffffff008e7c92c: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008e7c930: e90310aa  mov	x9, x16
0xfffffff008e7c934: e00302aa  mov	x0, x2
0xfffffff008e7c938: f10309aa  mov	x17, x9
0xfffffff008e7c93c: 1122f8f2  movk	x17, #0xc110, lsl #48
0xfffffff008e7c940: 11093fd7  blraa	x8, x17
0xfffffff008e7c944: 02000014  b	#0xfffffff008e7c94c
0xfffffff008e7c948: 220000f9  str	x2, [x1]
0xfffffff008e7c94c: 00008052  mov	w0, #0
0xfffffff008e7c950: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e7c954: ff0f5fd6  retab	
0xfffffff008e7c958: 7f2303d5  pacibsp	
0xfffffff008e7c95c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e7c960: fd030091  mov	x29, sp
0xfffffff008e7c964: 60a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e7c968: 00603891  add	x0, x0, #0xe18
0xfffffff008e7c96c: e12affd0  adrp	x1, #0xfffffff0073da000
0xfffffff008e7c970: 21941291  add	x1, x1, #0x4a5
0xfffffff008e7c974: 0264ffb0  adrp	x2, #0xfffffff007afd000
0xfffffff008e7c978: 429c46f9  ldr	x2, [x2, #0xd38]
0xfffffff008e7c97c: 030c8052  mov	w3, #0x60
0xfffffff008e7c980: 6e9cd197  bl	#0xfffffff0082e3b38
0xfffffff008e7c984: 3064fff0  adrp	x16, #0xfffffff007b03000
0xfffffff008e7c988: 10221f91  add	x16, x16, #0x7c8
0xfffffff008e7c98c: 10420091  add	x16, x16, #0x10
0xfffffff008e7c990: f10300aa  mov	x17, x0
0xfffffff008e7c994: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e7c998: 300ac1da  pacda	x16, x17
0xfffffff008e7c99c: 100000f9  str	x16, [x0]
0xfffffff008e7c9a0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e7c9a4: ff0f5fd6  retab	
0xfffffff008e7c9a8: 5f2403d5  bti	c
0xfffffff008e7c9ac: 60a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e7c9b0: 00603891  add	x0, x0, #0xe18
0xfffffff008e7c9b4: 509fd117  b	#0xfffffff0082e46f4
0xfffffff008e7c9b8: 7f2303d5  pacibsp	
0xfffffff008e7c9bc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e7c9c0: fd030091  mov	x29, sp
0xfffffff008e7c9c4: e12affd0  adrp	x1, #0xfffffff0073da000
0xfffffff008e7c9c8: 21581691  add	x1, x1, #0x596
0xfffffff008e7c9cc: 62a400d0  adrp	x2, #0xfffffff00a30a000
0xfffffff008e7c9d0: 42603891  add	x2, x2, #0xe18
0xfffffff008e7c9d4: 031c8052  mov	w3, #0xe0
0xfffffff008e7c9d8: 589cd197  bl	#0xfffffff0082e3b38
0xfffffff008e7c9dc: 3064fff0  adrp	x16, #0xfffffff007b03000
0xfffffff008e7c9e0: 10622b91  add	x16, x16, #0xad8
0xfffffff008e7c9e4: 10420091  add	x16, x16, #0x10
0xfffffff008e7c9e8: f10300aa  mov	x17, x0
0xfffffff008e7c9ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e7c9f0: 300ac1da  pacda	x16, x17
0xfffffff008e7c9f4: 100000f9  str	x16, [x0]
0xfffffff008e7c9f8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e7c9fc: ff0f5fd6  retab	
0xfffffff008e7ca00: 5f2403d5  bti	c
0xfffffff008e7ca04: 3c9fd117  b	#0xfffffff0082e46f4
0xfffffff008e7ca08: 7f2303d5  pacibsp	
0xfffffff008e7ca0c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e7ca10: fd030091  mov	x29, sp
0xfffffff008e7ca14: 1ffdff97  bl	#0xfffffff008e7be90
0xfffffff008e7ca18: 3064fff0  adrp	x16, #0xfffffff007b03000
0xfffffff008e7ca1c: 10c22191  add	x16, x16, #0x870
0xfffffff008e7ca20: 10420091  add	x16, x16, #0x10
0xfffffff008e7ca24: f10300aa  mov	x17, x0
0xfffffff008e7ca28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
