; Candidate 9686
; ADRP+ADD at VM 0xfffffff008abb4dc (fileoff 0x1ab74dc): page=0x1fe800000 add_imm=0xcee

0xfffffff008abb45c: 69071c33  bfi	w9, w27, #4, #2
0xfffffff008abb460: ab198052  mov	w11, #0xcd
0xfffffff008abb464: 297d0b1b  mul	w9, w9, w11
0xfffffff008abb468: 297d0c53  lsr	w9, w9, #0xc
0xfffffff008abb46c: 2a7f1353  lsr	w10, w25, #0x13
0xfffffff008abb470: 4a191e12  and	w10, w10, #0x1fc
0xfffffff008abb474: 4a7d101b  mul	w10, w10, w16
0xfffffff008abb478: 4a7d1453  lsr	w10, w10, #0x14
0xfffffff008abb47c: 2c4b0b53  ubfx	w12, w25, #0xb, #8
0xfffffff008abb480: 8b7d0b1b  mul	w11, w12, w11
0xfffffff008abb484: 6d7d0a53  lsr	w13, w11, #0xa
0xfffffff008abb488: 2b2b0253  ubfx	w11, w25, #2, #9
0xfffffff008abb48c: 6b7d101b  mul	w11, w11, w16
0xfffffff008abb490: 6f7d1253  lsr	w15, w11, #0x12
0xfffffff008abb494: eb7e1853  lsr	w11, w23, #0x18
0xfffffff008abb498: 2b071833  bfi	w11, w25, #8, #2
0xfffffff008abb49c: 6b7d101b  mul	w11, w11, w16
0xfffffff008abb4a0: 6b7d1253  lsr	w11, w11, #0x12
0xfffffff008abb4a4: ec5e0d53  ubfx	w12, w23, #0xd, #0xb
0xfffffff008abb4a8: 8c7d101b  mul	w12, w12, w16
0xfffffff008abb4ac: 8e7d1253  lsr	w14, w12, #0x12
0xfffffff008abb4b0: ec7e0353  lsr	w12, w23, #3
0xfffffff008abb4b4: 8c211f12  and	w12, w12, #0x3fe
0xfffffff008abb4b8: 8c7d101b  mul	w12, w12, w16
0xfffffff008abb4bc: 8c7d1353  lsr	w12, w12, #0x13
0xfffffff008abb4c0: a08356b8  ldur	w0, [x29, #-0x98]
0xfffffff008abb4c4: 007c1853  lsr	w0, w0, #0x18
0xfffffff008abb4c8: e00a1833  bfi	w0, w23, #8, #3
0xfffffff008abb4cc: 107c101b  mul	w16, w0, w16
0xfffffff008abb4d0: 107e1253  lsr	w16, w16, #0x12
0xfffffff008abb4d4: c03f8052  mov	w0, #0x1fe
0xfffffff008abb4d8: e07b00f9  str	x0, [sp, #0xf0]
0xfffffff008abb4dc: 0040ff90  adrp	x0, #0xfffffff0072bb000
0xfffffff008abb4e0: 00b83391  add	x0, x0, #0xcee
0xfffffff008abb4e4: f1030ea9  stp	x17, x0, [sp, #0xe0]
0xfffffff008abb4e8: b10357f8  ldur	x17, [x29, #-0x90]
0xfffffff008abb4ec: f64708a9  stp	x22, x17, [sp, #0x80]
0xfffffff008abb4f0: b18357f8  ldur	x17, [x29, #-0x88]
0xfffffff008abb4f4: f54707a9  stp	x21, x17, [sp, #0x70]
0xfffffff008abb4f8: b10358f8  ldur	x17, [x29, #-0x80]
0xfffffff008abb4fc: f44706a9  stp	x20, x17, [sp, #0x60]
0xfffffff008abb500: b18358f8  ldur	x17, [x29, #-0x78]
0xfffffff008abb504: e64705a9  stp	x6, x17, [sp, #0x50]
0xfffffff008abb508: b10359f8  ldur	x17, [x29, #-0x70]
0xfffffff008abb50c: e54704a9  stp	x5, x17, [sp, #0x40]
0xfffffff008abb510: e47303a9  stp	x4, x28, [sp, #0x30]
0xfffffff008abb514: e36b02a9  stp	x3, x26, [sp, #0x20]
0xfffffff008abb518: e26301a9  stp	x2, x24, [sp, #0x10]
0xfffffff008abb51c: e11f00a9  stp	x1, x7, [sp]
0xfffffff008abb520: ef370ba9  stp	x15, x13, [sp, #0xb0]
0xfffffff008abb524: e84f0da9  stp	x8, x19, [sp, #0xd0]
0xfffffff008abb528: ea270ca9  stp	x10, x9, [sp, #0xc0]
0xfffffff008abb52c: ee2f0aa9  stp	x14, x11, [sp, #0xa0]
0xfffffff008abb530: 0040ff90  adrp	x0, #0xfffffff0072bb000
0xfffffff008abb534: 00303d91  add	x0, x0, #0xf4c
0xfffffff008abb538: f03309a9  stp	x16, x12, [sp, #0x90]
0xfffffff008abb53c: f463e797  bl	#0xfffffff00849450c
0xfffffff008abb540: 0c000000  udf	#0xc
0xfffffff008abb544: 44000000  udf	#0x44
0xfffffff008abb548: 80000000  udf	#0x80
0xfffffff008abb54c: c8000000  udf	#0xc8
0xfffffff008abb550: 18010000  udf	#0x118
0xfffffff008abb554: 5c010000  udf	#0x15c
0xfffffff008abb558: c8010000  udf	#0x1c8
