; Candidate 2917
; ADRP+ADD at VM 0xfffffff0086f60c8 (fileoff 0x16f20c8): page=0x1fea3b000 add_imm=0xd90

0xfffffff0086f6048: 04000014  b	#0xfffffff0086f6058
0xfffffff0086f604c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086f6050: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0086f6054: ff0f5fd6  retab	
0xfffffff0086f6058: 7f2303d5  pacibsp	
0xfffffff0086f605c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0086f6060: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086f6064: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086f6068: fd830091  add	x29, sp, #0x20
0xfffffff0086f606c: 010500b4  cbz	x1, #0xfffffff0086f610c
0xfffffff0086f6070: f30301aa  mov	x19, x1
0xfffffff0086f6074: 289c47b9  ldr	w8, [x1, #0x79c]
0xfffffff0086f6078: 1f050071  cmp	w8, #1
0xfffffff0086f607c: 8b040054  b.lt	#0xfffffff0086f610c
0xfffffff0086f6080: 6aca43f9  ldr	x10, [x19, #0x790]
0xfffffff0086f6084: ca0100b4  cbz	x10, #0xfffffff0086f60bc
0xfffffff0086f6088: 088045f9  ldr	x8, [x0, #0xb00]
0xfffffff0086f608c: 89828552  mov	w9, #0x2c14
0xfffffff0086f6090: 0b696938  ldrb	w11, [x8, x9]
0xfffffff0086f6094: 100040f9  ldr	x16, [x0]
0xfffffff0086f6098: f10300aa  mov	x17, x0
0xfffffff0086f609c: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0086f60a0: 301ac1da  autda	x16, x17
0xfffffff0086f60a4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0086f60a8: e90310aa  mov	x9, x16
0xfffffff0086f60ac: 0b020034  cbz	w11, #0xfffffff0086f60ec
0xfffffff0086f60b0: 410140b9  ldr	w1, [x10]
0xfffffff0086f60b4: 02008052  mov	w2, #0
0xfffffff0086f60b8: 0f000014  b	#0xfffffff0086f60f4
0xfffffff0086f60bc: e852ff90  adrp	x8, #0xfffffff007152000
0xfffffff0086f60c0: 08750e91  add	x8, x8, #0x39d
0xfffffff0086f60c4: e80300f9  str	x8, [sp]
0xfffffff0086f60c8: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f60cc: 00403691  add	x0, x0, #0xd90
0xfffffff0086f60d0: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f60d4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f60d8: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f60dc: 63c41491  add	x3, x3, #0x531
0xfffffff0086f60e0: 02008052  mov	w2, #0
0xfffffff0086f60e4: 13f4f097  bl	#0xfffffff008333130
0xfffffff0086f60e8: 06000014  b	#0xfffffff0086f6100
0xfffffff0086f60ec: 410540b9  ldr	w1, [x10, #4]
0xfffffff0086f60f0: 22008052  mov	w2, #1
0xfffffff0086f60f4: f10309aa  mov	x17, x9
0xfffffff0086f60f8: f162f9f2  movk	x17, #0xcb17, lsl #48
0xfffffff0086f60fc: 11093fd7  blraa	x8, x17
0xfffffff0086f6100: 689e47b9  ldr	w8, [x19, #0x79c]
0xfffffff0086f6104: 08050051  sub	w8, w8, #1
0xfffffff0086f6108: 689e07b9  str	w8, [x19, #0x79c]
0xfffffff0086f610c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086f6110: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0086f6114: ffc30091  add	sp, sp, #0x30
0xfffffff0086f6118: ff0f5fd6  retab	
0xfffffff0086f611c: 7f2303d5  pacibsp	
0xfffffff0086f6120: ff4301d1  sub	sp, sp, #0x50
0xfffffff0086f6124: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0086f6128: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0086f612c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0086f6130: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0086f6134: fd030191  add	x29, sp, #0x40
0xfffffff0086f6138: f40303aa  mov	x20, x3
0xfffffff0086f613c: f50302aa  mov	x21, x2
0xfffffff0086f6140: f60301aa  mov	x22, x1
0xfffffff0086f6144: f30300aa  mov	x19, x0
