; Candidate 16405
; ADRP+ADD at VM 0xfffffff009e87320 (fileoff 0x2e83320): page=0x1fd9ad000 add_imm=0xe8c

0xfffffff009e872a0: c801f036  tbz	w8, #0x1e, #0xfffffff009e872d8
0xfffffff009e872a4: e94740f9  ldr	x9, [sp, #0x88]
0xfffffff009e872a8: 890100b4  cbz	x9, #0xfffffff009e872d8
0xfffffff009e872ac: 094f40f9  ldr	x9, [x24, #0x98]
0xfffffff009e872b0: 49010037  tbnz	w9, #0, #0xfffffff009e872d8
0xfffffff009e872b4: bfff38a9  stp	xzr, xzr, [x29, #-0x78]
0xfffffff009e872b8: a1e301d1  sub	x1, x29, #0x78
0xfffffff009e872bc: e04740f9  ldr	x0, [sp, #0x88]
0xfffffff009e872c0: e23740f9  ldr	x2, [sp, #0x68]
0xfffffff009e872c4: b69a0294  bl	#0xfffffff009f2dd9c
0xfffffff009e872c8: e8a20491  add	x8, x23, #0x128
0xfffffff009e872cc: a083d83c  ldur	q0, [x29, #-0x78]
0xfffffff009e872d0: 0001803d  str	q0, [x8]
0xfffffff009e872d4: e80640f9  ldr	x8, [x23, #8]
0xfffffff009e872d8: a80250b6  tbz	x8, #0x2a, #0xfffffff009e8732c
0xfffffff009e872dc: 08134179  ldrh	w8, [x24, #0x88]
0xfffffff009e872e0: 080d1412  and	w8, w8, #0xf000
0xfffffff009e872e4: 1f114071  cmp	w8, #4, lsl #12
0xfffffff009e872e8: 21020054  b.ne	#0xfffffff009e8732c
0xfffffff009e872ec: e00314aa  mov	x0, x20
0xfffffff009e872f0: e10317aa  mov	x1, x23
0xfffffff009e872f4: e20318aa  mov	x2, x24
0xfffffff009e872f8: bc030094  bl	#0xfffffff009e881e8
0xfffffff009e872fc: 80010034  cbz	w0, #0xfffffff009e8732c
0xfffffff009e87300: 083e8452  mov	w8, #0x21f0
0xfffffff009e87304: 8802088b  add	x8, x20, x8
0xfffffff009e87308: 090740f9  ldr	x9, [x24, #8]
0xfffffff009e8730c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e87310: 88cdfe90  adrp	x8, #0xfffffff007837000
0xfffffff009e87314: 08312591  add	x8, x8, #0x94c
0xfffffff009e87318: 09b58a52  mov	w9, #0x55a8
0xfffffff009e8731c: e82700a9  stp	x8, x9, [sp]
0xfffffff009e87320: 60cdfeb0  adrp	x0, #0xfffffff007834000
0xfffffff009e87324: 00303a91  add	x0, x0, #0xe8c
0xfffffff009e87328: 67e1ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e8732c: e80640f9  ldr	x8, [x23, #8]
0xfffffff009e87330: 480c28b6  tbz	x8, #0x25, #0xfffffff009e874b8
0xfffffff009e87334: 09a34139  ldrb	w9, [x24, #0x68]
0xfffffff009e87338: 890b3037  tbnz	w9, #6, #0xfffffff009e874a8
0xfffffff009e8733c: fb4700f9  str	x27, [sp, #0x88]
0xfffffff009e87340: fb0316aa  mov	x27, x22
0xfffffff009e87344: 16735029  ldp	w22, w28, [x24, #0x80]
0xfffffff009e87348: 1a134179  ldrh	w26, [x24, #0x88]
0xfffffff009e8734c: e03740f9  ldr	x0, [sp, #0x68]
0xfffffff009e87350: e9c98297  bl	#0xfffffff007f39af4
0xfffffff009e87354: 20020034  cbz	w0, #0xfffffff009e87398
0xfffffff009e87358: fc3b00b9  str	w28, [sp, #0x38]
0xfffffff009e8735c: f97300b9  str	w25, [sp, #0x70]
0xfffffff009e87360: df8e0171  cmp	w22, #0x63
0xfffffff009e87364: f66b0829  stp	w22, w26, [sp, #0x40]
0xfffffff009e87368: 01020054  b.ne	#0xfffffff009e873a8
0xfffffff009e8736c: f6031baa  mov	x22, x27
0xfffffff009e87370: e0031baa  mov	x0, x27
0xfffffff009e87374: 0d9d7c97  bl	#0xfffffff007dae7a8
0xfffffff009e87378: fc3740f9  ldr	x28, [sp, #0x68]
0xfffffff009e8737c: e0031caa  mov	x0, x28
0xfffffff009e87380: f6ca8297  bl	#0xfffffff007f39f58
0xfffffff009e87384: 1c008c97  bl	#0xfffffff0081873f4
0xfffffff009e87388: f90300aa  mov	x25, x0
0xfffffff009e8738c: 28008052  mov	w8, #1
0xfffffff009e87390: e83f00b9  str	w8, [sp, #0x3c]
0xfffffff009e87394: 09000014  b	#0xfffffff009e873b8
0xfffffff009e87398: fa008052  mov	w26, #7
0xfffffff009e8739c: f6031baa  mov	x22, x27
