; Candidate 3575
; ADRP+ADD at VM 0xfffffff008746744 (fileoff 0x1742744): page=0x1fe9eb000 add_imm=0xd90

0xfffffff0087466c4: 88048052  mov	w8, #0x24
0xfffffff0087466c8: 086da572  movk	w8, #0x2b68, lsl #16
0xfffffff0087466cc: 00810051  sub	w0, w8, #0x20
0xfffffff0087466d0: 010080d2  mov	x1, #0
0xfffffff0087466d4: 020080d2  mov	x2, #0
0xfffffff0087466d8: 030080d2  mov	x3, #0
0xfffffff0087466dc: 040080d2  mov	x4, #0
0xfffffff0087466e0: 050080d2  mov	x5, #0
0xfffffff0087466e4: 08dee897  bl	#0xfffffff00817df04
0xfffffff0087466e8: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0087466ec: 680a00f9  str	x8, [x19, #0x10]
0xfffffff0087466f0: 094b4a39  ldrb	w9, [x24, #0x292]
0xfffffff0087466f4: 3f010071  cmp	w9, #0
0xfffffff0087466f8: e9179f1a  cset	w9, eq
0xfffffff0087466fc: 2a030052  eor	w10, w25, #1
0xfffffff008746700: 4901092a  orr	w9, w10, w9
0xfffffff008746704: 49010037  tbnz	w9, #0, #0xfffffff00874672c
0xfffffff008746708: 34010034  cbz	w20, #0xfffffff00874672c
0xfffffff00874670c: e00318aa  mov	x0, x24
0xfffffff008746710: e10315aa  mov	x1, x21
0xfffffff008746714: a9030094  bl	#0xfffffff0087475b8
0xfffffff008746718: 06000014  b	#0xfffffff008746730
0xfffffff00874671c: 98578052  mov	w24, #0x2bc
0xfffffff008746720: 1800bc72  movk	w24, #0xe000, lsl #16
0xfffffff008746724: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff008746728: ce000014  b	#0xfffffff008746a60
0xfffffff00874672c: d41a0034  cbz	w20, #0xfffffff008746a84
0xfffffff008746730: 98578052  mov	w24, #0x2bc
0xfffffff008746734: 1800bc72  movk	w24, #0xe000, lsl #16
0xfffffff008746738: 8850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff00874673c: 08893791  add	x8, x8, #0xde2
0xfffffff008746740: e80300f9  str	x8, [sp]
0xfffffff008746744: 404ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008746748: 00403691  add	x0, x0, #0xd90
0xfffffff00874674c: a195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008746750: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008746754: c34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff008746758: 63343491  add	x3, x3, #0xd0d
0xfffffff00874675c: 02008052  mov	w2, #0
0xfffffff008746760: 74b2ef97  bl	#0xfffffff008333130
0xfffffff008746764: bf000014  b	#0xfffffff008746a60
0xfffffff008746768: f33340f9  ldr	x19, [sp, #0x60]
0xfffffff00874676c: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008746770: 1b0900f9  str	x27, [x8, #0x10]
0xfffffff008746774: e0031baa  mov	x0, x27
0xfffffff008746778: 01008052  mov	w1, #0
0xfffffff00874677c: a2ec4d94  bl	#0xfffffff009ac1a04
0xfffffff008746780: 603600b9  str	w0, [x19, #0x34]
0xfffffff008746784: 34008052  mov	w20, #1
0xfffffff008746788: e0031baa  mov	x0, x27
0xfffffff00874678c: 21008052  mov	w1, #1
0xfffffff008746790: 9dec4d94  bl	#0xfffffff009ac1a04
0xfffffff008746794: 603a00b9  str	w0, [x19, #0x38]
0xfffffff008746798: e0031baa  mov	x0, x27
0xfffffff00874679c: 01008052  mov	w1, #0
0xfffffff0087467a0: e0ed4d94  bl	#0xfffffff009ac1f20
0xfffffff0087467a4: 604600b9  str	w0, [x19, #0x44]
0xfffffff0087467a8: e0031baa  mov	x0, x27
0xfffffff0087467ac: 21008052  mov	w1, #1
0xfffffff0087467b0: dced4d94  bl	#0xfffffff009ac1f20
0xfffffff0087467b4: 604a00b9  str	w0, [x19, #0x48]
0xfffffff0087467b8: e0031baa  mov	x0, x27
0xfffffff0087467bc: 01008052  mov	w1, #0
0xfffffff0087467c0: 33ed4d94  bl	#0xfffffff009ac1c8c
