; Candidate 416
; ADRP+ADD at VM 0xfffffff007f06214 (fileoff 0xf02214): page=0x1ff157000 add_imm=0xea3

0xfffffff007f06194: e00313aa  mov	x0, x19
0xfffffff007f06198: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff007f0619c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff007f061a0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff007f061a4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff007f061a8: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff007f061ac: ffc30191  add	sp, sp, #0x70
0xfffffff007f061b0: ff2303d5  autibsp	
0xfffffff007f061b4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007f061b8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007f061c0
0xfffffff007f061bc: 208e38d4  brk	#0xc471
0xfffffff007f061c0: e9020014  b	#0xfffffff007f06d64
0xfffffff007f061c4: 5f2003d5  wfe	
0xfffffff007f061c8: a01901d0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f061cc: 00203791  add	x0, x0, #0xdc8
0xfffffff007f061d0: 82ceff90  adrp	x2, #0xfffffff0078d6000
0xfffffff007f061d4: 42403791  add	x2, x2, #0xdd0
0xfffffff007f061d8: dba5fa97  bl	#0xfffffff007daf944
0xfffffff007f061dc: b8ffff17  b	#0xfffffff007f060bc
0xfffffff007f061e0: e8108352  mov	w8, #0x1887
0xfffffff007f061e4: a98afff0  adrp	x9, #0xfffffff00705d000
0xfffffff007f061e8: 29410791  add	x9, x9, #0x1d0
0xfffffff007f061ec: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f061f0: f30300f9  str	x19, [sp]
0xfffffff007f061f4: a08afff0  adrp	x0, #0xfffffff00705d000
0xfffffff007f061f8: 00043a91  add	x0, x0, #0xe81
0xfffffff007f061fc: c4381694  bl	#0xfffffff00849450c
0xfffffff007f06200: 683f8352  mov	w8, #0x19fb
0xfffffff007f06204: a98afff0  adrp	x9, #0xfffffff00705d000
0xfffffff007f06208: 29410791  add	x9, x9, #0x1d0
0xfffffff007f0620c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f06210: f30300f9  str	x19, [sp]
0xfffffff007f06214: a08afff0  adrp	x0, #0xfffffff00705d000
0xfffffff007f06218: 008c3a91  add	x0, x0, #0xea3
0xfffffff007f0621c: bc381694  bl	#0xfffffff00849450c
0xfffffff007f06220: 7f2303d5  pacibsp	
0xfffffff007f06224: ff0301d1  sub	sp, sp, #0x40
0xfffffff007f06228: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007f0622c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007f06230: fdc30091  add	x29, sp, #0x30
0xfffffff007f06234: 685b9d52  mov	w8, #0xeadb
0xfffffff007f06238: a801a072  movk	w8, #0xd, lsl #16
0xfffffff007f0623c: 090c40f9  ldr	x9, [x0, #0x18]
0xfffffff007f06240: 3f0108eb  cmp	x9, x8
0xfffffff007f06244: 20130054  b.eq	#0xfffffff007f064a8
0xfffffff007f06248: f30300aa  mov	x19, x0
0xfffffff007f0624c: 0a400091  add	x10, x0, #0x10
0xfffffff007f06250: 0c5040b9  ldr	w12, [x0, #0x50]
0xfffffff007f06254: cc010037  tbnz	w12, #0, #0xfffffff007f0628c
0xfffffff007f06258: 0c030837  tbnz	w12, #1, #0xfffffff007f062b8
0xfffffff007f0625c: 4b0140f9  ldr	x11, [x10]
0xfffffff007f06260: 2c061037  tbnz	w12, #2, #0xfffffff007f06324
0xfffffff007f06264: 4b0d00b4  cbz	x11, #0xfffffff007f0640c
0xfffffff007f06268: 6c0d40f9  ldr	x12, [x11, #0x18]
0xfffffff007f0626c: 9f010aeb  cmp	x12, x10
0xfffffff007f06270: 81140054  b.ne	#0xfffffff007f06500
0xfffffff007f06274: 2a0140f9  ldr	x10, [x9]
0xfffffff007f06278: 5f0113eb  cmp	x10, x19
0xfffffff007f0627c: e1120054  b.ne	#0xfffffff007f064d8
0xfffffff007f06280: 690d00f9  str	x9, [x11, #0x18]
0xfffffff007f06284: 6a2641a9  ldp	x10, x9, [x19, #0x10]
0xfffffff007f06288: 67000014  b	#0xfffffff007f06424
0xfffffff007f0628c: 4b0140f9  ldr	x11, [x10]
0xfffffff007f06290: ab0200b4  cbz	x11, #0xfffffff007f062e4
