; Candidate 9982
; ADRP+ADD at VM 0xfffffff008bd8f78 (fileoff 0x1bd4f78): page=0x1feec1000 add_imm=0xea8

0xfffffff008bd8ef8: 10221991  add	x16, x16, #0x648
0xfffffff008bd8efc: 10420091  add	x16, x16, #0x10
0xfffffff008bd8f00: f10300aa  mov	x17, x0
0xfffffff008bd8f04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bd8f08: 300ac1da  pacda	x16, x17
0xfffffff008bd8f0c: 100000f9  str	x16, [x0]
0xfffffff008bd8f10: 008840f9  ldr	x0, [x0, #0x110]
0xfffffff008bd8f14: 400100b4  cbz	x0, #0xfffffff008bd8f3c
0xfffffff008bd8f18: 100040f9  ldr	x16, [x0]
0xfffffff008bd8f1c: f10300aa  mov	x17, x0
0xfffffff008bd8f20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bd8f24: 301ac1da  autda	x16, x17
0xfffffff008bd8f28: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008bd8f2c: e90310aa  mov	x9, x16
0xfffffff008bd8f30: f10309aa  mov	x17, x9
0xfffffff008bd8f34: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008bd8f38: 11093fd7  blraa	x8, x17
0xfffffff008bd8f3c: 7f8a00f9  str	xzr, [x19, #0x110]
0xfffffff008bd8f40: e00313aa  mov	x0, x19
0xfffffff008bd8f44: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008bd8f48: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008bd8f4c: ff2303d5  autibsp	
0xfffffff008bd8f50: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008bd8f54: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008bd8f5c
0xfffffff008bd8f58: 208e38d4  brk	#0xc471
0xfffffff008bd8f5c: a5133514  b	#0xfffffff00991ddf0
0xfffffff008bd8f60: 7f2303d5  pacibsp	
0xfffffff008bd8f64: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008bd8f68: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008bd8f6c: fd430091  add	x29, sp, #0x10
0xfffffff008bd8f70: f30300aa  mov	x19, x0
0xfffffff008bd8f74: dbffff97  bl	#0xfffffff008bd8ee0
0xfffffff008bd8f78: 0076ffb0  adrp	x0, #0xfffffff007a99000
0xfffffff008bd8f7c: 00a03a91  add	x0, x0, #0xea8
0xfffffff008bd8f80: e10313aa  mov	x1, x19
0xfffffff008bd8f84: 02238052  mov	w2, #0x118
0xfffffff008bd8f88: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008bd8f8c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008bd8f90: ff2303d5  autibsp	
0xfffffff008bd8f94: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008bd8f98: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008bd8fa0
0xfffffff008bd8f9c: 208e38d4  brk	#0xc471
0xfffffff008bd8fa0: bf39dc17  b	#0xfffffff0082e769c
0xfffffff008bd8fa4: 5f2403d5  bti	c
0xfffffff008bd8fa8: e20301aa  mov	x2, x1
0xfffffff008bd8fac: e10300aa  mov	x1, x0
0xfffffff008bd8fb0: 0076ffb0  adrp	x0, #0xfffffff007a99000
0xfffffff008bd8fb4: 00a03a91  add	x0, x0, #0xea8
0xfffffff008bd8fb8: b939dc17  b	#0xfffffff0082e769c
0xfffffff008bd8fbc: 5f2403d5  bti	c
0xfffffff008bd8fc0: 60b800b0  adrp	x0, #0xfffffff00a2e5000
0xfffffff008bd8fc4: 00a01e91  add	x0, x0, #0x7a8
0xfffffff008bd8fc8: c0035fd6  ret	
0xfffffff008bd8fcc: 7f2303d5  pacibsp	
0xfffffff008bd8fd0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008bd8fd4: fd030091  mov	x29, sp
0xfffffff008bd8fd8: e13afff0  adrp	x1, #0xfffffff007337000
0xfffffff008bd8fdc: 21e02c91  add	x1, x1, #0xb38
0xfffffff008bd8fe0: 0276ff90  adrp	x2, #0xfffffff007a98000
0xfffffff008bd8fe4: 42d042f9  ldr	x2, [x2, #0x5a0]
0xfffffff008bd8fe8: 03238052  mov	w3, #0x118
0xfffffff008bd8fec: d32adc97  bl	#0xfffffff0082e3b38
0xfffffff008bd8ff0: 1076ff90  adrp	x16, #0xfffffff007a98000
0xfffffff008bd8ff4: 10023591  add	x16, x16, #0xd40
