; Candidate 3895
; ADRP+ADD at VM 0xfffffff00876fc08 (fileoff 0x176bc08): page=0x1fe9c2000 add_imm=0xd90

0xfffffff00876fb88: e10319aa  mov	x1, x25
0xfffffff00876fb8c: 8173d797  bl	#0xfffffff007d4c990
0xfffffff00876fb90: 390f1b8b  add	x25, x25, x27, lsl #3
0xfffffff00876fb94: 5a070011  add	w26, w26, #1
0xfffffff00876fb98: a80a40b9  ldr	w8, [x21, #8]
0xfffffff00876fb9c: 5f03086b  cmp	w26, w8
0xfffffff00876fba0: 2bfdff54  b.lt	#0xfffffff00876fb44
0xfffffff00876fba4: 14008052  mov	w20, #0
0xfffffff00876fba8: 0c000014  b	#0xfffffff00876fbd8
0xfffffff00876fbac: 94578052  mov	w20, #0x2bc
0xfffffff00876fbb0: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00876fbb4: e84f00a9  stp	x8, x19, [sp]
0xfffffff00876fbb8: 004effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876fbbc: 00403691  add	x0, x0, #0xd90
0xfffffff00876fbc0: 6194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876fbc4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876fbc8: a34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876fbcc: 630c2c91  add	x3, x3, #0xb03
0xfffffff00876fbd0: 02008052  mov	w2, #0
0xfffffff00876fbd4: 570def97  bl	#0xfffffff008333130
0xfffffff00876fbd8: e00314aa  mov	x0, x20
0xfffffff00876fbdc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00876fbe0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00876fbe4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00876fbe8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00876fbec: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00876fbf0: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff00876fbf4: ff030291  add	sp, sp, #0x80
0xfffffff00876fbf8: ff0f5fd6  retab	
0xfffffff00876fbfc: 94578052  mov	w20, #0x2bc
0xfffffff00876fc00: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00876fc04: fb7300a9  stp	x27, x28, [sp]
0xfffffff00876fc08: 004effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876fc0c: 00403691  add	x0, x0, #0xd90
0xfffffff00876fc10: 6194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876fc14: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876fc18: a34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876fc1c: 63ec2c91  add	x3, x3, #0xb3b
0xfffffff00876fc20: 02008052  mov	w2, #0
0xfffffff00876fc24: 430def97  bl	#0xfffffff008333130
0xfffffff00876fc28: ecffff17  b	#0xfffffff00876fbd8
0xfffffff00876fc2c: 94578052  mov	w20, #0x2bc
0xfffffff00876fc30: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00876fc34: fbf300a9  stp	x27, x28, [sp, #8]
0xfffffff00876fc38: f30300f9  str	x19, [sp]
0xfffffff00876fc3c: 004effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876fc40: 00403691  add	x0, x0, #0xd90
0xfffffff00876fc44: 6194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876fc48: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876fc4c: a34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876fc50: 63042e91  add	x3, x3, #0xb81
0xfffffff00876fc54: 02008052  mov	w2, #0
0xfffffff00876fc58: 360def97  bl	#0xfffffff008333130
0xfffffff00876fc5c: dfffff17  b	#0xfffffff00876fbd8
0xfffffff00876fc60: 7f2303d5  pacibsp	
0xfffffff00876fc64: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00876fc68: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00876fc6c: fd430091  add	x29, sp, #0x10
0xfffffff00876fc70: f30300aa  mov	x19, x0
0xfffffff00876fc74: a094ffd0  adrp	x0, #0xfffffff007a05000
0xfffffff00876fc78: 00a00991  add	x0, x0, #0x268
0xfffffff00876fc7c: 1e9aef97  bl	#0xfffffff0083564f4
0xfffffff00876fc80: e10313aa  mov	x1, x19
0xfffffff00876fc84: fd7b41a9  ldp	x29, x30, [sp, #0x10]
