; Candidate 11270
; ADRP+ADD at VM 0xfffffff008edb084 (fileoff 0x1ed7084): page=0x1fec39000 add_imm=0xe40

0xfffffff008edb004: 00582391  add	x0, x0, #0x8d6
0xfffffff008edb008: 41e5d697  bl	#0xfffffff00849450c
0xfffffff008edb00c: 00000000  udf	#0
0xfffffff008edb010: 5f2403d5  bti	c
0xfffffff008edb014: b825d017  b	#0xfffffff0082e46f4
0xfffffff008edb018: 5f2403d5  bti	c
0xfffffff008edb01c: d894d417  b	#0xfffffff00840037c
0xfffffff008edb020: 7f2303d5  pacibsp	
0xfffffff008edb024: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008edb028: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008edb02c: fd430091  add	x29, sp, #0x10
0xfffffff008edb030: f30300aa  mov	x19, x0
0xfffffff008edb034: d294d497  bl	#0xfffffff00840037c
0xfffffff008edb038: c061ffb0  adrp	x0, #0xfffffff007b14000
0xfffffff008edb03c: 00003991  add	x0, x0, #0xe40
0xfffffff008edb040: e10313aa  mov	x1, x19
0xfffffff008edb044: 021d8052  mov	w2, #0xe8
0xfffffff008edb048: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008edb04c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008edb050: ff2303d5  autibsp	
0xfffffff008edb054: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008edb058: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008edb060
0xfffffff008edb05c: 208e38d4  brk	#0xc471
0xfffffff008edb060: 8f31d017  b	#0xfffffff0082e769c
0xfffffff008edb064: 5f2403d5  bti	c
0xfffffff008edb068: 80a10090  adrp	x0, #0xfffffff00a30b000
0xfffffff008edb06c: 00e01791  add	x0, x0, #0x5f8
0xfffffff008edb070: c0035fd6  ret	
0xfffffff008edb074: 7f2303d5  pacibsp	
0xfffffff008edb078: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008edb07c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008edb080: fd430091  add	x29, sp, #0x10
0xfffffff008edb084: c061ffb0  adrp	x0, #0xfffffff007b14000
0xfffffff008edb088: 00003991  add	x0, x0, #0xe40
0xfffffff008edb08c: 011d8052  mov	w1, #0xe8
0xfffffff008edb090: 6a31d097  bl	#0xfffffff0082e7638
0xfffffff008edb094: f30300aa  mov	x19, x0
0xfffffff008edb098: 94a10090  adrp	x20, #0xfffffff00a30b000
0xfffffff008edb09c: 94e21791  add	x20, x20, #0x5f8
0xfffffff008edb0a0: e10314aa  mov	x1, x20
0xfffffff008edb0a4: a094d497  bl	#0xfffffff008400324
0xfffffff008edb0a8: b061ffd0  adrp	x16, #0xfffffff007b11000
0xfffffff008edb0ac: 10021e91  add	x16, x16, #0x780
0xfffffff008edb0b0: 10420091  add	x16, x16, #0x10
0xfffffff008edb0b4: f10300aa  mov	x17, x0
0xfffffff008edb0b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008edb0bc: 300ac1da  pacda	x16, x17
0xfffffff008edb0c0: 100000f9  str	x16, [x0]
0xfffffff008edb0c4: e00314aa  mov	x0, x20
0xfffffff008edb0c8: 1b28d097  bl	#0xfffffff0082e5134
0xfffffff008edb0cc: e00313aa  mov	x0, x19
0xfffffff008edb0d0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008edb0d4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008edb0d8: ff0f5fd6  retab	
0xfffffff008edb0dc: 7f2303d5  pacibsp	
0xfffffff008edb0e0: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008edb0e4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008edb0e8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008edb0ec: fd830091  add	x29, sp, #0x20
0xfffffff008edb0f0: f40302aa  mov	x20, x2
0xfffffff008edb0f4: f30300aa  mov	x19, x0
0xfffffff008edb0f8: a861ffd0  adrp	x8, #0xfffffff007b11000
0xfffffff008edb0fc: 083543f9  ldr	x8, [x8, #0x668]
0xfffffff008edb100: 09811591  add	x9, x8, #0x560
