; Candidate 2373
; ADRP+ADD at VM 0xfffffff0086347c4 (fileoff 0x16307c4): page=0x1feada000 add_imm=0xec4

0xfffffff008634744: e8d701a9  stp	x8, x21, [sp, #0x18]
0xfffffff008634748: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff00863474c: ea0300f9  str	x10, [sp]
0xfffffff008634750: a056ff90  adrp	x0, #0xfffffff007108000
0xfffffff008634754: 00d01491  add	x0, x0, #0x534
0xfffffff008634758: 0bffff97  bl	#0xfffffff008634384
0xfffffff00863475c: 18000014  b	#0xfffffff0086347bc
0xfffffff008634760: f5588052  mov	w21, #0x2c7
0xfffffff008634764: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff008634768: 700240f9  ldr	x16, [x19]
0xfffffff00863476c: f10313aa  mov	x17, x19
0xfffffff008634770: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008634774: 301ac1da  autda	x16, x17
0xfffffff008634778: 113d80d2  mov	x17, #0x1e8
0xfffffff00863477c: 1002118b  add	x16, x16, x17
0xfffffff008634780: 080240f9  ldr	x8, [x16]
0xfffffff008634784: e90310aa  mov	x9, x16
0xfffffff008634788: e00313aa  mov	x0, x19
0xfffffff00863478c: 010080d2  mov	x1, #0
0xfffffff008634790: f10309aa  mov	x17, x9
0xfffffff008634794: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008634798: 11093fd7  blraa	x8, x17
0xfffffff00863479c: c80b8052  mov	w8, #0x5e
0xfffffff0086347a0: c956ffb0  adrp	x9, #0xfffffff00710d000
0xfffffff0086347a4: 29d12b91  add	x9, x9, #0xaf4
0xfffffff0086347a8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086347ac: f50300a9  stp	x21, x0, [sp]
0xfffffff0086347b0: a056ffd0  adrp	x0, #0xfffffff00710a000
0xfffffff0086347b4: 00701691  add	x0, x0, #0x59c
0xfffffff0086347b8: f3feff97  bl	#0xfffffff008634384
0xfffffff0086347bc: e80315aa  mov	x8, x21
0xfffffff0086347c0: e80300f9  str	x8, [sp]
0xfffffff0086347c4: c056ffd0  adrp	x0, #0xfffffff00710e000
0xfffffff0086347c8: 00103b91  add	x0, x0, #0xec4
0xfffffff0086347cc: eefeff97  bl	#0xfffffff008634384
0xfffffff0086347d0: 68aa40b9  ldr	w8, [x19, #0xa8]
0xfffffff0086347d4: 0900bc52  mov	w9, #-0x20000000
0xfffffff0086347d8: 0901090b  add	w9, w8, w9
0xfffffff0086347dc: 0a7d1813  asr	w10, w8, #0x18
0xfffffff0086347e0: 297d1853  lsr	w9, w9, #0x18
0xfffffff0086347e4: 3f7d0171  cmp	w9, #0x5f
0xfffffff0086347e8: 09048052  mov	w9, #0x20
0xfffffff0086347ec: 4a31891a  csel	w10, w10, w9, lo
0xfffffff0086347f0: 0b5d1853  lsl	w11, w8, #8
0xfffffff0086347f4: 6b1d0812  and	w11, w11, #0xff000000
0xfffffff0086347f8: 0ce0af52  mov	w12, #0x7f000000
0xfffffff0086347fc: 7f010c6b  cmp	w11, w12
0xfffffff008634800: 6811577a  ccmp	w11, w23, #8, ne
0xfffffff008634804: 6b7d1813  asr	w11, w11, #0x18
0xfffffff008634808: 2bb18b1a  csel	w11, w9, w11, lt
0xfffffff00863480c: 0d3d1053  lsl	w13, w8, #0x10
0xfffffff008634810: ad1d0812  and	w13, w13, #0xff000000
0xfffffff008634814: bf010c6b  cmp	w13, w12
0xfffffff008634818: a811577a  ccmp	w13, w23, #8, ne
0xfffffff00863481c: ad7d1813  asr	w13, w13, #0x18
0xfffffff008634820: 2db18d1a  csel	w13, w9, w13, lt
0xfffffff008634824: 0e1d0853  lsl	w14, w8, #0x18
0xfffffff008634828: df010c6b  cmp	w14, w12
0xfffffff00863482c: c811577a  ccmp	w14, w23, #8, ne
0xfffffff008634830: 081d0013  sxtb	w8, w8
0xfffffff008634834: 28b1881a  csel	w8, w9, w8, lt
0xfffffff008634838: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff00863483c: ebb700a9  stp	x11, x13, [sp, #8]
0xfffffff008634840: ea0300f9  str	x10, [sp]
