; Candidate 3333
; ADRP+ADD at VM 0xfffffff0087339e4 (fileoff 0x172f9e4): page=0x1ff2d0000 add_imm=0xe28

0xfffffff008733964: 94fc0014  b	#0xfffffff008772bb4
0xfffffff008733968: 7f2303d5  pacibsp	
0xfffffff00873396c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008733970: fd030091  mov	x29, sp
0xfffffff008733974: 3f000071  cmp	w1, #0
0xfffffff008733978: 080a8052  mov	w8, #0x50
0xfffffff00873397c: 89088052  mov	w9, #0x44
0xfffffff008733980: 2801889a  csel	x8, x9, x8, eq
0xfffffff008733984: 016868b8  ldr	w1, [x0, x8]
0xfffffff008733988: 3efd0094  bl	#0xfffffff008772e80
0xfffffff00873398c: 00401053  ubfx	w0, w0, #0x10, #1
0xfffffff008733990: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008733994: ff0f5fd6  retab	
0xfffffff008733998: 5f2403d5  bti	c
0xfffffff00873399c: 20008052  mov	w0, #1
0xfffffff0087339a0: c0035fd6  ret	
0xfffffff0087339a4: 7f2303d5  pacibsp	
0xfffffff0087339a8: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0087339ac: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087339b0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087339b4: fd830091  add	x29, sp, #0x20
0xfffffff0087339b8: f30302aa  mov	x19, x2
0xfffffff0087339bc: f40301aa  mov	x20, x1
0xfffffff0087339c0: f50300aa  mov	x21, x0
0xfffffff0087339c4: c3660094  bl	#0xfffffff00874d4d0
0xfffffff0087339c8: 5096fff0  adrp	x16, #0xfffffff0079fe000
0xfffffff0087339cc: 10423791  add	x16, x16, #0xdd0
0xfffffff0087339d0: 10420091  add	x16, x16, #0x10
0xfffffff0087339d4: f10300aa  mov	x17, x0
0xfffffff0087339d8: d1d6eff2  movk	x17, #0x7eb6, lsl #48
0xfffffff0087339dc: 300ac1da  pacda	x16, x17
0xfffffff0087339e0: 100000f9  str	x16, [x0]
0xfffffff0087339e4: 8096ff90  adrp	x0, #0xfffffff007a03000
0xfffffff0087339e8: 00a03891  add	x0, x0, #0xe28
0xfffffff0087339ec: c28af097  bl	#0xfffffff0083564f4
0xfffffff0087339f0: e10314aa  mov	x1, x20
0xfffffff0087339f4: e20313aa  mov	x2, x19
0xfffffff0087339f8: f3e10094  bl	#0xfffffff00876c1c4
0xfffffff0087339fc: a00600f9  str	x0, [x21, #8]
0xfffffff008733a00: e00315aa  mov	x0, x21
0xfffffff008733a04: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008733a08: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008733a0c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008733a10: ff0f5fd6  retab	
0xfffffff008733a14: 5f2403d5  bti	c
0xfffffff008733a18: e3ffff17  b	#0xfffffff0087339a4
0xfffffff008733a1c: 7f2303d5  pacibsp	
0xfffffff008733a20: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008733a24: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008733a28: fd430091  add	x29, sp, #0x10
0xfffffff008733a2c: f30302aa  mov	x19, x2
0xfffffff008733a30: f40301aa  mov	x20, x1
0xfffffff008733a34: 8096ff90  adrp	x0, #0xfffffff007a03000
0xfffffff008733a38: 00a03891  add	x0, x0, #0xe28
0xfffffff008733a3c: ae8af097  bl	#0xfffffff0083564f4
0xfffffff008733a40: e10314aa  mov	x1, x20
0xfffffff008733a44: e20313aa  mov	x2, x19
0xfffffff008733a48: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008733a4c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008733a50: ff2303d5  autibsp	
0xfffffff008733a54: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008733a58: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008733a60
0xfffffff008733a5c: 208e38d4  brk	#0xc471
0xfffffff008733a60: d9e10014  b	#0xfffffff00876c1c4
