; Candidate 8364
; ADRP+ADD at VM 0xfffffff0088a6854 (fileoff 0x18a2854): page=0x1fe943000 add_imm=0xe80

0xfffffff0088a67d4: 00c0221e  fcvt	d0, s0
0xfffffff0088a67d8: a30b702d  ldp	s3, s2, [x29, #-0x80]
0xfffffff0088a67dc: 42d8215e  scvtf	s2, s2
0xfffffff0088a67e0: 42c0221e  fcvt	d2, s2
0xfffffff0088a67e4: 294bffb0  adrp	x9, #0xfffffff00720b000
0xfffffff0088a67e8: 24e945fd  ldr	d4, [x9, #0xbd0]
0xfffffff0088a67ec: 4208641e  fmul	d2, d2, d4
0xfffffff0088a67f0: 0008441f  fmadd	d0, d0, d4, d2
0xfffffff0088a67f4: 62d8215e  scvtf	s2, s3
0xfffffff0088a67f8: 21d8215e  scvtf	s1, s1
0xfffffff0088a67fc: 4128211e  fadd	s1, s2, s1
0xfffffff0088a6800: 21c0221e  fcvt	d1, s1
0xfffffff0088a6804: 494affb0  adrp	x9, #0xfffffff0071ef000
0xfffffff0088a6808: 222140fd  ldr	d2, [x9, #0x40]
0xfffffff0088a680c: 2000421f  fmadd	d0, d1, d2, d0
0xfffffff0088a6810: 9e000014  b	#0xfffffff0088a6a88
0xfffffff0088a6814: 66360094  bl	#0xfffffff0088b41ac
0xfffffff0088a6818: f70300aa  mov	x23, x0
0xfffffff0088a681c: e0008052  mov	w0, #7
0xfffffff0088a6820: 0c54ff97  bl	#0xfffffff00887b850
0xfffffff0088a6824: e80316aa  mov	x8, x22
0xfffffff0088a6828: 690240b9  ldr	w9, [x19]
0xfffffff0088a682c: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0088a6830: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088a6834: 684cff90  adrp	x8, #0xfffffff007232000
0xfffffff0088a6838: 08991991  add	x8, x8, #0x666
0xfffffff0088a683c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a6840: 684cff90  adrp	x8, #0xfffffff007232000
0xfffffff0088a6844: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a6848: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a684c: 680f8052  mov	w8, #0x7b
0xfffffff0088a6850: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a6854: 004afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a6858: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a685c: 018bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a6860: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a6864: e34dff90  adrp	x3, #0xfffffff007262000
0xfffffff0088a6868: 63a81c91  add	x3, x3, #0x72a
0xfffffff0088a686c: 02008052  mov	w2, #0
0xfffffff0088a6870: 3032ea97  bl	#0xfffffff008333130
0xfffffff0088a6874: 15f5ffb5  cbnz	x21, #0xfffffff0088a6714
0xfffffff0088a6878: 600f8052  mov	w0, #0x7b
0xfffffff0088a687c: 81008052  mov	w1, #4
0xfffffff0088a6880: d453ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a6884: 000b0034  cbz	w0, #0xfffffff0088a69e4
0xfffffff0088a6888: 600f8052  mov	w0, #0x7b
0xfffffff0088a688c: e353ff97  bl	#0xfffffff00887b818
0xfffffff0088a6890: f80300aa  mov	x24, x0
0xfffffff0088a6894: 46360094  bl	#0xfffffff0088b41ac
0xfffffff0088a6898: f70300aa  mov	x23, x0
0xfffffff0088a689c: 80008052  mov	w0, #4
0xfffffff0088a68a0: ec53ff97  bl	#0xfffffff00887b850
0xfffffff0088a68a4: 98060034  cbz	w24, #0xfffffff0088a6974
0xfffffff0088a68a8: e80316aa  mov	x8, x22
0xfffffff0088a68ac: 690240b9  ldr	w9, [x19]
0xfffffff0088a68b0: ff2305a9  stp	xzr, x8, [sp, #0x50]
0xfffffff0088a68b4: 684cff90  adrp	x8, #0xfffffff007232000
0xfffffff0088a68b8: 08390391  add	x8, x8, #0xce
0xfffffff0088a68bc: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff0088a68c0: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a68c4: c87b8052  mov	w8, #0x3de
0xfffffff0088a68c8: 694cff90  adrp	x9, #0xfffffff007232000
0xfffffff0088a68cc: 29991991  add	x9, x9, #0x666
0xfffffff0088a68d0: e92302a9  stp	x9, x8, [sp, #0x20]
