; Candidate 9465
; ADRP+ADD at VM 0xfffffff008a52060 (fileoff 0x1a4e060): page=0x1ff00b000 add_imm=0xed8

0xfffffff008a51fe0: f10309aa  mov	x17, x9
0xfffffff008a51fe4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a51fe8: 11093fd7  blraa	x8, x17
0xfffffff008a51fec: 7f5600f9  str	xzr, [x19, #0xa8]
0xfffffff008a51ff0: e00313aa  mov	x0, x19
0xfffffff008a51ff4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a51ff8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008a51ffc: ff2303d5  autibsp	
0xfffffff008a52000: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008a52004: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008a5200c
0xfffffff008a52008: 208e38d4  brk	#0xc471
0xfffffff008a5200c: cdc7e417  b	#0xfffffff008383f40
0xfffffff008a52010: 7f2303d5  pacibsp	
0xfffffff008a52014: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a52018: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a5201c: fd430091  add	x29, sp, #0x10
0xfffffff008a52020: f30300aa  mov	x19, x0
0xfffffff008a52024: c3ffff97  bl	#0xfffffff008a51f30
0xfffffff008a52028: 4080fff0  adrp	x0, #0xfffffff007a5d000
0xfffffff008a5202c: 00603b91  add	x0, x0, #0xed8
0xfffffff008a52030: e10313aa  mov	x1, x19
0xfffffff008a52034: 02188052  mov	w2, #0xc0
0xfffffff008a52038: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a5203c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008a52040: ff2303d5  autibsp	
0xfffffff008a52044: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008a52048: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008a52050
0xfffffff008a5204c: 208e38d4  brk	#0xc471
0xfffffff008a52050: 9355e217  b	#0xfffffff0082e769c
0xfffffff008a52054: 5f2403d5  bti	c
0xfffffff008a52058: e20301aa  mov	x2, x1
0xfffffff008a5205c: e10300aa  mov	x1, x0
0xfffffff008a52060: 4080fff0  adrp	x0, #0xfffffff007a5d000
0xfffffff008a52064: 00603b91  add	x0, x0, #0xed8
0xfffffff008a52068: 8d55e217  b	#0xfffffff0082e769c
0xfffffff008a5206c: 5f2403d5  bti	c
0xfffffff008a52070: 60c400b0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a52074: 00400a91  add	x0, x0, #0x290
0xfffffff008a52078: c0035fd6  ret	
0xfffffff008a5207c: 7f2303d5  pacibsp	
0xfffffff008a52080: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a52084: fd030091  mov	x29, sp
0xfffffff008a52088: a142ff90  adrp	x1, #0xfffffff0072a6000
0xfffffff008a5208c: 21803591  add	x1, x1, #0xd60
0xfffffff008a52090: 4280ffd0  adrp	x2, #0xfffffff007a5c000
0xfffffff008a52094: 424047f9  ldr	x2, [x2, #0xe80]
0xfffffff008a52098: 03188052  mov	w3, #0xc0
0xfffffff008a5209c: a746e297  bl	#0xfffffff0082e3b38
0xfffffff008a520a0: 5080fff0  adrp	x16, #0xfffffff007a5d000
0xfffffff008a520a4: 10423391  add	x16, x16, #0xcd0
0xfffffff008a520a8: 10420091  add	x16, x16, #0x10
0xfffffff008a520ac: f10300aa  mov	x17, x0
0xfffffff008a520b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a520b4: 300ac1da  pacda	x16, x17
0xfffffff008a520b8: 100000f9  str	x16, [x0]
0xfffffff008a520bc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a520c0: ff0f5fd6  retab	
0xfffffff008a520c4: 7f2303d5  pacibsp	
0xfffffff008a520c8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a520cc: fd030091  mov	x29, sp
0xfffffff008a520d0: 4080fff0  adrp	x0, #0xfffffff007a5d000
0xfffffff008a520d4: 00603b91  add	x0, x0, #0xed8
0xfffffff008a520d8: 01188052  mov	w1, #0xc0
0xfffffff008a520dc: 5755e297  bl	#0xfffffff0082e7638
