; Candidate 6202
; ADRP+ADD at VM 0xfffffff008819f40 (fileoff 0x1815f40): page=0x1fe9d0000 add_imm=0xe80

0xfffffff008819ec0: 7a210034  cbz	w26, #0xfffffff00881a2ec
0xfffffff008819ec4: e80318aa  mov	x8, x24
0xfffffff008819ec8: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008819ecc: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff008819ed0: e80316aa  mov	x8, x22
0xfffffff008819ed4: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff008819ed8: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff008819edc: a84ffff0  adrp	x8, #0xfffffff007210000
0xfffffff008819ee0: 08b92791  add	x8, x8, #0x9ee
0xfffffff008819ee4: 49368152  mov	w9, #0x9b2
0xfffffff008819ee8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008819eec: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff008819ef0: 08911491  add	x8, x8, #0x524
0xfffffff008819ef4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008819ef8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008819efc: 880e8052  mov	w8, #0x74
0xfffffff008819f00: 2050ffd0  adrp	x0, #0xfffffff00721f000
0xfffffff008819f04: 009c0391  add	x0, x0, #0xe7
0xfffffff008819f08: 04040014  b	#0xfffffff00881af18
0xfffffff008819f0c: a8680294  bl	#0xfffffff0088b41ac
0xfffffff008819f10: f80300aa  mov	x24, x0
0xfffffff008819f14: c0008052  mov	w0, #6
0xfffffff008819f18: 4e860194  bl	#0xfffffff00887b850
0xfffffff008819f1c: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff008819f20: e80316aa  mov	x8, x22
0xfffffff008819f24: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff008819f28: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff008819f2c: 08911491  add	x8, x8, #0x524
0xfffffff008819f30: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008819f34: 880e8052  mov	w8, #0x74
0xfffffff008819f38: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008819f3c: f80300f9  str	x24, [sp]
0xfffffff008819f40: 804eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008819f44: 00003a91  add	x0, x0, #0xe80
0xfffffff008819f48: 618ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008819f4c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008819f50: 8351ff90  adrp	x3, #0xfffffff007249000
0xfffffff008819f54: 63580b91  add	x3, x3, #0x2d6
0xfffffff008819f58: 02008052  mov	w2, #0
0xfffffff008819f5c: 7564ec97  bl	#0xfffffff008333130
0xfffffff008819f60: d3f6ffb5  cbnz	x19, #0xfffffff008819e38
0xfffffff008819f64: 800e8052  mov	w0, #0x74
0xfffffff008819f68: 81008052  mov	w1, #4
0xfffffff008819f6c: 19860194  bl	#0xfffffff00887b7d0
0xfffffff008819f70: 400a0034  cbz	w0, #0xfffffff00881a0b8
0xfffffff008819f74: 800e8052  mov	w0, #0x74
0xfffffff008819f78: 28860194  bl	#0xfffffff00887b818
0xfffffff008819f7c: f90300aa  mov	x25, x0
0xfffffff008819f80: 8b680294  bl	#0xfffffff0088b41ac
0xfffffff008819f84: f80300aa  mov	x24, x0
0xfffffff008819f88: 80008052  mov	w0, #4
0xfffffff008819f8c: 31860194  bl	#0xfffffff00887b850
0xfffffff008819f90: 39060034  cbz	w25, #0xfffffff00881a054
0xfffffff008819f94: f5df04a9  stp	x21, x23, [sp, #0x48]
0xfffffff008819f98: e80316aa  mov	x8, x22
0xfffffff008819f9c: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008819fa0: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff008819fa4: 085d0191  add	x8, x8, #0x57
0xfffffff008819fa8: a9338152  mov	w9, #0x99d
0xfffffff008819fac: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008819fb0: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff008819fb4: 08911491  add	x8, x8, #0x524
0xfffffff008819fb8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008819fbc: e00b00f9  str	x0, [sp, #0x10]
