; Candidate 15164
; ADRP+ADD at VM 0xfffffff009af58a8 (fileoff 0x2af18a8): page=0x1fe1de000 add_imm=0xd50

0xfffffff009af5828: e00313aa  mov	x0, x19
0xfffffff009af582c: f10309aa  mov	x17, x9
0xfffffff009af5830: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009af5834: 11093fd7  blraa	x8, x17
0xfffffff009af5838: 48bc9f97  bl	#0xfffffff0082e4958
0xfffffff009af583c: 68ce40f9  ldr	x8, [x19, #0x198]
0xfffffff009af5840: e02300a9  stp	x0, x8, [sp]
0xfffffff009af5844: 20d9fe90  adrp	x0, #0xfffffff007619000
0xfffffff009af5848: 00002f91  add	x0, x0, #0xbc0
0xfffffff009af584c: 810effd0  adrp	x1, #0xfffffff007cc7000
0xfffffff009af5850: 215444f9  ldr	x1, [x1, #0x8a8]
0xfffffff009af5854: 43d9fed0  adrp	x3, #0xfffffff00761f000
0xfffffff009af5858: 63dc3891  add	x3, x3, #0xe37
0xfffffff009af585c: 02008052  mov	w2, #0
0xfffffff009af5860: 34f6a097  bl	#0xfffffff008333130
0xfffffff009af5864: e0588052  mov	w0, #0x2c7
0xfffffff009af5868: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009af586c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009af5870: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009af5874: ffc30091  add	sp, sp, #0x30
0xfffffff009af5878: ff0f5fd6  retab	
0xfffffff009af587c: 7f2303d5  pacibsp	
0xfffffff009af5880: ff8301d1  sub	sp, sp, #0x60
0xfffffff009af5884: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009af5888: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009af588c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009af5890: fd430191  add	x29, sp, #0x50
0xfffffff009af5894: 010600b4  cbz	x1, #0xfffffff009af5954
0xfffffff009af5898: f40301aa  mov	x20, x1
0xfffffff009af589c: f30300aa  mov	x19, x0
0xfffffff009af58a0: 08844339  ldrb	w8, [x0, #0xe1]
0xfffffff009af58a4: 48020034  cbz	w8, #0xfffffff009af58ec
0xfffffff009af58a8: e00effd0  adrp	x0, #0xfffffff007cd3000
0xfffffff009af58ac: 00403591  add	x0, x0, #0xd50
0xfffffff009af58b0: 1183a197  bl	#0xfffffff0083564f4
0xfffffff009af58b4: e00700b4  cbz	x0, #0xfffffff009af59b0
0xfffffff009af58b8: f50300aa  mov	x21, x0
0xfffffff009af58bc: 1f5000a9  stp	xzr, x20, [x0]
0xfffffff009af58c0: 60aa40f9  ldr	x0, [x19, #0x150]
0xfffffff009af58c4: 82d88a97  bl	#0xfffffff007dabacc
0xfffffff009af58c8: 686a41b9  ldr	w8, [x19, #0x168]
0xfffffff009af58cc: 08050011  add	w8, w8, #1
0xfffffff009af58d0: 686a01b9  str	w8, [x19, #0x168]
0xfffffff009af58d4: 69a240f9  ldr	x9, [x19, #0x140]
0xfffffff009af58d8: c90100b4  cbz	x9, #0xfffffff009af5910
0xfffffff009af58dc: e80309aa  mov	x8, x9
0xfffffff009af58e0: 290140f9  ldr	x9, [x9]
0xfffffff009af58e4: c9ffffb5  cbnz	x9, #0xfffffff009af58dc
0xfffffff009af58e8: 0b000014  b	#0xfffffff009af5914
0xfffffff009af58ec: 686e41b9  ldr	w8, [x19, #0x16c]
0xfffffff009af58f0: 08050011  add	w8, w8, #1
0xfffffff009af58f4: 686e01b9  str	w8, [x19, #0x16c]
0xfffffff009af58f8: e00314aa  mov	x0, x20
0xfffffff009af58fc: 08200094  bl	#0xfffffff009afd91c
0xfffffff009af5900: 687241b9  ldr	w8, [x19, #0x170]
0xfffffff009af5904: 08050011  add	w8, w8, #1
0xfffffff009af5908: 687201b9  str	w8, [x19, #0x170]
0xfffffff009af590c: 07000014  b	#0xfffffff009af5928
0xfffffff009af5910: 68020591  add	x8, x19, #0x140
0xfffffff009af5914: 150100f9  str	x21, [x8]
0xfffffff009af5918: 60aa40f9  ldr	x0, [x19, #0x150]
0xfffffff009af591c: 88db8a97  bl	#0xfffffff007dac73c
0xfffffff009af5920: 608240f9  ldr	x0, [x19, #0x100]
0xfffffff009af5924: ea708b97  bl	#0xfffffff007dd1ccc
