; Candidate 8590
; ADRP+ADD at VM 0xfffffff0088b3b98 (fileoff 0x18afb98): page=0x1fe936000 add_imm=0xe80

0xfffffff0088b3b18: 00050034  cbz	w0, #0xfffffff0088b3bb8
0xfffffff0088b3b1c: 800d8052  mov	w0, #0x6c
0xfffffff0088b3b20: 3e1fff97  bl	#0xfffffff00887b818
0xfffffff0088b3b24: f70300aa  mov	x23, x0
0xfffffff0088b3b28: a1010094  bl	#0xfffffff0088b41ac
0xfffffff0088b3b2c: f60300aa  mov	x22, x0
0xfffffff0088b3b30: 00018052  mov	w0, #8
0xfffffff0088b3b34: 471fff97  bl	#0xfffffff00887b850
0xfffffff0088b3b38: 97010034  cbz	w23, #0xfffffff0088b3b68
0xfffffff0088b3b3c: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0088b3b40: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3b44: 08c50891  add	x8, x8, #0x231
0xfffffff0088b3b48: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b3b4c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088b3b50: 880d8052  mov	w8, #0x6c
0xfffffff0088b3b54: 804bffd0  adrp	x0, #0xfffffff007225000
0xfffffff0088b3b58: 00042891  add	x0, x0, #0xa01
0xfffffff0088b3b5c: f62300a9  stp	x22, x8, [sp]
0xfffffff0088b3b60: 400ed497  bl	#0xfffffff007db7460
0xfffffff0088b3b64: 15000014  b	#0xfffffff0088b3bb8
0xfffffff0088b3b68: 91010094  bl	#0xfffffff0088b41ac
0xfffffff0088b3b6c: f60300aa  mov	x22, x0
0xfffffff0088b3b70: 00018052  mov	w0, #8
0xfffffff0088b3b74: 371fff97  bl	#0xfffffff00887b850
0xfffffff0088b3b78: e80315aa  mov	x8, x21
0xfffffff0088b3b7c: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088b3b80: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3b84: 08c50891  add	x8, x8, #0x231
0xfffffff0088b3b88: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b3b8c: 880d8052  mov	w8, #0x6c
0xfffffff0088b3b90: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b3b94: f60300f9  str	x22, [sp]
0xfffffff0088b3b98: a049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b3b9c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b3ba0: a18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b3ba4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b3ba8: 834dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088b3bac: 63503e91  add	x3, x3, #0xf94
0xfffffff0088b3bb0: 02008052  mov	w2, #0
0xfffffff0088b3bb4: 5ffde997  bl	#0xfffffff008333130
0xfffffff0088b3bb8: e00315aa  mov	x0, x21
0xfffffff0088b3bbc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088b3bc0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088b3bc4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088b3bc8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088b3bcc: ff030291  add	sp, sp, #0x80
0xfffffff0088b3bd0: ff0f5fd6  retab	
0xfffffff0088b3bd4: 7f2303d5  pacibsp	
0xfffffff0088b3bd8: ff8301d1  sub	sp, sp, #0x60
0xfffffff0088b3bdc: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088b3be0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088b3be4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088b3be8: fd430191  add	x29, sp, #0x50
0xfffffff0088b3bec: f30300aa  mov	x19, x0
0xfffffff0088b3bf0: 800d8052  mov	w0, #0x6c
0xfffffff0088b3bf4: 01018052  mov	w1, #8
0xfffffff0088b3bf8: f61eff97  bl	#0xfffffff00887b7d0
0xfffffff0088b3bfc: 40020034  cbz	w0, #0xfffffff0088b3c44
0xfffffff0088b3c00: 800d8052  mov	w0, #0x6c
0xfffffff0088b3c04: 051fff97  bl	#0xfffffff00887b818
0xfffffff0088b3c08: f50300aa  mov	x21, x0
0xfffffff0088b3c0c: 68010094  bl	#0xfffffff0088b41ac
0xfffffff0088b3c10: f40300aa  mov	x20, x0
0xfffffff0088b3c14: 00018052  mov	w0, #8
