; Candidate 401
; ADRP+ADD at VM 0xfffffff007efe638 (fileoff 0xefa638): page=0x1ffa73000 add_imm=0xeb0

0xfffffff007efe5b8: e91901d0  adrp	x9, #0xfffffff00a23c000
0xfffffff007efe5bc: 29812f91  add	x9, x9, #0xbe0
0xfffffff007efe5c0: 380d088b  add	x24, x9, x8, lsl #3
0xfffffff007efe5c4: 96d038d5  mrs	x22, tpidr_el1
0xfffffff007efe5c8: f71901d0  adrp	x23, #0xfffffff00a23c000
0xfffffff007efe5cc: f7422f91  add	x23, x23, #0xbd0
0xfffffff007efe5d0: c9ceff90  adrp	x9, #0xfffffff0078d6000
0xfffffff007efe5d4: 5c088052  mov	w28, #0x42
0xfffffff007efe5d8: 8888ff90  adrp	x8, #0xfffffff00700e000
0xfffffff007efe5dc: 088143fd  ldr	d8, [x8, #0x700]
0xfffffff007efe5e0: f91501f0  adrp	x25, #0xfffffff00a1bd000
0xfffffff007efe5e4: 39d31691  add	x25, x25, #0x5b4
0xfffffff007efe5e8: 3b008052  mov	w27, #1
0xfffffff007efe5ec: c84a41b9  ldr	w8, [x22, #0x148]
0xfffffff007efe5f0: 08050011  add	w8, w8, #1
0xfffffff007efe5f4: c84a01b9  str	w8, [x22, #0x148]
0xfffffff007efe5f8: e87e5fc8  ldxr	x8, [x23]
0xfffffff007efe5fc: 680500b5  cbnz	x8, #0xfffffff007efe6a8
0xfffffff007efe600: f67ee8c8  casa	x8, x22, [x23]
0xfffffff007efe604: 1f0100f1  cmp	x8, #0
0xfffffff007efe608: 21050054  b.ne	#0xfffffff007efe6ac
0xfffffff007efe60c: fa0318aa  mov	x26, x24
0xfffffff007efe610: 5a0340f9  ldr	x26, [x26]
0xfffffff007efe614: ba0000b4  cbz	x26, #0xfffffff007efe628
0xfffffff007efe618: 480f40f9  ldr	x8, [x26, #0x18]
0xfffffff007efe61c: 1f0115eb  cmp	x8, x21
0xfffffff007efe620: 81ffff54  b.ne	#0xfffffff007efe610
0xfffffff007efe624: 2a000014  b	#0xfffffff007efe6cc
0xfffffff007efe628: d40900b5  cbnz	x20, #0xfffffff007efe760
0xfffffff007efe62c: e00317aa  mov	x0, x23
0xfffffff007efe630: f40309aa  mov	x20, x9
0xfffffff007efe634: 54c5fa97  bl	#0xfffffff007dafb84
0xfffffff007efe638: 80d3fff0  adrp	x0, #0xfffffff007971000
0xfffffff007efe63c: 00c03a91  add	x0, x0, #0xeb0
0xfffffff007efe640: 01008052  mov	w1, #0
0xfffffff007efe644: 24a2fa97  bl	#0xfffffff007da6ed4
0xfffffff007efe648: e90314aa  mov	x9, x20
0xfffffff007efe64c: f40300aa  mov	x20, x0
0xfffffff007efe650: 28814db9  ldr	w8, [x9, #0xd80]
0xfffffff007efe654: 087d0f53  lsr	w8, w8, #0xf
0xfffffff007efe658: 08011f12  and	w8, w8, #2
0xfffffff007efe65c: 08011c4a  eor	w8, w8, w28
0xfffffff007efe660: 081000fd  str	d8, [x0, #0x20]
0xfffffff007efe664: 1f500079  strh	wzr, [x0, #0x28]
0xfffffff007efe668: 08540079  strh	w8, [x0, #0x2a]
0xfffffff007efe66c: 1f2c00b9  str	wzr, [x0, #0x2c]
0xfffffff007efe670: 28430091  add	x8, x25, #0x10
0xfffffff007efe674: 08013bb8  ldadd	w27, w8, [x8]
0xfffffff007efe678: 280340b9  ldr	w8, [x25]
0xfffffff007efe67c: 0801f836  tbz	w8, #0x1f, #0xfffffff007efe69c
0xfffffff007efe680: e81501f0  adrp	x8, #0xfffffff00a1bd000
0xfffffff007efe684: 08c11691  add	x8, x8, #0x5b0
0xfffffff007efe688: 08013bb8  ldadd	w27, w8, [x8]
0xfffffff007efe68c: ea130432  mov	w10, #-0xfffffff
0xfffffff007efe690: 08010a0b  add	w8, w8, w10
0xfffffff007efe694: 1f010a6b  cmp	w8, w10
0xfffffff007efe698: 49080054  b.ls	#0xfffffff007efe7a0
0xfffffff007efe69c: 950e00f9  str	x21, [x20, #0x18]
0xfffffff007efe6a0: 9b1200b9  str	w27, [x20, #0x10]
0xfffffff007efe6a4: d2ffff17  b	#0xfffffff007efe5ec
0xfffffff007efe6a8: 5f2003d5  wfe	
0xfffffff007efe6ac: e00317aa  mov	x0, x23
0xfffffff007efe6b0: e10316aa  mov	x1, x22
0xfffffff007efe6b4: c2ceff90  adrp	x2, #0xfffffff0078d6000
