; Candidate 13405
; ADRP+ADD at VM 0xfffffff0092ce92c (fileoff 0x22ca92c): page=0x1fe211000 add_imm=0xe26

0xfffffff0092ce8ac: 400300b4  cbz	x0, #0xfffffff0092ce914
0xfffffff0092ce8b0: 700240f9  ldr	x16, [x19]
0xfffffff0092ce8b4: f10313aa  mov	x17, x19
0xfffffff0092ce8b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ce8bc: 301ac1da  autda	x16, x17
0xfffffff0092ce8c0: 116e80d2  mov	x17, #0x370
0xfffffff0092ce8c4: 1002118b  add	x16, x16, x17
0xfffffff0092ce8c8: 080240f9  ldr	x8, [x16]
0xfffffff0092ce8cc: e90310aa  mov	x9, x16
0xfffffff0092ce8d0: e00313aa  mov	x0, x19
0xfffffff0092ce8d4: f10309aa  mov	x17, x9
0xfffffff0092ce8d8: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092ce8dc: 11093fd7  blraa	x8, x17
0xfffffff0092ce8e0: 100040f9  ldr	x16, [x0]
0xfffffff0092ce8e4: f10300aa  mov	x17, x0
0xfffffff0092ce8e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ce8ec: 301ac1da  autda	x16, x17
0xfffffff0092ce8f0: 113d80d2  mov	x17, #0x1e8
0xfffffff0092ce8f4: 1002118b  add	x16, x16, x17
0xfffffff0092ce8f8: 080240f9  ldr	x8, [x16]
0xfffffff0092ce8fc: e90310aa  mov	x9, x16
0xfffffff0092ce900: 010080d2  mov	x1, #0
0xfffffff0092ce904: f10309aa  mov	x17, x9
0xfffffff0092ce908: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092ce90c: 11093fd7  blraa	x8, x17
0xfffffff0092ce910: 03000014  b	#0xfffffff0092ce91c
0xfffffff0092ce914: 8010ff90  adrp	x0, #0xfffffff0074de000
0xfffffff0092ce918: 00102191  add	x0, x0, #0x844
0xfffffff0092ce91c: a8024079  ldrh	w8, [x21]
0xfffffff0092ce920: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092ce924: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092ce928: f60300f9  str	x22, [sp]
0xfffffff0092ce92c: 8010ffb0  adrp	x0, #0xfffffff0074df000
0xfffffff0092ce930: 00983891  add	x0, x0, #0xe26
0xfffffff0092ce934: bb21c297  bl	#0xfffffff008357020
0xfffffff0092ce938: 755a3991  add	x21, x19, #0xe56
0xfffffff0092ce93c: 9410ffb0  adrp	x20, #0xfffffff0074df000
0xfffffff0092ce940: 94162c91  add	x20, x20, #0xb05
0xfffffff0092ce944: e00314aa  mov	x0, x20
0xfffffff0092ce948: e10315aa  mov	x1, x21
0xfffffff0092ce94c: 42008052  mov	w2, #2
0xfffffff0092ce950: 9a79c697  bl	#0xfffffff00846cfb8
0xfffffff0092ce954: c0070034  cbz	w0, #0xfffffff0092cea4c
0xfffffff0092ce958: 700240f9  ldr	x16, [x19]
0xfffffff0092ce95c: f10313aa  mov	x17, x19
0xfffffff0092ce960: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ce964: 301ac1da  autda	x16, x17
0xfffffff0092ce968: 113d80d2  mov	x17, #0x1e8
0xfffffff0092ce96c: 1002118b  add	x16, x16, x17
0xfffffff0092ce970: 080240f9  ldr	x8, [x16]
0xfffffff0092ce974: e90310aa  mov	x9, x16
0xfffffff0092ce978: e00313aa  mov	x0, x19
0xfffffff0092ce97c: 010080d2  mov	x1, #0
0xfffffff0092ce980: f10309aa  mov	x17, x9
0xfffffff0092ce984: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092ce988: 11093fd7  blraa	x8, x17
0xfffffff0092ce98c: f60300aa  mov	x22, x0
0xfffffff0092ce990: 700240f9  ldr	x16, [x19]
0xfffffff0092ce994: f10313aa  mov	x17, x19
0xfffffff0092ce998: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ce99c: 301ac1da  autda	x16, x17
0xfffffff0092ce9a0: 116e80d2  mov	x17, #0x370
0xfffffff0092ce9a4: 1002118b  add	x16, x16, x17
0xfffffff0092ce9a8: 080240f9  ldr	x8, [x16]
