; Candidate 914
; ADRP+ADD at VM 0xfffffff008102380 (fileoff 0x10fe380): page=0x1ff876000 add_imm=0xeb0

0xfffffff008102300: 083403b9  str	w8, [x0, #0x334]
0xfffffff008102304: c00240f9  ldr	x0, [x22]
0xfffffff008102308: 01008052  mov	w1, #0
0xfffffff00810230c: ed830194  bl	#0xfffffff0081632c0
0xfffffff008102310: 00008052  mov	w0, #0
0xfffffff008102314: d30200f9  str	x19, [x22]
0xfffffff008102318: eeffff17  b	#0xfffffff0081022d0
0xfffffff00810231c: e00f40b9  ldr	w0, [sp, #0xc]
0xfffffff008102320: ecffff17  b	#0xfffffff0081022d0
0xfffffff008102324: 7f2303d5  pacibsp	
0xfffffff008102328: ffc300d1  sub	sp, sp, #0x30
0xfffffff00810232c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008102330: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008102334: fd830091  add	x29, sp, #0x20
0xfffffff008102338: 600300b4  cbz	x0, #0xfffffff0081023a4
0xfffffff00810233c: f30300aa  mov	x19, x0
0xfffffff008102340: 01bc40f9  ldr	x1, [x0, #0x178]
0xfffffff008102344: 610200b4  cbz	x1, #0xfffffff008102390
0xfffffff008102348: 200040f9  ldr	x0, [x1]
0xfffffff00810234c: c00000b4  cbz	x0, #0xfffffff008102364
0xfffffff008102350: 01008052  mov	w1, #0
0xfffffff008102354: db830194  bl	#0xfffffff0081632c0
0xfffffff008102358: 68be40f9  ldr	x8, [x19, #0x178]
0xfffffff00810235c: 1f0100f9  str	xzr, [x8]
0xfffffff008102360: 61be40f9  ldr	x1, [x19, #0x178]
0xfffffff008102364: 200440f9  ldr	x0, [x1, #8]
0xfffffff008102368: c00000b4  cbz	x0, #0xfffffff008102380
0xfffffff00810236c: 01008052  mov	w1, #0
0xfffffff008102370: d4830194  bl	#0xfffffff0081632c0
0xfffffff008102374: 68be40f9  ldr	x8, [x19, #0x178]
0xfffffff008102378: 1f0500f9  str	xzr, [x8, #8]
0xfffffff00810237c: 61be40f9  ldr	x1, [x19, #0x178]
0xfffffff008102380: a0c3ffd0  adrp	x0, #0xfffffff007978000
0xfffffff008102384: 00c03a91  add	x0, x0, #0xeb0
0xfffffff008102388: 211ef497  bl	#0xfffffff007e09c0c
0xfffffff00810238c: 7fbe00f9  str	xzr, [x19, #0x178]
0xfffffff008102390: 00008052  mov	w0, #0
0xfffffff008102394: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008102398: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00810239c: ffc30091  add	sp, sp, #0x30
0xfffffff0081023a0: ff0f5fd6  retab	
0xfffffff0081023a4: a87bfff0  adrp	x8, #0xfffffff007079000
0xfffffff0081023a8: 08d13691  add	x8, x8, #0xdb4
0xfffffff0081023ac: a9d48052  mov	w9, #0x6a5
0xfffffff0081023b0: e82700a9  stp	x8, x9, [sp]
0xfffffff0081023b4: c07bff90  adrp	x0, #0xfffffff00707a000
0xfffffff0081023b8: 00340091  add	x0, x0, #0xd
0xfffffff0081023bc: 54480e94  bl	#0xfffffff00849450c
0xfffffff0081023c0: 7f2303d5  pacibsp	
0xfffffff0081023c4: ff0301d1  sub	sp, sp, #0x40
0xfffffff0081023c8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0081023cc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0081023d0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0081023d4: fdc30091  add	x29, sp, #0x30
0xfffffff0081023d8: e80300aa  mov	x8, x0
0xfffffff0081023dc: c0028052  mov	w0, #0x16
0xfffffff0081023e0: 480600b4  cbz	x8, #0xfffffff0081024a8
0xfffffff0081023e4: f40302aa  mov	x20, x2
0xfffffff0081023e8: 020600b4  cbz	x2, #0xfffffff0081024a8
0xfffffff0081023ec: f30303aa  mov	x19, x3
0xfffffff0081023f0: 7f4000f1  cmp	x3, #0x10
0xfffffff0081023f4: a3050054  b.lo	#0xfffffff0081024a8
0xfffffff0081023f8: f50304aa  mov	x21, x4
0xfffffff0081023fc: 16e10591  add	x22, x8, #0x178
