; Candidate 1158
; ADRP+ADD at VM 0xfffffff008240e20 (fileoff 0x123ce20): page=0x1f7f000 add_imm=0xe40

0xfffffff008240da0: 29012cb8  ldadd	w12, w9, [x9]
0xfffffff008240da4: 69012cb8  ldadd	w12, w9, [x11]
0xfffffff008240da8: 29010d0b  add	w9, w9, w13
0xfffffff008240dac: 3f010a6b  cmp	w9, w10
0xfffffff008240db0: 83030054  b.lo	#0xfffffff008240e20
0xfffffff008240db4: 290001d0  adrp	x9, #0xfffffff00a246000
0xfffffff008240db8: 29611491  add	x9, x9, #0x518
0xfffffff008240dbc: 0c40a452  mov	w12, #0x22000000
0xfffffff008240dc0: 2c210029  stp	w12, w8, [x9]
0xfffffff008240dc4: 3f0500f9  str	xzr, [x9, #8]
0xfffffff008240dc8: 68410091  add	x8, x11, #0x10
0xfffffff008240dcc: 29008052  mov	w9, #1
0xfffffff008240dd0: 080129b8  ldadd	w9, w8, [x8]
0xfffffff008240dd4: 680129b8  ldadd	w9, w8, [x11]
0xfffffff008240dd8: e9130432  mov	w9, #-0xfffffff
0xfffffff008240ddc: 0801090b  add	w8, w8, w9
0xfffffff008240de0: 1f010a6b  cmp	w8, w10
0xfffffff008240de4: e3010054  b.lo	#0xfffffff008240e20
0xfffffff008240de8: 280001d0  adrp	x8, #0xfffffff00a246000
0xfffffff008240dec: 08e11391  add	x8, x8, #0x4f8
0xfffffff008240df0: 1f2100a9  stp	xzr, x8, [x8]
0xfffffff008240df4: 1f0900f9  str	xzr, [x8, #0x10]
0xfffffff008240df8: 09008012  mov	w9, #-1
0xfffffff008240dfc: 091900b9  str	w9, [x8, #0x18]
0xfffffff008240e00: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008240e04: ff0f5fd6  retab	
0xfffffff008240e08: 6072ff90  adrp	x0, #0xfffffff00708c000
0xfffffff008240e0c: 00780591  add	x0, x0, #0x15e
0xfffffff008240e10: 6172ff90  adrp	x1, #0xfffffff00708c000
0xfffffff008240e14: 21740391  add	x1, x1, #0xdd
0xfffffff008240e18: 62af8052  mov	w2, #0x57b
0xfffffff008240e1c: 7e7a0994  bl	#0xfffffff00849f814
0xfffffff008240e20: e0fb00f0  adrp	x0, #0xfffffff00a1bf000
0xfffffff008240e24: 00003991  add	x0, x0, #0xe40
0xfffffff008240e28: f97c0994  bl	#0xfffffff0084a020c
0xfffffff008240e2c: 7f2303d5  pacibsp	
0xfffffff008240e30: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008240e34: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008240e38: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008240e3c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008240e40: fdc30091  add	x29, sp, #0x30
0xfffffff008240e44: 150840f9  ldr	x21, [x0, #0x10]
0xfffffff008240e48: 950100b4  cbz	x21, #0xfffffff008240e78
0xfffffff008240e4c: f60302aa  mov	x22, x2
0xfffffff008240e50: f30300aa  mov	x19, x0
0xfffffff008240e54: 620100b4  cbz	x2, #0xfffffff008240e80
0xfffffff008240e58: d72a40b9  ldr	w23, [x22, #0x28]
0xfffffff008240e5c: e00313aa  mov	x0, x19
0xfffffff008240e60: e20316aa  mov	x2, x22
0xfffffff008240e64: 99a7ff97  bl	#0xfffffff00822acc8
0xfffffff008240e68: f40300aa  mov	x20, x0
0xfffffff008240e6c: c82a40b9  ldr	w8, [x22, #0x28]
0xfffffff008240e70: f602084b  sub	w22, w23, w8
0xfffffff008240e74: 07000014  b	#0xfffffff008240e90
0xfffffff008240e78: d4028052  mov	w20, #0x16
0xfffffff008240e7c: 1a000014  b	#0xfffffff008240ee4
0xfffffff008240e80: e00313aa  mov	x0, x19
0xfffffff008240e84: 020080d2  mov	x2, #0
0xfffffff008240e88: 90a7ff97  bl	#0xfffffff00822acc8
0xfffffff008240e8c: f40300aa  mov	x20, x0
0xfffffff008240e90: e00313aa  mov	x0, x19
0xfffffff008240e94: 21008052  mov	w1, #1
0xfffffff008240e98: 6199ff97  bl	#0xfffffff00822741c
0xfffffff008240e9c: a84240b9  ldr	w8, [x21, #0x40]
