; Candidate 6546
; ADRP+ADD at VM 0xfffffff008832a58 (fileoff 0x182ea58): page=0x1fe9b7000 add_imm=0xe80

0xfffffff0088329d8: 08591891  add	x8, x8, #0x616
0xfffffff0088329dc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088329e0: 88368052  mov	w8, #0x1b4
0xfffffff0088329e4: 894fff90  adrp	x9, #0xfffffff007222000
0xfffffff0088329e8: 29553791  add	x9, x9, #0xdd5
0xfffffff0088329ec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088329f0: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff0088329f4: 08813991  add	x8, x8, #0xe60
0xfffffff0088329f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088329fc: 080b8052  mov	w8, #0x58
0xfffffff008832a00: f52300a9  stp	x21, x8, [sp]
0xfffffff008832a04: a04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008832a08: 00003a91  add	x0, x0, #0xe80
0xfffffff008832a0c: a18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008832a10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008832a14: c350fff0  adrp	x3, #0xfffffff00724d000
0xfffffff008832a18: 63dc1d91  add	x3, x3, #0x777
0xfffffff008832a1c: 02008052  mov	w2, #0
0xfffffff008832a20: c401ec97  bl	#0xfffffff008333130
0xfffffff008832a24: 557e8012  mov	w21, #-0x3f3
0xfffffff008832a28: 1d000014  b	#0xfffffff008832a9c
0xfffffff008832a2c: e0050294  bl	#0xfffffff0088b41ac
0xfffffff008832a30: f50300aa  mov	x21, x0
0xfffffff008832a34: c0008052  mov	w0, #6
0xfffffff008832a38: 86230194  bl	#0xfffffff00887b850
0xfffffff008832a3c: a9388052  mov	w9, #0x1c5
0xfffffff008832a40: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832a44: 08553791  add	x8, x8, #0xdd5
0xfffffff008832a48: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008832a4c: 080b8052  mov	w8, #0x58
0xfffffff008832a50: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008832a54: f50300f9  str	x21, [sp]
0xfffffff008832a58: a04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008832a5c: 00003a91  add	x0, x0, #0xe80
0xfffffff008832a60: a18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008832a64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008832a68: c350fff0  adrp	x3, #0xfffffff00724d000
0xfffffff008832a6c: 63601f91  add	x3, x3, #0x7d8
0xfffffff008832a70: 02008052  mov	w2, #0
0xfffffff008832a74: af01ec97  bl	#0xfffffff008333130
0xfffffff008832a78: e00313aa  mov	x0, x19
0xfffffff008832a7c: 21008052  mov	w1, #1
0xfffffff008832a80: 94f9ff97  bl	#0xfffffff0088310d0
0xfffffff008832a84: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff008832a88: 09050051  sub	w9, w8, #1
0xfffffff008832a8c: 692e00b9  str	w9, [x19, #0x2c]
0xfffffff008832a90: 1f010071  cmp	w8, #0
0xfffffff008832a94: 8d070054  b.le	#0xfffffff008832b84
0xfffffff008832a98: 15008052  mov	w21, #0
0xfffffff008832a9c: 000b8052  mov	w0, #0x58
0xfffffff008832aa0: 01018052  mov	w1, #8
0xfffffff008832aa4: 4b230194  bl	#0xfffffff00887b7d0
0xfffffff008832aa8: 00060034  cbz	w0, #0xfffffff008832b68
0xfffffff008832aac: 000b8052  mov	w0, #0x58
0xfffffff008832ab0: 5a230194  bl	#0xfffffff00887b818
0xfffffff008832ab4: f70300aa  mov	x23, x0
0xfffffff008832ab8: bd050294  bl	#0xfffffff0088b41ac
0xfffffff008832abc: f60300aa  mov	x22, x0
0xfffffff008832ac0: 00018052  mov	w0, #8
0xfffffff008832ac4: 63230194  bl	#0xfffffff00887b850
0xfffffff008832ac8: 17020034  cbz	w23, #0xfffffff008832b08
0xfffffff008832acc: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008832ad0: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008832ad4: f3a302a9  stp	x19, x8, [sp, #0x28]
