; Candidate 6288
; ADRP+ADD at VM 0xfffffff00881f898 (fileoff 0x181b898): page=0x1fe9f4000 add_imm=0xded

0xfffffff00881f818: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881f81c: 480f8052  mov	w8, #0x7a
0xfffffff00881f820: 4351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff00881f824: 63081a91  add	x3, x3, #0x682
0xfffffff00881f828: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881f82c: f50300f9  str	x21, [sp]
0xfffffff00881f830: 404effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881f834: 00003a91  add	x0, x0, #0xe80
0xfffffff00881f838: 418fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881f83c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881f840: 02008052  mov	w2, #0
0xfffffff00881f844: 3b4eec97  bl	#0xfffffff008333130
0xfffffff00881f848: 157d8012  mov	w21, #-0x3e9
0xfffffff00881f84c: a00e8052  mov	w0, #0x75
0xfffffff00881f850: e1008052  mov	w1, #7
0xfffffff00881f854: df6f0194  bl	#0xfffffff00887b7d0
0xfffffff00881f858: 20050034  cbz	w0, #0xfffffff00881f8fc
0xfffffff00881f85c: a00e8052  mov	w0, #0x75
0xfffffff00881f860: ee6f0194  bl	#0xfffffff00887b818
0xfffffff00881f864: f70300aa  mov	x23, x0
0xfffffff00881f868: 51520294  bl	#0xfffffff0088b41ac
0xfffffff00881f86c: f60300aa  mov	x22, x0
0xfffffff00881f870: e0008052  mov	w0, #7
0xfffffff00881f874: f76f0194  bl	#0xfffffff00887b850
0xfffffff00881f878: b7010034  cbz	w23, #0xfffffff00881f8ac
0xfffffff00881f87c: e80315aa  mov	x8, x21
0xfffffff00881f880: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00881f884: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f888: 08e90491  add	x8, x8, #0x13a
0xfffffff00881f88c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00881f890: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881f894: a80e8052  mov	w8, #0x75
0xfffffff00881f898: a04fff90  adrp	x0, #0xfffffff007213000
0xfffffff00881f89c: 00b43791  add	x0, x0, #0xded
0xfffffff00881f8a0: f62300a9  stp	x22, x8, [sp]
0xfffffff00881f8a4: ef5ed697  bl	#0xfffffff007db7460
0xfffffff00881f8a8: 15000014  b	#0xfffffff00881f8fc
0xfffffff00881f8ac: 40520294  bl	#0xfffffff0088b41ac
0xfffffff00881f8b0: f60300aa  mov	x22, x0
0xfffffff00881f8b4: e0008052  mov	w0, #7
0xfffffff00881f8b8: e66f0194  bl	#0xfffffff00887b850
0xfffffff00881f8bc: e80315aa  mov	x8, x21
0xfffffff00881f8c0: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00881f8c4: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f8c8: 08e90491  add	x8, x8, #0x13a
0xfffffff00881f8cc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00881f8d0: a80e8052  mov	w8, #0x75
0xfffffff00881f8d4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881f8d8: f60300f9  str	x22, [sp]
0xfffffff00881f8dc: 404effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881f8e0: 00003a91  add	x0, x0, #0xe80
0xfffffff00881f8e4: 418fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881f8e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881f8ec: 4351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff00881f8f0: 63ec1b91  add	x3, x3, #0x6fb
0xfffffff00881f8f4: 02008052  mov	w2, #0
0xfffffff00881f8f8: 0e4eec97  bl	#0xfffffff008333130
0xfffffff00881f8fc: e00315aa  mov	x0, x21
0xfffffff00881f900: ff430991  add	sp, sp, #0x250
0xfffffff00881f904: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00881f908: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00881f90c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00881f910: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff00881f914: fc6fc5a8  ldp	x28, x27, [sp], #0x50
