; Candidate 8115
; ADRP+ADD at VM 0xfffffff008895ffc (fileoff 0x1891ffc): page=0x1fe954000 add_imm=0xe80

0xfffffff008895f7c: e92d8152  mov	w9, #0x96f
0xfffffff008895f80: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008895f84: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895f88: 08651d91  add	x8, x8, #0x759
0xfffffff008895f8c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008895f90: 88098052  mov	w8, #0x4c
0xfffffff008895f94: f52300a9  stp	x21, x8, [sp]
0xfffffff008895f98: a04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008895f9c: 00003a91  add	x0, x0, #0xe80
0xfffffff008895fa0: 818bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008895fa4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008895fa8: 434effd0  adrp	x3, #0xfffffff00725f000
0xfffffff008895fac: 63281791  add	x3, x3, #0x5ca
0xfffffff008895fb0: 02008052  mov	w2, #0
0xfffffff008895fb4: 5f74ea97  bl	#0xfffffff008333130
0xfffffff008895fb8: 71fdff17  b	#0xfffffff00889557c
0xfffffff008895fbc: 7c780094  bl	#0xfffffff0088b41ac
0xfffffff008895fc0: f50300aa  mov	x21, x0
0xfffffff008895fc4: 80008052  mov	w0, #4
0xfffffff008895fc8: 2296ff97  bl	#0xfffffff00887b850
0xfffffff008895fcc: e80240f9  ldr	x8, [x23]
0xfffffff008895fd0: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895fd4: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895fd8: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff008895fdc: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895fe0: 092f8152  mov	w9, #0x978
0xfffffff008895fe4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008895fe8: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895fec: 08651d91  add	x8, x8, #0x759
0xfffffff008895ff0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008895ff4: 88098052  mov	w8, #0x4c
0xfffffff008895ff8: f52300a9  stp	x21, x8, [sp]
0xfffffff008895ffc: a04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008896000: 00003a91  add	x0, x0, #0xe80
0xfffffff008896004: 818bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008896008: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889600c: 434effb0  adrp	x3, #0xfffffff00725f000
0xfffffff008896010: 63241891  add	x3, x3, #0x609
0xfffffff008896014: 02008052  mov	w2, #0
0xfffffff008896018: 4674ea97  bl	#0xfffffff008333130
0xfffffff00889601c: 58fdff17  b	#0xfffffff00889557c
0xfffffff008896020: 63780094  bl	#0xfffffff0088b41ac
0xfffffff008896024: f50300aa  mov	x21, x0
0xfffffff008896028: 80008052  mov	w0, #4
0xfffffff00889602c: 0996ff97  bl	#0xfffffff00887b850
0xfffffff008896030: e80240f9  ldr	x8, [x23]
0xfffffff008896034: f82300f9  str	x24, [sp, #0x40]
0xfffffff008896038: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff00889603c: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008896040: c84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008896044: 08b92791  add	x8, x8, #0x9ee
0xfffffff008896048: a9308152  mov	w9, #0x985
0xfffffff00889604c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008896050: c84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008896054: 08651d91  add	x8, x8, #0x759
0xfffffff008896058: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889605c: 88098052  mov	w8, #0x4c
0xfffffff008896060: f52300a9  stp	x21, x8, [sp]
0xfffffff008896064: 804afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008896068: 00003a91  add	x0, x0, #0xe80
0xfffffff00889606c: 818bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008896070: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008896074: 434effb0  adrp	x3, #0xfffffff00725f000
0xfffffff008896078: 63141991  add	x3, x3, #0x645
