; Candidate 14738
; ADRP+ADD at VM 0xfffffff0098b7dd8 (fileoff 0x28b3dd8): page=0xadd000 add_imm=0xd60

0xfffffff0098b7d58: f10316aa  mov	x17, x22
0xfffffff0098b7d5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098b7d60: 301ac1da  autda	x16, x17
0xfffffff0098b7d64: 11ba80d2  mov	x17, #0x5d0
0xfffffff0098b7d68: 1002118b  add	x16, x16, x17
0xfffffff0098b7d6c: 080240f9  ldr	x8, [x16]
0xfffffff0098b7d70: e90310aa  mov	x9, x16
0xfffffff0098b7d74: e00316aa  mov	x0, x22
0xfffffff0098b7d78: f10309aa  mov	x17, x9
0xfffffff0098b7d7c: f192f9f2  movk	x17, #0xcc97, lsl #48
0xfffffff0098b7d80: 11093fd7  blraa	x8, x17
0xfffffff0098b7d84: f40300aa  mov	x20, x0
0xfffffff0098b7d88: c0000035  cbnz	w0, #0xfffffff0098b7da0
0xfffffff0098b7d8c: c05a41f9  ldr	x0, [x22, #0x2b0]
0xfffffff0098b7d90: 600000b4  cbz	x0, #0xfffffff0098b7d9c
0xfffffff0098b7d94: 14008052  mov	w20, #0
0xfffffff0098b7d98: baffff17  b	#0xfffffff0098b7c80
0xfffffff0098b7d9c: d4188012  mov	w20, #-0xc7
0xfffffff0098b7da0: e00314aa  mov	x0, x20
0xfffffff0098b7da4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0098b7da8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0098b7dac: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0098b7db0: ff030191  add	sp, sp, #0x40
0xfffffff0098b7db4: ff0f5fd6  retab	
0xfffffff0098b7db8: 5f2403d5  bti	c
0xfffffff0098b7dbc: 4eb2a817  b	#0xfffffff0082e46f4
0xfffffff0098b7dc0: 5f2403d5  bti	c
0xfffffff0098b7dc4: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff0098b7dc8: c0035fd6  ret	
0xfffffff0098b7dcc: 7f2303d5  pacibsp	
0xfffffff0098b7dd0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098b7dd4: fd030091  mov	x29, sp
0xfffffff0098b7dd8: e05600b0  adrp	x0, #0xfffffff00a394000
0xfffffff0098b7ddc: 00803591  add	x0, x0, #0xd60
0xfffffff0098b7de0: 21e9feb0  adrp	x1, #0xfffffff0075dc000
0xfffffff0098b7de4: 21540f91  add	x1, x1, #0x3d5
0xfffffff0098b7de8: e25600b0  adrp	x2, #0xfffffff00a394000
0xfffffff0098b7dec: 42203691  add	x2, x2, #0xd88
0xfffffff0098b7df0: 03578052  mov	w3, #0x2b8
0xfffffff0098b7df4: 51afa897  bl	#0xfffffff0082e3b38
0xfffffff0098b7df8: d01dff90  adrp	x16, #0xfffffff007c6f000
0xfffffff0098b7dfc: 10c21591  add	x16, x16, #0x570
0xfffffff0098b7e00: 10420091  add	x16, x16, #0x10
0xfffffff0098b7e04: f10300aa  mov	x17, x0
0xfffffff0098b7e08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098b7e0c: 300ac1da  pacda	x16, x17
0xfffffff0098b7e10: 100000f9  str	x16, [x0]
0xfffffff0098b7e14: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0098b7e18: ff0f5fd6  retab	
0xfffffff0098b7e1c: 5f2403d5  bti	c
0xfffffff0098b7e20: e05600b0  adrp	x0, #0xfffffff00a394000
0xfffffff0098b7e24: 00803591  add	x0, x0, #0xd60
0xfffffff0098b7e28: 33b2a817  b	#0xfffffff0082e46f4
0xfffffff0098b7e2c: 7f2303d5  pacibsp	
0xfffffff0098b7e30: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098b7e34: fd030091  mov	x29, sp
0xfffffff0098b7e38: 21e9feb0  adrp	x1, #0xfffffff0075dc000
0xfffffff0098b7e3c: 21a01191  add	x1, x1, #0x468
0xfffffff0098b7e40: a21dfff0  adrp	x2, #0xfffffff007c6e000
0xfffffff0098b7e44: 42ec42f9  ldr	x2, [x2, #0x5d8]
0xfffffff0098b7e48: 03168052  mov	w3, #0xb0
0xfffffff0098b7e4c: 3bafa897  bl	#0xfffffff0082e3b38
0xfffffff0098b7e50: d01dff90  adrp	x16, #0xfffffff007c6f000
0xfffffff0098b7e54: 10c22f91  add	x16, x16, #0xbf0
