; Candidate 8759
; ADRP+ADD at VM 0xfffffff0088c37c4 (fileoff 0x18bf7c4): page=0x1fe926000 add_imm=0xe80

0xfffffff0088c3744: 00050036  tbz	w0, #0, #0xfffffff0088c37e4
0xfffffff0088c3748: 60008052  mov	w0, #3
0xfffffff0088c374c: 33e0fe97  bl	#0xfffffff00887b818
0xfffffff0088c3750: f40300aa  mov	x20, x0
0xfffffff0088c3754: 96c2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c3758: f30300aa  mov	x19, x0
0xfffffff0088c375c: 60008052  mov	w0, #3
0xfffffff0088c3760: 3ce0fe97  bl	#0xfffffff00887b850
0xfffffff0088c3764: d4010036  tbz	w20, #0, #0xfffffff0088c379c
0xfffffff0088c3768: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c376c: 08092991  add	x8, x8, #0xa42
0xfffffff0088c3770: 09128052  mov	w9, #0x90
0xfffffff0088c3774: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c3778: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c377c: 08bd2791  add	x8, x8, #0x9ef
0xfffffff0088c3780: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c3784: 68008052  mov	w8, #3
0xfffffff0088c3788: f32300a9  stp	x19, x8, [sp]
0xfffffff0088c378c: 604affb0  adrp	x0, #0xfffffff007210000
0xfffffff0088c3790: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c3794: 33cfd397  bl	#0xfffffff007db7460
0xfffffff0088c3798: 13000014  b	#0xfffffff0088c37e4
0xfffffff0088c379c: 84c2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c37a0: 887efd97  bl	#0xfffffff0088231c0
0xfffffff0088c37a4: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c37a8: 08092991  add	x8, x8, #0xa42
0xfffffff0088c37ac: 09128052  mov	w9, #0x90
0xfffffff0088c37b0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c37b4: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c37b8: 08bd2791  add	x8, x8, #0x9ef
0xfffffff0088c37bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c37c0: f35300a9  stp	x19, x20, [sp]
0xfffffff0088c37c4: 2049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c37c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c37cc: 218affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c37d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c37d4: 234cfff0  adrp	x3, #0xfffffff00724a000
0xfffffff0088c37d8: 63c03191  add	x3, x3, #0xc70
0xfffffff0088c37dc: 02008052  mov	w2, #0
0xfffffff0088c37e0: 54bee997  bl	#0xfffffff008333130
0xfffffff0088c37e4: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c37e8: 082d2a91  add	x8, x8, #0xa8b
0xfffffff0088c37ec: 09128052  mov	w9, #0x90
0xfffffff0088c37f0: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c37f4: e04affb0  adrp	x0, #0xfffffff007220000
0xfffffff0088c37f8: 00882991  add	x0, x0, #0xa62
0xfffffff0088c37fc: 4443ef97  bl	#0xfffffff00849450c
0xfffffff0088c3800: 7f2303d5  pacibsp	
0xfffffff0088c3804: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c3808: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c380c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c3810: fd030191  add	x29, sp, #0x40
0xfffffff0088c3814: 60008052  mov	w0, #3
0xfffffff0088c3818: 61008052  mov	w1, #3
0xfffffff0088c381c: eddffe97  bl	#0xfffffff00887b7d0
0xfffffff0088c3820: 00050036  tbz	w0, #0, #0xfffffff0088c38c0
0xfffffff0088c3824: 60008052  mov	w0, #3
0xfffffff0088c3828: fcdffe97  bl	#0xfffffff00887b818
0xfffffff0088c382c: f40300aa  mov	x20, x0
0xfffffff0088c3830: 5fc2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c3834: f30300aa  mov	x19, x0
0xfffffff0088c3838: 60008052  mov	w0, #3
0xfffffff0088c383c: 05e0fe97  bl	#0xfffffff00887b850
0xfffffff0088c3840: d4010036  tbz	w20, #0, #0xfffffff0088c3878
