; Candidate 10910
; ADRP+ADD at VM 0xfffffff008dec84c (fileoff 0x1de884c): page=0x1fe5d8000 add_imm=0xe15

0xfffffff008dec7cc: 4acd1d91  add	x10, x10, #0x773
0xfffffff008dec7d0: 2b000014  b	#0xfffffff008dec87c
0xfffffff008dec7d4: e8238152  mov	w8, #0x91f
0xfffffff008dec7d8: a92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008dec7dc: 29e92e91  add	x9, x9, #0xbba
0xfffffff008dec7e0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008dec7e4: c82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008dec7e8: 08493991  add	x8, x8, #0xe52
0xfffffff008dec7ec: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008dec7f0: 4aad3291  add	x10, x10, #0xcab
0xfffffff008dec7f4: 22000014  b	#0xfffffff008dec87c
0xfffffff008dec7f8: 08248152  mov	w8, #0x920
0xfffffff008dec7fc: a92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008dec800: 29e92e91  add	x9, x9, #0xbba
0xfffffff008dec804: e81300f9  str	x8, [sp, #0x20]
0xfffffff008dec808: c82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008dec80c: 08493991  add	x8, x8, #0xe52
0xfffffff008dec810: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008dec814: 4a713091  add	x10, x10, #0xc1c
0xfffffff008dec818: 19000014  b	#0xfffffff008dec87c
0xfffffff008dec81c: f70300aa  mov	x23, x0
0xfffffff008dec820: e87e4093  sxtw	x8, w23
0xfffffff008dec824: 89248152  mov	w9, #0x924
0xfffffff008dec828: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008dec82c: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008dec830: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008dec834: c92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008dec838: 29493991  add	x9, x9, #0xe52
0xfffffff008dec83c: cb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008dec840: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008dec844: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008dec848: eb0300f9  str	x11, [sp]
0xfffffff008dec84c: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008dec850: 00543891  add	x0, x0, #0xe15
0xfffffff008dec854: f3a9d597  bl	#0xfffffff008357020
0xfffffff008dec858: c5ffff17  b	#0xfffffff008dec76c
0xfffffff008dec85c: a8248152  mov	w8, #0x925
0xfffffff008dec860: a92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008dec864: 29e92e91  add	x9, x9, #0xbba
0xfffffff008dec868: e81300f9  str	x8, [sp, #0x20]
0xfffffff008dec86c: c82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008dec870: 08493991  add	x8, x8, #0xe52
0xfffffff008dec874: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008dec878: 4ad53291  add	x10, x10, #0xcb5
0xfffffff008dec87c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008dec880: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008dec884: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008dec888: 00543891  add	x0, x0, #0xe15
0xfffffff008dec88c: e5a9d597  bl	#0xfffffff008357020
0xfffffff008dec890: 57008012  mov	w23, #-3
0xfffffff008dec894: b6ffff17  b	#0xfffffff008dec76c
0xfffffff008dec898: e87e4093  sxtw	x8, w23
0xfffffff008dec89c: 49278152  mov	w9, #0x93a
0xfffffff008dec8a0: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008dec8a4: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008dec8a8: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008dec8ac: c92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008dec8b0: 29493991  add	x9, x9, #0xe52
0xfffffff008dec8b4: cb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008dec8b8: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008dec8bc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008dec8c0: eb0300f9  str	x11, [sp]
0xfffffff008dec8c4: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008dec8c8: 00543891  add	x0, x0, #0xe15
