; Candidate 9780
; ADRP+ADD at VM 0xfffffff008b10018 (fileoff 0x1b0c018): page=0x1fef79000 add_imm=0xcf8

0xfffffff008b0ff98: a88350b8  ldur	w8, [x29, #-0xf8]
0xfffffff008b0ff9c: 1f010071  cmp	w8, #0
0xfffffff008b0ffa0: e9079f1a  cset	w9, ne
0xfffffff008b0ffa4: 691a0339  strb	w9, [x19, #0xc6]
0xfffffff008b0ffa8: f92300a9  stp	x25, x8, [sp]
0xfffffff008b0ffac: a03dffd0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b0ffb0: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b0ffb4: 617bfff0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b0ffb8: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b0ffbc: 433fffd0  adrp	x3, #0xfffffff0072f9000
0xfffffff008b0ffc0: 63f83f91  add	x3, x3, #0xffe
0xfffffff008b0ffc4: 02008052  mov	w2, #0
0xfffffff008b0ffc8: 5a8ce097  bl	#0xfffffff008333130
0xfffffff008b0ffcc: 681a4339  ldrb	w8, [x19, #0xc6]
0xfffffff008b0ffd0: 68000034  cbz	w8, #0xfffffff008b0ffdc
0xfffffff008b0ffd4: 691e4339  ldrb	w9, [x19, #0xc7]
0xfffffff008b0ffd8: 03000014  b	#0xfffffff008b0ffe4
0xfffffff008b0ffdc: 09008052  mov	w9, #0
0xfffffff008b0ffe0: 7f1e0339  strb	wzr, [x19, #0xc7]
0xfffffff008b0ffe4: f92300a9  stp	x25, x8, [sp]
0xfffffff008b0ffe8: e803092a  mov	w8, w9
0xfffffff008b0ffec: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008b0fff0: a03dffd0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b0fff4: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b0fff8: 617bfff0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b0fffc: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b10000: 433fffd0  adrp	x3, #0xfffffff0072fa000
0xfffffff008b10004: 63840191  add	x3, x3, #0x61
0xfffffff008b10008: 02008052  mov	w2, #0
0xfffffff008b1000c: 498ce097  bl	#0xfffffff008333130
0xfffffff008b10010: 681a4339  ldrb	w8, [x19, #0xc6]
0xfffffff008b10014: 08120034  cbz	w8, #0xfffffff008b10254
0xfffffff008b10018: c07bffb0  adrp	x0, #0xfffffff007a89000
0xfffffff008b1001c: 00e03391  add	x0, x0, #0xcf8
0xfffffff008b10020: 3519e197  bl	#0xfffffff0083564f4
0xfffffff008b10024: dc3efff0  adrp	x28, #0xfffffff0072eb000
0xfffffff008b10028: 9cbb0091  add	x28, x28, #0x2e
0xfffffff008b1002c: c23efff0  adrp	x2, #0xfffffff0072eb000
0xfffffff008b10030: 42e43891  add	x2, x2, #0xe39
0xfffffff008b10034: e1031caa  mov	x1, x28
0xfffffff008b10038: e30313aa  mov	x3, x19
0xfffffff008b1003c: 42cb0094  bl	#0xfffffff008b42d44
0xfffffff008b10040: 60660af9  str	x0, [x19, #0x14c8]
0xfffffff008b10044: a00a00b4  cbz	x0, #0xfffffff008b10198
0xfffffff008b10048: f94f00a9  stp	x25, x19, [sp]
0xfffffff008b1004c: a03dffb0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b10050: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b10054: 617bffd0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b10058: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b1005c: 433fffd0  adrp	x3, #0xfffffff0072fa000
0xfffffff008b10060: 630c0491  add	x3, x3, #0x103
0xfffffff008b10064: 02008052  mov	w2, #0
0xfffffff008b10068: 328ce097  bl	#0xfffffff008333130
0xfffffff008b1006c: e00314aa  mov	x0, x20
0xfffffff008b10070: e10313aa  mov	x1, x19
0xfffffff008b10074: 95d2ed97  bl	#0xfffffff008684ac8
0xfffffff008b10078: 1f000071  cmp	w0, #0
0xfffffff008b1007c: fb079f1a  cset	w27, ne
0xfffffff008b10080: 60010034  cbz	w0, #0xfffffff008b100ac
0xfffffff008b10084: f97300a9  stp	x25, x28, [sp]
0xfffffff008b10088: a03dffb0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b1008c: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b10090: 617bffd0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b10094: 211046f9  ldr	x1, [x1, #0xc20]
