; Candidate 13179
; ADRP+ADD at VM 0xfffffff00920fe44 (fileoff 0x220be44): page=0x110c000 add_imm=0xd18

0xfffffff00920fdc4: e00313aa  mov	x0, x19
0xfffffff00920fdc8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00920fdcc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00920fdd0: ff2303d5  autibsp	
0xfffffff00920fdd4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00920fdd8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00920fde0
0xfffffff00920fddc: 208e38d4  brk	#0xc471
0xfffffff00920fde0: 58d0c517  b	#0xfffffff008383f40
0xfffffff00920fde4: 7f2303d5  pacibsp	
0xfffffff00920fde8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00920fdec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00920fdf0: fd430091  add	x29, sp, #0x10
0xfffffff00920fdf4: f30300aa  mov	x19, x0
0xfffffff00920fdf8: 4bffff97  bl	#0xfffffff00920fb24
0xfffffff00920fdfc: e04bffd0  adrp	x0, #0xfffffff007b8d000
0xfffffff00920fe00: 00402991  add	x0, x0, #0xa50
0xfffffff00920fe04: e10313aa  mov	x1, x19
0xfffffff00920fe08: 02278052  mov	w2, #0x138
0xfffffff00920fe0c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00920fe10: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00920fe14: ff2303d5  autibsp	
0xfffffff00920fe18: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00920fe1c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00920fe24
0xfffffff00920fe20: 208e38d4  brk	#0xc471
0xfffffff00920fe24: 1e5ec317  b	#0xfffffff0082e769c
0xfffffff00920fe28: 5f2403d5  bti	c
0xfffffff00920fe2c: e20301aa  mov	x2, x1
0xfffffff00920fe30: e10300aa  mov	x1, x0
0xfffffff00920fe34: e04bffd0  adrp	x0, #0xfffffff007b8d000
0xfffffff00920fe38: 00402991  add	x0, x0, #0xa50
0xfffffff00920fe3c: 185ec317  b	#0xfffffff0082e769c
0xfffffff00920fe40: 5f2403d5  bti	c
0xfffffff00920fe44: 60880090  adrp	x0, #0xfffffff00a31b000
0xfffffff00920fe48: 00603491  add	x0, x0, #0xd18
0xfffffff00920fe4c: c0035fd6  ret	
0xfffffff00920fe50: 7f2303d5  pacibsp	
0xfffffff00920fe54: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00920fe58: fd030091  mov	x29, sp
0xfffffff00920fe5c: e114ffb0  adrp	x1, #0xfffffff0074ac000
0xfffffff00920fe60: 215c1a91  add	x1, x1, #0x697
0xfffffff00920fe64: e24bff90  adrp	x2, #0xfffffff007b8b000
0xfffffff00920fe68: 426843f9  ldr	x2, [x2, #0x6d0]
0xfffffff00920fe6c: 03278052  mov	w3, #0x138
0xfffffff00920fe70: 324fc397  bl	#0xfffffff0082e3b38
0xfffffff00920fe74: f04bffd0  adrp	x16, #0xfffffff007b8d000
0xfffffff00920fe78: 10020691  add	x16, x16, #0x180
0xfffffff00920fe7c: 10420091  add	x16, x16, #0x10
0xfffffff00920fe80: f10300aa  mov	x17, x0
0xfffffff00920fe84: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00920fe88: 300ac1da  pacda	x16, x17
0xfffffff00920fe8c: 100000f9  str	x16, [x0]
0xfffffff00920fe90: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00920fe94: ff0f5fd6  retab	
0xfffffff00920fe98: 7f2303d5  pacibsp	
0xfffffff00920fe9c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00920fea0: fd030091  mov	x29, sp
0xfffffff00920fea4: e04bffd0  adrp	x0, #0xfffffff007b8d000
0xfffffff00920fea8: 00402991  add	x0, x0, #0xa50
0xfffffff00920feac: 01278052  mov	w1, #0x138
0xfffffff00920feb0: e25dc397  bl	#0xfffffff0082e7638
0xfffffff00920feb4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00920feb8: ff2303d5  autibsp	
0xfffffff00920febc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00920fec0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00920fec8
