; Candidate 7321
; ADRP+ADD at VM 0xfffffff008867350 (fileoff 0x1863350): page=0x1fe982000 add_imm=0xe80

0xfffffff0088672d0: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0088672d4: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff0088672d8: 889d8052  mov	w8, #0x4ec
0xfffffff0088672dc: 494dfff0  adrp	x9, #0xfffffff007212000
0xfffffff0088672e0: 29553591  add	x9, x9, #0xd55
0xfffffff0088672e4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088672e8: 084eff90  adrp	x8, #0xfffffff007227000
0xfffffff0088672ec: 08811191  add	x8, x8, #0x460
0xfffffff0088672f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088672f4: 680c8052  mov	w8, #0x63
0xfffffff0088672f8: 004effd0  adrp	x0, #0xfffffff007229000
0xfffffff0088672fc: 006c2491  add	x0, x0, #0x91b
0xfffffff008867300: 3e000014  b	#0xfffffff0088673f8
0xfffffff008867304: aa330194  bl	#0xfffffff0088b41ac
0xfffffff008867308: f50300aa  mov	x21, x0
0xfffffff00886730c: 80008052  mov	w0, #4
0xfffffff008867310: 50510094  bl	#0xfffffff00887b850
0xfffffff008867314: e80314aa  mov	x8, x20
0xfffffff008867318: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886731c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008867320: 484dffb0  adrp	x8, #0xfffffff007210000
0xfffffff008867324: 08b92791  add	x8, x8, #0x9ee
0xfffffff008867328: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00886732c: c89c8052  mov	w8, #0x4e6
0xfffffff008867330: 494dfff0  adrp	x9, #0xfffffff007212000
0xfffffff008867334: 29553591  add	x9, x9, #0xd55
0xfffffff008867338: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00886733c: 084eff90  adrp	x8, #0xfffffff007227000
0xfffffff008867340: 08811191  add	x8, x8, #0x460
0xfffffff008867344: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008867348: 680c8052  mov	w8, #0x63
0xfffffff00886734c: f52300a9  stp	x21, x8, [sp]
0xfffffff008867350: 004cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008867354: 00003a91  add	x0, x0, #0xe80
0xfffffff008867358: 018dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886735c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008867360: 834fff90  adrp	x3, #0xfffffff007257000
0xfffffff008867364: 63680f91  add	x3, x3, #0x3da
0xfffffff008867368: 02008052  mov	w2, #0
0xfffffff00886736c: 712feb97  bl	#0xfffffff008333130
0xfffffff008867370: 24000014  b	#0xfffffff008867400
0xfffffff008867374: 603240f9  ldr	x0, [x19, #0x60]
0xfffffff008867378: 21008052  mov	w1, #1
0xfffffff00886737c: cc04ff97  bl	#0xfffffff0088286ac
0xfffffff008867380: f40300aa  mov	x20, x0
0xfffffff008867384: e0100034  cbz	w0, #0xfffffff0088675a0
0xfffffff008867388: 600c8052  mov	w0, #0x63
0xfffffff00886738c: 81008052  mov	w1, #4
0xfffffff008867390: 10510094  bl	#0xfffffff00887b7d0
0xfffffff008867394: 60030034  cbz	w0, #0xfffffff008867400
0xfffffff008867398: 600c8052  mov	w0, #0x63
0xfffffff00886739c: 1f510094  bl	#0xfffffff00887b818
0xfffffff0088673a0: f60300aa  mov	x22, x0
0xfffffff0088673a4: 82330194  bl	#0xfffffff0088b41ac
0xfffffff0088673a8: f50300aa  mov	x21, x0
0xfffffff0088673ac: 80008052  mov	w0, #4
0xfffffff0088673b0: 28510094  bl	#0xfffffff00887b850
0xfffffff0088673b4: b6110034  cbz	w22, #0xfffffff0088675e8
0xfffffff0088673b8: e80314aa  mov	x8, x20
0xfffffff0088673bc: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff0088673c0: 4a4dffb0  adrp	x10, #0xfffffff007210000
0xfffffff0088673c4: 4ab92791  add	x10, x10, #0x9ee
0xfffffff0088673c8: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088673cc: ea4f03a9  stp	x10, x19, [sp, #0x30]
