; Candidate 13434
; ADRP+ADD at VM 0xfffffff0092d0870 (fileoff 0x22cc870): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d07f0: 400300b4  cbz	x0, #0xfffffff0092d0858
0xfffffff0092d07f4: 700240f9  ldr	x16, [x19]
0xfffffff0092d07f8: f10313aa  mov	x17, x19
0xfffffff0092d07fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0800: 301ac1da  autda	x16, x17
0xfffffff0092d0804: 116e80d2  mov	x17, #0x370
0xfffffff0092d0808: 1002118b  add	x16, x16, x17
0xfffffff0092d080c: 080240f9  ldr	x8, [x16]
0xfffffff0092d0810: e90310aa  mov	x9, x16
0xfffffff0092d0814: e00313aa  mov	x0, x19
0xfffffff0092d0818: f10309aa  mov	x17, x9
0xfffffff0092d081c: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d0820: 11093fd7  blraa	x8, x17
0xfffffff0092d0824: 100040f9  ldr	x16, [x0]
0xfffffff0092d0828: f10300aa  mov	x17, x0
0xfffffff0092d082c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0830: 301ac1da  autda	x16, x17
0xfffffff0092d0834: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0838: 1002118b  add	x16, x16, x17
0xfffffff0092d083c: 080240f9  ldr	x8, [x16]
0xfffffff0092d0840: e90310aa  mov	x9, x16
0xfffffff0092d0844: 010080d2  mov	x1, #0
0xfffffff0092d0848: f10309aa  mov	x17, x9
0xfffffff0092d084c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0850: 11093fd7  blraa	x8, x17
0xfffffff0092d0854: 03000014  b	#0xfffffff0092d0860
0xfffffff0092d0858: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d085c: 00102191  add	x0, x0, #0x844
0xfffffff0092d0860: a8024079  ldrh	w8, [x21]
0xfffffff0092d0864: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d0868: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d086c: f60300f9  str	x22, [sp]
0xfffffff0092d0870: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d0874: 00983891  add	x0, x0, #0xe26
0xfffffff0092d0878: ea19c297  bl	#0xfffffff008357020
0xfffffff0092d087c: 75523a91  add	x21, x19, #0xe94
0xfffffff0092d0880: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d0884: 943a3691  add	x20, x20, #0xd8e
0xfffffff0092d0888: e00314aa  mov	x0, x20
0xfffffff0092d088c: e10315aa  mov	x1, x21
0xfffffff0092d0890: 42008052  mov	w2, #2
0xfffffff0092d0894: c971c697  bl	#0xfffffff00846cfb8
0xfffffff0092d0898: c0070034  cbz	w0, #0xfffffff0092d0990
0xfffffff0092d089c: 700240f9  ldr	x16, [x19]
0xfffffff0092d08a0: f10313aa  mov	x17, x19
0xfffffff0092d08a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d08a8: 301ac1da  autda	x16, x17
0xfffffff0092d08ac: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d08b0: 1002118b  add	x16, x16, x17
0xfffffff0092d08b4: 080240f9  ldr	x8, [x16]
0xfffffff0092d08b8: e90310aa  mov	x9, x16
0xfffffff0092d08bc: e00313aa  mov	x0, x19
0xfffffff0092d08c0: 010080d2  mov	x1, #0
0xfffffff0092d08c4: f10309aa  mov	x17, x9
0xfffffff0092d08c8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d08cc: 11093fd7  blraa	x8, x17
0xfffffff0092d08d0: f60300aa  mov	x22, x0
0xfffffff0092d08d4: 700240f9  ldr	x16, [x19]
0xfffffff0092d08d8: f10313aa  mov	x17, x19
0xfffffff0092d08dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d08e0: 301ac1da  autda	x16, x17
0xfffffff0092d08e4: 116e80d2  mov	x17, #0x370
0xfffffff0092d08e8: 1002118b  add	x16, x16, x17
0xfffffff0092d08ec: 080240f9  ldr	x8, [x16]
