; Candidate 3284
; ADRP+ADD at VM 0xfffffff0087286b4 (fileoff 0x17246b4): page=0x1fea09000 add_imm=0xd90

0xfffffff008728634: e85701a9  stp	x8, x21, [sp, #0x10]
0xfffffff008728638: 48dd8152  mov	w8, #0xeea
0xfffffff00872863c: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728640: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008728644: e92300a9  stp	x9, x8, [sp]
0xfffffff008728648: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872864c: 00403691  add	x0, x0, #0xd90
0xfffffff008728650: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728654: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728658: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872865c: 638c0d91  add	x3, x3, #0x363
0xfffffff008728660: 02008052  mov	w2, #0
0xfffffff008728664: b32af097  bl	#0xfffffff008333130
0xfffffff008728668: 00008052  mov	w0, #0
0xfffffff00872866c: edfcff17  b	#0xfffffff008727a20
0xfffffff008728670: e83b40f9  ldr	x8, [sp, #0x70]
0xfffffff008728674: 080140b9  ldr	w8, [x8]
0xfffffff008728678: 68ecff35  cbnz	w8, #0xfffffff008728404
0xfffffff00872867c: e00313aa  mov	x0, x19
0xfffffff008728680: 5ed3ff97  bl	#0xfffffff00871d3f8
0xfffffff008728684: 805a02b9  str	w0, [x20, #0x258]
0xfffffff008728688: 1f3c0071  cmp	w0, #0xf
0xfffffff00872868c: c3ebff54  b.lo	#0xfffffff008728404
0xfffffff008728690: c8018052  mov	w8, #0xe
0xfffffff008728694: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728698: 29b11391  add	x9, x9, #0x4ec
0xfffffff00872869c: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff0087286a0: e90301a9  stp	x9, x0, [sp, #0x10]
0xfffffff0087286a4: a8e68152  mov	w8, #0xf35
0xfffffff0087286a8: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff0087286ac: 29b90a91  add	x9, x9, #0x2ae
0xfffffff0087286b0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087286b4: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087286b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087286bc: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087286c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087286c4: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff0087286c8: 63041191  add	x3, x3, #0x441
0xfffffff0087286cc: 02008052  mov	w2, #0
0xfffffff0087286d0: 982af097  bl	#0xfffffff008333130
0xfffffff0087286d4: 00008052  mov	w0, #0
0xfffffff0087286d8: d2fcff17  b	#0xfffffff008727a20
0xfffffff0087286dc: 08340051  sub	w8, w0, #0xd
0xfffffff0087286e0: 1f690031  cmn	w8, #0x1a
0xfffffff0087286e4: a8020054  b.hi	#0xfffffff008728738
0xfffffff0087286e8: 88018052  mov	w8, #0xc
0xfffffff0087286ec: 69018012  mov	w9, #-0xc
0xfffffff0087286f0: 6a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff0087286f4: 4afd1591  add	x10, x10, #0x57f
0xfffffff0087286f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087286fc: ea0301a9  stp	x10, x0, [sp, #0x10]
0xfffffff008728700: 88f08152  mov	w8, #0xf84
0xfffffff008728704: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728708: 29b90a91  add	x9, x9, #0x2ae
0xfffffff00872870c: e92300a9  stp	x9, x8, [sp]
0xfffffff008728710: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008728714: 00403691  add	x0, x0, #0xd90
0xfffffff008728718: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872871c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728720: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff008728724: 63481791  add	x3, x3, #0x5d2
0xfffffff008728728: 02008052  mov	w2, #0
0xfffffff00872872c: 812af097  bl	#0xfffffff008333130
0xfffffff008728730: 00008052  mov	w0, #0
