; Candidate 4741
; ADRP+ADD at VM 0xfffffff0087c40dc (fileoff 0x17c00dc): page=0x1fe96d000 add_imm=0xd90

0xfffffff0087c405c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c4060: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4064: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4068: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c406c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c4070: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c4074: 63ac0891  add	x3, x3, #0x22b
0xfffffff0087c4078: 02008052  mov	w2, #0
0xfffffff0087c407c: 2dbced97  bl	#0xfffffff008333130
0xfffffff0087c4080: 71ffff17  b	#0xfffffff0087c3e44
0xfffffff0087c4084: c8948752  mov	w8, #0x3ca6
0xfffffff0087c4088: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0087c408c: c8ed0736  tbz	w8, #0, #0xfffffff0087c3e44
0xfffffff0087c4090: 081c0012  and	w8, w0, #0xff
0xfffffff0087c4094: e91e0012  and	w9, w23, #0xff
0xfffffff0087c4098: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0087c409c: c94cfff0  adrp	x9, #0xfffffff00715f000
0xfffffff0087c40a0: 29ad0691  add	x9, x9, #0x1ab
0xfffffff0087c40a4: e90300f9  str	x9, [sp]
0xfffffff0087c40a8: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c40ac: 00403691  add	x0, x0, #0xd90
0xfffffff0087c40b0: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c40b4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c40b8: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c40bc: 63440991  add	x3, x3, #0x251
0xfffffff0087c40c0: 02008052  mov	w2, #0
0xfffffff0087c40c4: 1bbced97  bl	#0xfffffff008333130
0xfffffff0087c40c8: 5fffff17  b	#0xfffffff0087c3e44
0xfffffff0087c40cc: 081d4092  and	x8, x8, #0xff
0xfffffff0087c40d0: c94cfff0  adrp	x9, #0xfffffff00715f000
0xfffffff0087c40d4: 29ad0691  add	x9, x9, #0x1ab
0xfffffff0087c40d8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087c40dc: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c40e0: 00403691  add	x0, x0, #0xd90
0xfffffff0087c40e4: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c40e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c40ec: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c40f0: 63641191  add	x3, x3, #0x459
0xfffffff0087c40f4: 02008052  mov	w2, #0
0xfffffff0087c40f8: 0ebced97  bl	#0xfffffff008333130
0xfffffff0087c40fc: 52ffff17  b	#0xfffffff0087c3e44
0xfffffff0087c4100: c84cfff0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c4104: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0087c4108: e85f00a9  stp	x8, x23, [sp]
0xfffffff0087c410c: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4110: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4114: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4118: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c411c: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c4120: 63fc1191  add	x3, x3, #0x47f
0xfffffff0087c4124: 02008052  mov	w2, #0
0xfffffff0087c4128: 02bced97  bl	#0xfffffff008333130
0xfffffff0087c412c: 46ffff17  b	#0xfffffff0087c3e44
0xfffffff0087c4130: c84cfff0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c4134: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0087c4138: e86f00a9  stp	x8, x27, [sp]
0xfffffff0087c413c: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4140: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4144: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4148: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c414c: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c4150: 63941291  add	x3, x3, #0x4a5
0xfffffff0087c4154: 02008052  mov	w2, #0
0xfffffff0087c4158: f6bbed97  bl	#0xfffffff008333130
