; Candidate 12554
; ADRP+ADD at VM 0xfffffff0090ba3dc (fileoff 0x20b63dc): page=0x1fe39f000 add_imm=0xe24

0xfffffff0090ba35c: c80400b5  cbnz	x8, #0xfffffff0090ba3f4
0xfffffff0090ba360: e01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090ba364: 00783991  add	x0, x0, #0xe5e
0xfffffff0090ba368: 010080d2  mov	x1, #0
0xfffffff0090ba36c: 493fcb97  bl	#0xfffffff00838a090
0xfffffff0090ba370: c01d00b4  cbz	x0, #0xfffffff0090ba728
0xfffffff0090ba374: fa0300aa  mov	x26, x0
0xfffffff0090ba378: 01008092  mov	x1, #-1
0xfffffff0090ba37c: 843ecb97  bl	#0xfffffff008389d8c
0xfffffff0090ba380: fb0300aa  mov	x27, x0
0xfffffff0090ba384: 001f00b4  cbz	x0, #0xfffffff0090ba764
0xfffffff0090ba388: 19008052  mov	w25, #0
0xfffffff0090ba38c: 9b4707f9  str	x27, [x28, #0xe88]
0xfffffff0090ba390: 500340f9  ldr	x16, [x26]
0xfffffff0090ba394: f1031aaa  mov	x17, x26
0xfffffff0090ba398: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090ba39c: 301ac1da  autda	x16, x17
0xfffffff0090ba3a0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090ba3a4: e90310aa  mov	x9, x16
0xfffffff0090ba3a8: e0031aaa  mov	x0, x26
0xfffffff0090ba3ac: f10309aa  mov	x17, x9
0xfffffff0090ba3b0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090ba3b4: 11093fd7  blraa	x8, x17
0xfffffff0090ba3b8: 9b0100b5  cbnz	x27, #0xfffffff0090ba3e8
0xfffffff0090ba3bc: e80319aa  mov	x8, x25
0xfffffff0090ba3c0: 087d4093  sxtw	x8, w8
0xfffffff0090ba3c4: 691dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090ba3c8: 2a5d3e91  add	x10, x9, #0xf97
0xfffffff0090ba3cc: 691dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090ba3d0: 29b53991  add	x9, x9, #0xe6d
0xfffffff0090ba3d4: e92b00a9  stp	x9, x10, [sp]
0xfffffff0090ba3d8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090ba3dc: e01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090ba3e0: 00903891  add	x0, x0, #0xe24
0xfffffff0090ba3e4: 0f73ca97  bl	#0xfffffff008357020
0xfffffff0090ba3e8: d91d0035  cbnz	w25, #0xfffffff0090ba7a0
0xfffffff0090ba3ec: 884747f9  ldr	x8, [x28, #0xe88]
0xfffffff0090ba3f0: 881f00b4  cbz	x8, #0xfffffff0090ba7e0
0xfffffff0090ba3f4: e5c30091  add	x5, sp, #0x30
0xfffffff0090ba3f8: e00318aa  mov	x0, x24
0xfffffff0090ba3fc: 01008052  mov	w1, #0
0xfffffff0090ba400: 02008052  mov	w2, #0
0xfffffff0090ba404: e30317aa  mov	x3, x23
0xfffffff0090ba408: e40314aa  mov	x4, x20
0xfffffff0090ba40c: 06010094  bl	#0xfffffff0090ba824
0xfffffff0090ba410: 801300b4  cbz	x0, #0xfffffff0090ba680
0xfffffff0090ba414: f40300aa  mov	x20, x0
0xfffffff0090ba418: 730000b4  cbz	x19, #0xfffffff0090ba424
0xfffffff0090ba41c: 7b0240b9  ldr	w27, [x19]
0xfffffff0090ba420: 02000014  b	#0xfffffff0090ba428
0xfffffff0090ba424: 1b008052  mov	w27, #0
0xfffffff0090ba428: 994747f9  ldr	x25, [x28, #0xe88]
0xfffffff0090ba42c: fa1b40f9  ldr	x26, [sp, #0x30]
0xfffffff0090ba430: fb4f00b9  str	w27, [sp, #0x4c]
0xfffffff0090ba434: 771dff90  adrp	x23, #0xfffffff007466000
0xfffffff0090ba438: f7563891  add	x23, x23, #0xe15
0xfffffff0090ba43c: e00317aa  mov	x0, x23
0xfffffff0090ba440: d4bbc997  bl	#0xfffffff008329390
0xfffffff0090ba444: 001300b4  cbz	x0, #0xfffffff0090ba6a4
0xfffffff0090ba448: f80300aa  mov	x24, x0
0xfffffff0090ba44c: e00314aa  mov	x0, x20
0xfffffff0090ba450: e1031aaa  mov	x1, x26
0xfffffff0090ba454: 42008052  mov	w2, #2
0xfffffff0090ba458: 1c63cc97  bl	#0xfffffff0083d30c8
