; Candidate 14848
; ADRP+ADD at VM 0xfffffff0099bf034 (fileoff 0x29bb034): page=0x1fdc38000 add_imm=0xcf9

0xfffffff0099befb4: e60313aa  mov	x6, x19
0xfffffff0099befb8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0099befbc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0099befc0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0099befc4: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0099befc8: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff0099befcc: ff2303d5  autibsp	
0xfffffff0099befd0: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0099befd4: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0099befdc
0xfffffff0099befd8: 208e38d4  brk	#0xc471
0xfffffff0099befdc: f10307aa  mov	x17, x7
0xfffffff0099befe0: 1131e1f2  movk	x17, #0x988, lsl #48
0xfffffff0099befe4: 110a1fd7  braa	x16, x17
0xfffffff0099befe8: 5f2403d5  bti	c
0xfffffff0099befec: 08244639  ldrb	w8, [x0, #0x189]
0xfffffff0099beff0: 00150553  ubfx	w0, w8, #5, #1
0xfffffff0099beff4: c0035fd6  ret	
0xfffffff0099beff8: 7f2303d5  pacibsp	
0xfffffff0099beffc: ffc300d1  sub	sp, sp, #0x30
0xfffffff0099bf000: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0099bf004: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0099bf008: fd830091  add	x29, sp, #0x20
0xfffffff0099bf00c: f30301aa  mov	x19, x1
0xfffffff0099bf010: f40300aa  mov	x20, x0
0xfffffff0099bf014: a84f00d0  adrp	x8, #0xfffffff00a3b5000
0xfffffff0099bf018: 08413d91  add	x8, x8, #0xf50
0xfffffff0099bf01c: 08014039  ldrb	w8, [x8]
0xfffffff0099bf020: 08010036  tbz	w8, #0, #0xfffffff0099bf040
0xfffffff0099bf024: c8e1fed0  adrp	x8, #0xfffffff0075f9000
0xfffffff0099bf028: 08410b91  add	x8, x8, #0x2d0
0xfffffff0099bf02c: 09978352  mov	w9, #0x1cb8
0xfffffff0099bf030: e82700a9  stp	x8, x9, [sp]
0xfffffff0099bf034: c0e1fe90  adrp	x0, #0xfffffff0075f7000
0xfffffff0099bf038: 00e43391  add	x0, x0, #0xcf9
0xfffffff0099bf03c: 45c1aa97  bl	#0xfffffff00846f550
0xfffffff0099bf040: 888a41b9  ldr	w8, [x20, #0x188]
0xfffffff0099bf044: 08011f32  orr	w8, w8, #2
0xfffffff0099bf048: 888a01b9  str	w8, [x20, #0x188]
0xfffffff0099bf04c: 4816ffd0  adrp	x8, #0xfffffff007c89000
0xfffffff0099bf050: 084d40f9  ldr	x8, [x8, #0x98]
0xfffffff0099bf054: 02010c91  add	x2, x8, #0x300
0xfffffff0099bf058: 108141f9  ldr	x16, [x8, #0x300]
0xfffffff0099bf05c: e00314aa  mov	x0, x20
0xfffffff0099bf060: e10313aa  mov	x1, x19
0xfffffff0099bf064: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0099bf068: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0099bf06c: ffc30091  add	sp, sp, #0x30
0xfffffff0099bf070: ff2303d5  autibsp	
0xfffffff0099bf074: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0099bf078: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0099bf080
0xfffffff0099bf07c: 208e38d4  brk	#0xc471
0xfffffff0099bf080: f10302aa  mov	x17, x2
0xfffffff0099bf084: b1d8ebf2  movk	x17, #0x5ec5, lsl #48
0xfffffff0099bf088: 110a1fd7  braa	x16, x17
0xfffffff0099bf08c: 7f2303d5  pacibsp	
0xfffffff0099bf090: ff0301d1  sub	sp, sp, #0x40
0xfffffff0099bf094: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0099bf098: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0099bf09c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0099bf0a0: fdc30091  add	x29, sp, #0x30
0xfffffff0099bf0a4: f30302aa  mov	x19, x2
0xfffffff0099bf0a8: f40301aa  mov	x20, x1
0xfffffff0099bf0ac: f50300aa  mov	x21, x0
0xfffffff0099bf0b0: a84f00d0  adrp	x8, #0xfffffff00a3b5000
