; Candidate 16036
; ADRP+ADD at VM 0xfffffff009e062dc (fileoff 0x2e022dc): page=0x1fd89d000 add_imm=0xe00

0xfffffff009e0625c: 700000f0  adrp	x16, #0xfffffff009e15000
0xfffffff009e06260: 10322c91  add	x16, x16, #0xb0c
0xfffffff009e06264: 5001c1da  pacia	x16, x10
0xfffffff009e06268: f01700f9  str	x16, [sp, #0x28]
0xfffffff009e0626c: 29610091  add	x9, x9, #0x18
0xfffffff009e06270: 30f9fe90  adrp	x16, #0xfffffff007d2a000
0xfffffff009e06274: 10821c91  add	x16, x16, #0x720
0xfffffff009e06278: f10309aa  mov	x17, x9
0xfffffff009e0627c: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff009e06280: 300ac1da  pacda	x16, x17
0xfffffff009e06284: f00303a9  stp	x16, x0, [sp, #0x30]
0xfffffff009e06288: 490c8052  mov	w9, #0x62
0xfffffff009e0628c: e94b00b9  str	w9, [sp, #0x48]
0xfffffff009e06290: e82300f9  str	x8, [sp, #0x40]
0xfffffff009e06294: e2430191  add	x2, sp, #0x50
0xfffffff009e06298: e3630091  add	x3, sp, #0x18
0xfffffff009e0629c: 410c8052  mov	w1, #0x62
0xfffffff009e062a0: 203e0094  bl	#0xfffffff009e15b20
0xfffffff009e062a4: e0020034  cbz	w0, #0xfffffff009e06300
0xfffffff009e062a8: ff0f00f9  str	xzr, [sp, #0x18]
0xfffffff009e062ac: 1c4b7e97  bl	#0xfffffff007d98f1c
0xfffffff009e062b0: e3630091  add	x3, sp, #0x18
0xfffffff009e062b4: 01008012  mov	w1, #-1
0xfffffff009e062b8: 22008052  mov	w2, #1
0xfffffff009e062bc: 9c4a7e97  bl	#0xfffffff007d98d2c
0xfffffff009e062c0: c0000035  cbnz	w0, #0xfffffff009e062d8
0xfffffff009e062c4: 99c78497  bl	#0xfffffff007f38128
0xfffffff009e062c8: e20f40f9  ldr	x2, [sp, #0x18]
0xfffffff009e062cc: 41008052  mov	w1, #2
0xfffffff009e062d0: 6ace8497  bl	#0xfffffff007f39c78
0xfffffff009e062d4: 60010034  cbz	w0, #0xfffffff009e06300
0xfffffff009e062d8: e04f00a9  stp	x0, x19, [sp]
0xfffffff009e062dc: e0c4feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e062e0: 00003891  add	x0, x0, #0xe00
0xfffffff009e062e4: 01f9fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e062e8: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e062ec: c3d0feb0  adrp	x3, #0xfffffff00781f000
0xfffffff009e062f0: 63a83e91  add	x3, x3, #0xfaa
0xfffffff009e062f4: 02028052  mov	w2, #0x10
0xfffffff009e062f8: 8eb39497  bl	#0xfffffff008333130
0xfffffff009e062fc: 20008052  mov	w0, #1
0xfffffff009e06300: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff009e06304: 09f9fef0  adrp	x9, #0xfffffff007d29000
0xfffffff009e06308: 296544f9  ldr	x9, [x9, #0x8c8]
0xfffffff009e0630c: 290140f9  ldr	x9, [x9]
0xfffffff009e06310: 3f0108eb  cmp	x9, x8
0xfffffff009e06314: a1000054  b.ne	#0xfffffff009e06328
0xfffffff009e06318: ffc30791  add	sp, sp, #0x1f0
0xfffffff009e0631c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009e06320: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009e06324: ff0f5fd6  retab	
0xfffffff009e06328: c95e7d97  bl	#0xfffffff007d5de4c
0xfffffff009e0632c: 7f2303d5  pacibsp	
0xfffffff009e06330: ffc300d1  sub	sp, sp, #0x30
0xfffffff009e06334: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009e06338: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009e0633c: fd830091  add	x29, sp, #0x20
0xfffffff009e06340: ef058e97  bl	#0xfffffff008187afc
0xfffffff009e06344: e00700f9  str	x0, [sp, #8]
0xfffffff009e06348: 09000094  bl	#0xfffffff009e0636c
0xfffffff009e0634c: f30300aa  mov	x19, x0
0xfffffff009e06350: e0230091  add	x0, sp, #8
0xfffffff009e06354: 99098e97  bl	#0xfffffff0081889b8
0xfffffff009e06358: e00313aa  mov	x0, x19
