; Candidate 3403
; ADRP+ADD at VM 0xfffffff00873be18 (fileoff 0x1737e18): page=0x1fe9f6000 add_imm=0xd90

0xfffffff00873bd98: 4a050011  add	w10, w10, #1
0xfffffff00873bd9c: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff00873bda0: 4b1d0011  add	w11, w10, #7
0xfffffff00873bda4: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff00873bda8: 3f050071  cmp	w9, #1
0xfffffff00873bdac: 49018b1a  csel	w9, w10, w11, eq
0xfffffff00873bdb0: 3f210071  cmp	w9, #8
0xfffffff00873bdb4: 88020054  b.hi	#0xfffffff00873be04
0xfffffff00873bdb8: e80300aa  mov	x8, x0
0xfffffff00873bdbc: f00309aa  mov	x16, x9
0xfffffff00873bdc0: 1f2200f1  cmp	x16, #8
0xfffffff00873bdc4: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00873bdc8: 11000090  adrp	x17, #0xfffffff00873b000
0xfffffff00873bdcc: 31623c91  add	x17, x17, #0xf18
0xfffffff00873bdd0: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00873bdd4: 11000010  adr	x17, #0xfffffff00873bdd4
0xfffffff00873bdd8: 3002108b  add	x16, x17, x16
0xfffffff00873bddc: 00021fd6  br	x16
0xfffffff00873bde0: 9f2403d5  bti	j
0xfffffff00873bde4: 00008052  mov	w0, #0
0xfffffff00873bde8: 29fc0011  add	w9, w1, #0x3f
0xfffffff00873bdec: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff00873bdf0: 09f12eb9  str	w9, [x8, #0x2ef0]
0xfffffff00873bdf4: 29781f53  lsl	w9, w1, #1
0xfffffff00873bdf8: 41000014  b	#0xfffffff00873befc
0xfffffff00873bdfc: 00008052  mov	w0, #0
0xfffffff00873be00: 43000014  b	#0xfffffff00873bf0c
0xfffffff00873be04: 9f2403d5  bti	j
0xfffffff00873be08: 28210011  add	w8, w9, #8
0xfffffff00873be0c: a950ff90  adrp	x9, #0xfffffff00714f000
0xfffffff00873be10: 29351b91  add	x9, x9, #0x6cd
0xfffffff00873be14: e92300a9  stp	x9, x8, [sp]
0xfffffff00873be18: a04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873be1c: 00403691  add	x0, x0, #0xd90
0xfffffff00873be20: 0196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873be24: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873be28: 0350ffb0  adrp	x3, #0xfffffff00713c000
0xfffffff00873be2c: 639c0091  add	x3, x3, #0x27
0xfffffff00873be30: 02008052  mov	w2, #0
0xfffffff00873be34: bfdcef97  bl	#0xfffffff008333130
0xfffffff00873be38: 00008012  mov	w0, #-1
0xfffffff00873be3c: 34000014  b	#0xfffffff00873bf0c
0xfffffff00873be40: 9f2403d5  bti	j
0xfffffff00873be44: 00008052  mov	w0, #0
0xfffffff00873be48: 29080011  add	w9, w1, #2
0xfffffff00873be4c: 6a559552  mov	w10, #0xaaab
0xfffffff00873be50: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff00873be54: 297daa9b  umull	x9, w9, w10
0xfffffff00873be58: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00873be5c: 29791f53  lsl	w9, w9, #1
0xfffffff00873be60: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff00873be64: 29fd0011  add	w9, w9, #0x3f
0xfffffff00873be68: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff00873be6c: 09f12eb9  str	w9, [x8, #0x2ef0]
0xfffffff00873be70: 29781f53  lsl	w9, w1, #1
0xfffffff00873be74: 2909c41a  udiv	w9, w9, w4
0xfffffff00873be78: 29150011  add	w9, w9, #5
0xfffffff00873be7c: 297daa9b  umull	x9, w9, w10
0xfffffff00873be80: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00873be84: 29791f53  lsl	w9, w9, #1
0xfffffff00873be88: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff00873be8c: 1d000014  b	#0xfffffff00873bf00
0xfffffff00873be90: 9f2403d5  bti	j
0xfffffff00873be94: 00008052  mov	w0, #0
