; Candidate 5635
; ADRP+ADD at VM 0xfffffff0087fdf54 (fileoff 0x17f9f54): page=0x1fe9ec000 add_imm=0xe80

0xfffffff0087fded4: a0030034  cbz	w0, #0xfffffff0087fdf48
0xfffffff0087fded8: e803154b  neg	w8, w21
0xfffffff0087fdedc: 68032837  tbnz	w8, #5, #0xfffffff0087fdf48
0xfffffff0087fdee0: 28fb4039  ldrb	w8, [x25, #0x3e]
0xfffffff0087fdee4: 09f34ab9  ldr	w9, [x24, #0xaf0]
0xfffffff0087fdee8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087fdeec: c050ffd0  adrp	x0, #0xfffffff007217000
0xfffffff0087fdef0: 00b82b91  add	x0, x0, #0xaee
0xfffffff0087fdef4: 5be5d697  bl	#0xfffffff007db7460
0xfffffff0087fdef8: 1f000014  b	#0xfffffff0087fdf74
0xfffffff0087fdefc: acd80294  bl	#0xfffffff0088b41ac
0xfffffff0087fdf00: f60300aa  mov	x22, x0
0xfffffff0087fdf04: e00314aa  mov	x0, x20
0xfffffff0087fdf08: 52f60194  bl	#0xfffffff00887b850
0xfffffff0087fdf0c: 28fb4039  ldrb	w8, [x25, #0x3e]
0xfffffff0087fdf10: 09f34ab9  ldr	w9, [x24, #0xaf0]
0xfffffff0087fdf14: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0087fdf18: e80313aa  mov	x8, x19
0xfffffff0087fdf1c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fdf20: f60300f9  str	x22, [sp]
0xfffffff0087fdf24: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fdf28: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fdf2c: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fdf30: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fdf34: 2352ffb0  adrp	x3, #0xfffffff007242000
0xfffffff0087fdf38: 63400f91  add	x3, x3, #0x3d0
0xfffffff0087fdf3c: 02008052  mov	w2, #0
0xfffffff0087fdf40: 7cd4ec97  bl	#0xfffffff008333130
0xfffffff0087fdf44: 0c000014  b	#0xfffffff0087fdf74
0xfffffff0087fdf48: 28fb4039  ldrb	w8, [x25, #0x3e]
0xfffffff0087fdf4c: 09f34ab9  ldr	w9, [x24, #0xaf0]
0xfffffff0087fdf50: e92300a9  stp	x9, x8, [sp]
0xfffffff0087fdf54: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fdf58: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fdf5c: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fdf60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fdf64: 2352ffb0  adrp	x3, #0xfffffff007242000
0xfffffff0087fdf68: 63c40e91  add	x3, x3, #0x3b1
0xfffffff0087fdf6c: 02008052  mov	w2, #0
0xfffffff0087fdf70: 70d4ec97  bl	#0xfffffff008333130
0xfffffff0087fdf74: e00313aa  mov	x0, x19
0xfffffff0087fdf78: e10314aa  mov	x1, x20
0xfffffff0087fdf7c: 15f60194  bl	#0xfffffff00887b7d0
0xfffffff0087fdf80: a00d0034  cbz	w0, #0xfffffff0087fe134
0xfffffff0087fdf84: e00313aa  mov	x0, x19
0xfffffff0087fdf88: 24f60194  bl	#0xfffffff00887b818
0xfffffff0087fdf8c: d503f837  tbnz	w21, #0x1f, #0xfffffff0087fe004
0xfffffff0087fdf90: b7021b12  and	w23, w21, #0x20
0xfffffff0087fdf94: 1a000052  eor	w26, w0, #1
0xfffffff0087fdf98: 85d80294  bl	#0xfffffff0088b41ac
0xfffffff0087fdf9c: f60300aa  mov	x22, x0
0xfffffff0087fdfa0: e00314aa  mov	x0, x20
0xfffffff0087fdfa4: 2bf60194  bl	#0xfffffff00887b850
0xfffffff0087fdfa8: 4817572a  orr	w8, w26, w23, lsr #5
0xfffffff0087fdfac: 88050037  tbnz	w8, #0, #0xfffffff0087fe05c
0xfffffff0087fdfb0: 087f4db9  ldr	w8, [x24, #0xd7c]
0xfffffff0087fdfb4: c950ffd0  adrp	x9, #0xfffffff007217000
0xfffffff0087fdfb8: 29ed2d91  add	x9, x9, #0xb7b
0xfffffff0087fdfbc: ca50ffd0  adrp	x10, #0xfffffff007217000
0xfffffff0087fdfc0: 4ad52d91  add	x10, x10, #0xb75
0xfffffff0087fdfc4: 1f050071  cmp	w8, #1
0xfffffff0087fdfc8: 4801899a  csel	x8, x10, x9, eq
0xfffffff0087fdfcc: 09534fb9  ldr	w9, [x24, #0xf50]
0xfffffff0087fdfd0: 2a5b46b9  ldr	w10, [x25, #0x658]
