; Candidate 14214
; ADRP+ADD at VM 0xfffffff00974f56c (fileoff 0x274b56c): page=0xc3c000 add_imm=0xd58

0xfffffff00974f4ec: a83e40b9  ldr	w8, [x21, #0x3c]
0xfffffff00974f4f0: 08051e12  and	w8, w8, #0xc
0xfffffff00974f4f4: 1f210071  cmp	w8, #8
0xfffffff00974f4f8: 01020054  b.ne	#0xfffffff00974f538
0xfffffff00974f4fc: e10314aa  mov	x1, x20
0xfffffff00974f500: 3f9c0938  strb	wzr, [x1, #0x99]!
0xfffffff00974f504: 207040f8  ldur	x0, [x1, #7]
0xfffffff00974f508: 100040f9  ldr	x16, [x0]
0xfffffff00974f50c: f10300aa  mov	x17, x0
0xfffffff00974f510: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f514: 301ac1da  autda	x16, x17
0xfffffff00974f518: 112180d2  mov	x17, #0x108
0xfffffff00974f51c: 1002118b  add	x16, x16, x17
0xfffffff00974f520: 080240f9  ldr	x8, [x16]
0xfffffff00974f524: e90310aa  mov	x9, x16
0xfffffff00974f528: 02008052  mov	w2, #0
0xfffffff00974f52c: f10309aa  mov	x17, x9
0xfffffff00974f530: 916dfef2  movk	x17, #0xf36c, lsl #48
0xfffffff00974f534: 11093fd7  blraa	x8, x17
0xfffffff00974f538: 08008052  mov	w8, #0
0xfffffff00974f53c: 16080035  cbnz	w22, #0xfffffff00974f63c
0xfffffff00974f540: f70700b4  cbz	x23, #0xfffffff00974f63c
0xfffffff00974f544: a00640f9  ldr	x0, [x21, #8]
0xfffffff00974f548: 200100b4  cbz	x0, #0xfffffff00974f56c
0xfffffff00974f54c: a20a40f9  ldr	x2, [x21, #0x10]
0xfffffff00974f550: e10317aa  mov	x1, x23
0xfffffff00974f554: 0ff59797  bl	#0xfffffff007d4c990
0xfffffff00974f558: 28008052  mov	w8, #1
0xfffffff00974f55c: 38000014  b	#0xfffffff00974f63c
0xfffffff00974f560: 150080d2  mov	x21, #0
0xfffffff00974f564: 98f6ffb5  cbnz	x24, #0xfffffff00974f434
0xfffffff00974f568: e1ffff17  b	#0xfffffff00974f4ec
0xfffffff00974f56c: e0610090  adrp	x0, #0xfffffff00a38b000
0xfffffff00974f570: 00603591  add	x0, x0, #0xd58
0xfffffff00974f574: f954ae97  bl	#0xfffffff0082e4958
0xfffffff00974f578: f70300aa  mov	x23, x0
0xfffffff00974f57c: 900240f9  ldr	x16, [x20]
0xfffffff00974f580: f10314aa  mov	x17, x20
0xfffffff00974f584: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f588: 301ac1da  autda	x16, x17
0xfffffff00974f58c: 116e80d2  mov	x17, #0x370
0xfffffff00974f590: 1002118b  add	x16, x16, x17
0xfffffff00974f594: 080240f9  ldr	x8, [x16]
0xfffffff00974f598: e90310aa  mov	x9, x16
0xfffffff00974f59c: e00314aa  mov	x0, x20
0xfffffff00974f5a0: f10309aa  mov	x17, x9
0xfffffff00974f5a4: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff00974f5a8: 11093fd7  blraa	x8, x17
0xfffffff00974f5ac: 400300b4  cbz	x0, #0xfffffff00974f614
0xfffffff00974f5b0: 900240f9  ldr	x16, [x20]
0xfffffff00974f5b4: f10314aa  mov	x17, x20
0xfffffff00974f5b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f5bc: 301ac1da  autda	x16, x17
0xfffffff00974f5c0: 116e80d2  mov	x17, #0x370
0xfffffff00974f5c4: 1002118b  add	x16, x16, x17
0xfffffff00974f5c8: 080240f9  ldr	x8, [x16]
0xfffffff00974f5cc: e90310aa  mov	x9, x16
0xfffffff00974f5d0: e00314aa  mov	x0, x20
0xfffffff00974f5d4: f10309aa  mov	x17, x9
0xfffffff00974f5d8: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff00974f5dc: 11093fd7  blraa	x8, x17
0xfffffff00974f5e0: 100040f9  ldr	x16, [x0]
0xfffffff00974f5e4: f10300aa  mov	x17, x0
0xfffffff00974f5e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
