; Candidate 11462
; ADRP+ADD at VM 0xfffffff008f54468 (fileoff 0x1f50468): page=0x1fe4ca000 add_imm=0xde1

0xfffffff008f543e8: 740300b4  cbz	x20, #0xfffffff008f54454
0xfffffff008f543ec: e02300a9  stp	x0, x8, [sp]
0xfffffff008f543f0: 4226ffd0  adrp	x2, #0xfffffff00741e000
0xfffffff008f543f4: 42083891  add	x2, x2, #0xe02
0xfffffff008f543f8: 13000014  b	#0xfffffff008f54444
0xfffffff008f543fc: 745240f9  ldr	x20, [x19, #0xa0]
0xfffffff008f54400: 700240f9  ldr	x16, [x19]
0xfffffff008f54404: f10313aa  mov	x17, x19
0xfffffff008f54408: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f5440c: 301ac1da  autda	x16, x17
0xfffffff008f54410: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f54414: e90310aa  mov	x9, x16
0xfffffff008f54418: e00313aa  mov	x0, x19
0xfffffff008f5441c: f10309aa  mov	x17, x9
0xfffffff008f54420: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f54424: 11093fd7  blraa	x8, x17
0xfffffff008f54428: 4c41ce97  bl	#0xfffffff0082e4958
0xfffffff008f5442c: 4826ffd0  adrp	x8, #0xfffffff00741e000
0xfffffff008f54430: 081d3791  add	x8, x8, #0xdc7
0xfffffff008f54434: 540200b4  cbz	x20, #0xfffffff008f5447c
0xfffffff008f54438: e02300a9  stp	x0, x8, [sp]
0xfffffff008f5443c: 4226ffd0  adrp	x2, #0xfffffff00741e000
0xfffffff008f54440: 42a43891  add	x2, x2, #0xe29
0xfffffff008f54444: e00314aa  mov	x0, x20
0xfffffff008f54448: 21008052  mov	w1, #1
0xfffffff008f5444c: 7ec04094  bl	#0xfffffff009f84644
0xfffffff008f54450: 0f000014  b	#0xfffffff008f5448c
0xfffffff008f54454: e02300a9  stp	x0, x8, [sp]
0xfffffff008f54458: 4026ffd0  adrp	x0, #0xfffffff00741e000
0xfffffff008f5445c: 00083891  add	x0, x0, #0xe02
0xfffffff008f54460: 0a000014  b	#0xfffffff008f54488
0xfffffff008f54464: e02300a9  stp	x0, x8, [sp]
0xfffffff008f54468: 4026ffd0  adrp	x0, #0xfffffff00741e000
0xfffffff008f5446c: 00843791  add	x0, x0, #0xde1
0xfffffff008f54470: ec0ad097  bl	#0xfffffff008357020
0xfffffff008f54474: e8008052  mov	w8, #7
0xfffffff008f54478: 06000014  b	#0xfffffff008f54490
0xfffffff008f5447c: e02300a9  stp	x0, x8, [sp]
0xfffffff008f54480: 4026ffd0  adrp	x0, #0xfffffff00741e000
0xfffffff008f54484: 00a43891  add	x0, x0, #0xe29
0xfffffff008f54488: e60ad097  bl	#0xfffffff008357020
0xfffffff008f5448c: 08018052  mov	w8, #8
0xfffffff008f54490: 683201b9  str	w8, [x19, #0x130]
0xfffffff008f54494: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff008f54498: 000300b4  cbz	x0, #0xfffffff008f544f8
0xfffffff008f5449c: 100040f9  ldr	x16, [x0]
0xfffffff008f544a0: f10300aa  mov	x17, x0
0xfffffff008f544a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f544a8: 301ac1da  autda	x16, x17
0xfffffff008f544ac: 112480d2  mov	x17, #0x120
0xfffffff008f544b0: 1002118b  add	x16, x16, x17
0xfffffff008f544b4: 080240f9  ldr	x8, [x16]
0xfffffff008f544b8: e90310aa  mov	x9, x16
0xfffffff008f544bc: f10309aa  mov	x17, x9
0xfffffff008f544c0: 3103e3f2  movk	x17, #0x1819, lsl #48
0xfffffff008f544c4: 11093fd7  blraa	x8, x17
0xfffffff008f544c8: 80010034  cbz	w0, #0xfffffff008f544f8
0xfffffff008f544cc: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff008f544d0: 100040f9  ldr	x16, [x0]
0xfffffff008f544d4: f10300aa  mov	x17, x0
0xfffffff008f544d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f544dc: 301ac1da  autda	x16, x17
0xfffffff008f544e0: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff008f544e4: e90310aa  mov	x9, x16
