; Candidate 13867
; ADRP+ADD at VM 0xfffffff0095d1374 (fileoff 0x25cd374): page=0x1fe62d000 add_imm=0xd50

0xfffffff0095d12f4: f10300aa  mov	x17, x0
0xfffffff0095d12f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095d12fc: 301ac1da  autda	x16, x17
0xfffffff0095d1300: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff0095d1304: e90310aa  mov	x9, x16
0xfffffff0095d1308: f10309aa  mov	x17, x9
0xfffffff0095d130c: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff0095d1310: 11093fd7  blraa	x8, x17
0xfffffff0095d1314: 900240f9  ldr	x16, [x20]
0xfffffff0095d1318: f10314aa  mov	x17, x20
0xfffffff0095d131c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095d1320: 301ac1da  autda	x16, x17
0xfffffff0095d1324: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff0095d1328: e90310aa  mov	x9, x16
0xfffffff0095d132c: e00314aa  mov	x0, x20
0xfffffff0095d1330: f10309aa  mov	x17, x9
0xfffffff0095d1334: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff0095d1338: 11093fd7  blraa	x8, x17
0xfffffff0095d133c: e00a0034  cbz	w0, #0xfffffff0095d1498
0xfffffff0095d1340: 900240f9  ldr	x16, [x20]
0xfffffff0095d1344: f10314aa  mov	x17, x20
0xfffffff0095d1348: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095d134c: 301ac1da  autda	x16, x17
0xfffffff0095d1350: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff0095d1354: e90310aa  mov	x9, x16
0xfffffff0095d1358: e00314aa  mov	x0, x20
0xfffffff0095d135c: f10309aa  mov	x17, x9
0xfffffff0095d1360: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff0095d1364: 11093fd7  blraa	x8, x17
0xfffffff0095d1368: 600a01b9  str	w0, [x19, #0x108]
0xfffffff0095d136c: 08288052  mov	w8, #0x140
0xfffffff0095d1370: 017ca89b  umull	x1, w0, w8
0xfffffff0095d1374: 6031ffb0  adrp	x0, #0xfffffff007bfe000
0xfffffff0095d1378: 00403591  add	x0, x0, #0xd50
0xfffffff0095d137c: 9516b697  bl	#0xfffffff008356dd0
0xfffffff0095d1380: 608200f9  str	x0, [x19, #0x100]
0xfffffff0095d1384: 60f5ffb4  cbz	x0, #0xfffffff0095d1230
0xfffffff0095d1388: 680a41b9  ldr	w8, [x19, #0x108]
0xfffffff0095d138c: 68080034  cbz	w8, #0xfffffff0095d1498
0xfffffff0095d1390: 190080d2  mov	x25, #0
0xfffffff0095d1394: 150080d2  mov	x21, #0
0xfffffff0095d1398: e830ffb0  adrp	x8, #0xfffffff007bee000
0xfffffff0095d139c: 08f944f9  ldr	x8, [x8, #0x9f0]
0xfffffff0095d13a0: 160140f9  ldr	x22, [x8]
0xfffffff0095d13a4: e830ffb0  adrp	x8, #0xfffffff007bee000
0xfffffff0095d13a8: 081d45f9  ldr	x8, [x8, #0xa38]
0xfffffff0095d13ac: 170140f9  ldr	x23, [x8]
0xfffffff0095d13b0: b8fcfe90  adrp	x24, #0xfffffff007565000
0xfffffff0095d13b4: 18770e91  add	x24, x24, #0x39d
0xfffffff0095d13b8: 3a008052  mov	w26, #1
0xfffffff0095d13bc: 900240f9  ldr	x16, [x20]
0xfffffff0095d13c0: f10314aa  mov	x17, x20
0xfffffff0095d13c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095d13c8: 301ac1da  autda	x16, x17
0xfffffff0095d13cc: 112380d2  mov	x17, #0x118
0xfffffff0095d13d0: 1002118b  add	x16, x16, x17
0xfffffff0095d13d4: 080240f9  ldr	x8, [x16]
0xfffffff0095d13d8: e90310aa  mov	x9, x16
0xfffffff0095d13dc: e00314aa  mov	x0, x20
0xfffffff0095d13e0: e10315aa  mov	x1, x21
0xfffffff0095d13e4: f10309aa  mov	x17, x9
0xfffffff0095d13e8: 718af0f2  movk	x17, #0x8453, lsl #48
0xfffffff0095d13ec: 11093fd7  blraa	x8, x17
0xfffffff0095d13f0: e10316aa  mov	x1, x22
