; Candidate 12703
; ADRP+ADD at VM 0xfffffff0091226a8 (fileoff 0x211e6a8): page=0x11f2000 add_imm=0xe60

0xfffffff009122628: 21782591  add	x1, x1, #0x95e
0xfffffff00912262c: 8251ffb0  adrp	x2, #0xfffffff007b53000
0xfffffff009122630: 42c844f9  ldr	x2, [x2, #0x990]
0xfffffff009122634: 030a8052  mov	w3, #0x50
0xfffffff009122638: 4005c797  bl	#0xfffffff0082e3b38
0xfffffff00912263c: b051fff0  adrp	x16, #0xfffffff007b59000
0xfffffff009122640: 10620691  add	x16, x16, #0x198
0xfffffff009122644: 10420091  add	x16, x16, #0x10
0xfffffff009122648: f10300aa  mov	x17, x0
0xfffffff00912264c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009122650: 300ac1da  pacda	x16, x17
0xfffffff009122654: 100000f9  str	x16, [x0]
0xfffffff009122658: 808f00d0  adrp	x0, #0xfffffff00a314000
0xfffffff00912265c: 00803991  add	x0, x0, #0xe60
0xfffffff009122660: a11afff0  adrp	x1, #0xfffffff007479000
0xfffffff009122664: 21382691  add	x1, x1, #0x98e
0xfffffff009122668: 8251ffb0  adrp	x2, #0xfffffff007b53000
0xfffffff00912266c: 42a044f9  ldr	x2, [x2, #0x940]
0xfffffff009122670: 03098052  mov	w3, #0x48
0xfffffff009122674: 3105c797  bl	#0xfffffff0082e3b38
0xfffffff009122678: b051fff0  adrp	x16, #0xfffffff007b59000
0xfffffff00912267c: 10420c91  add	x16, x16, #0x310
0xfffffff009122680: 10420091  add	x16, x16, #0x10
0xfffffff009122684: f10300aa  mov	x17, x0
0xfffffff009122688: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00912268c: 300ac1da  pacda	x16, x17
0xfffffff009122690: 100000f9  str	x16, [x0]
0xfffffff009122694: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009122698: ff0f5fd6  retab	
0xfffffff00912269c: 7f2303d5  pacibsp	
0xfffffff0091226a0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091226a4: fd030091  mov	x29, sp
0xfffffff0091226a8: 808f00d0  adrp	x0, #0xfffffff00a314000
0xfffffff0091226ac: 00803991  add	x0, x0, #0xe60
0xfffffff0091226b0: 1108c797  bl	#0xfffffff0082e46f4
0xfffffff0091226b4: 808f00d0  adrp	x0, #0xfffffff00a314000
0xfffffff0091226b8: 00e03891  add	x0, x0, #0xe38
0xfffffff0091226bc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091226c0: ff2303d5  autibsp	
0xfffffff0091226c4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0091226c8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0091226d0
0xfffffff0091226cc: 208e38d4  brk	#0xc471
0xfffffff0091226d0: 0908c717  b	#0xfffffff0082e46f4
0xfffffff0091226d4: 7f2303d5  pacibsp	
0xfffffff0091226d8: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff0091226dc: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0091226e0: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0091226e4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0091226e8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0091226ec: fd030191  add	x29, sp, #0x40
0xfffffff0091226f0: ffc307d1  sub	sp, sp, #0x1f0
0xfffffff0091226f4: 8851ffb0  adrp	x8, #0xfffffff007b53000
0xfffffff0091226f8: 08f944f9  ldr	x8, [x8, #0x9f0]
0xfffffff0091226fc: 080140f9  ldr	x8, [x8]
0xfffffff009122700: a8831bf8  stur	x8, [x29, #-0x48]
0xfffffff009122704: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff009122708: e8f300f9  str	x8, [sp, #0x1e0]
0xfffffff00912270c: 40e5054f  movi	v0.16b, #0xaa
0xfffffff009122710: e0030ead  stp	q0, q0, [sp, #0x1c0]
0xfffffff009122714: e0030dad  stp	q0, q0, [sp, #0x1a0]
0xfffffff009122718: e0030cad  stp	q0, q0, [sp, #0x180]
0xfffffff00912271c: e0030bad  stp	q0, q0, [sp, #0x160]
0xfffffff009122720: e0030aad  stp	q0, q0, [sp, #0x140]
0xfffffff009122724: e00309ad  stp	q0, q0, [sp, #0x120]
