; Candidate 12356
; ADRP+ADD at VM 0xfffffff00908d898 (fileoff 0x2089898): page=0x1fe3cc000 add_imm=0xe24

0xfffffff00908d818: 090080d2  mov	x9, #0
0xfffffff00908d81c: 0a0080d2  mov	x10, #0
0xfffffff00908d820: 0b0080d2  mov	x11, #0
0xfffffff00908d824: 0c008052  mov	w12, #0
0xfffffff00908d828: 0a000014  b	#0xfffffff00908d850
0xfffffff00908d82c: 801effb0  adrp	x0, #0xfffffff00745e000
0xfffffff00908d830: 00cc0491  add	x0, x0, #0x133
0xfffffff00908d834: e1031aaa  mov	x1, x26
0xfffffff00908d838: 31ffff97  bl	#0xfffffff00908d4fc
0xfffffff00908d83c: 4bbb0091  add	x11, x26, #0x2e
0xfffffff00908d840: 4a174079  ldrh	w10, [x26, #0xa]
0xfffffff00908d844: 483b0191  add	x8, x26, #0x4e
0xfffffff00908d848: 491b4079  ldrh	w9, [x26, #0xc]
0xfffffff00908d84c: 2c008052  mov	w12, #1
0xfffffff00908d850: fa031caa  mov	x26, x28
0xfffffff00908d854: 550000b4  cbz	x21, #0xfffffff00908d85c
0xfffffff00908d858: ac020039  strb	w12, [x21]
0xfffffff00908d85c: fc031baa  mov	x28, x27
0xfffffff00908d860: 540000b4  cbz	x20, #0xfffffff00908d868
0xfffffff00908d864: 8b2a00a9  stp	x11, x10, [x20]
0xfffffff00908d868: 1b9400d0  adrp	x27, #0xfffffff00a30f000
0xfffffff00908d86c: 7b430c91  add	x27, x27, #0x310
0xfffffff00908d870: 14008052  mov	w20, #0
0xfffffff00908d874: 530000b4  cbz	x19, #0xfffffff00908d87c
0xfffffff00908d878: 682600a9  stp	x8, x9, [x19]
0xfffffff00908d87c: 48018052  mov	w8, #0xa
0xfffffff00908d880: 69034039  ldrb	w9, [x27]
0xfffffff00908d884: 1f01096b  cmp	w8, w9
0xfffffff00908d888: e3000054  b.lo	#0xfffffff00908d8a4
0xfffffff00908d88c: 887e4093  sxtw	x8, w20
0xfffffff00908d890: fc6b00a9  stp	x28, x26, [sp]
0xfffffff00908d894: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908d898: 601eff90  adrp	x0, #0xfffffff007459000
0xfffffff00908d89c: 00903891  add	x0, x0, #0xe24
0xfffffff00908d8a0: e025cb97  bl	#0xfffffff008357020
0xfffffff00908d8a4: e00314aa  mov	x0, x20
0xfffffff00908d8a8: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00908d8ac: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00908d8b0: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00908d8b4: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00908d8b8: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff00908d8bc: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff00908d8c0: ff430291  add	sp, sp, #0x90
0xfffffff00908d8c4: ff0f5fd6  retab	
0xfffffff00908d8c8: e81a8052  mov	w8, #0xd7
0xfffffff00908d8cc: 891eff90  adrp	x9, #0xfffffff00745d000
0xfffffff00908d8d0: 29c53c91  add	x9, x9, #0xf31
0xfffffff00908d8d4: e81300f9  str	x8, [sp, #0x20]
0xfffffff00908d8d8: 681eff90  adrp	x8, #0xfffffff007459000
0xfffffff00908d8dc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908d8e0: 8a1eff90  adrp	x10, #0xfffffff00745d000
0xfffffff00908d8e4: 4aad3c91  add	x10, x10, #0xf2b
0xfffffff00908d8e8: 12000014  b	#0xfffffff00908d930
0xfffffff00908d8ec: 081b8052  mov	w8, #0xd8
0xfffffff00908d8f0: 891eff90  adrp	x9, #0xfffffff00745d000
0xfffffff00908d8f4: 29c53c91  add	x9, x9, #0xf31
0xfffffff00908d8f8: e81300f9  str	x8, [sp, #0x20]
0xfffffff00908d8fc: 681eff90  adrp	x8, #0xfffffff007459000
0xfffffff00908d900: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908d904: 8a1eff90  adrp	x10, #0xfffffff00745d000
0xfffffff00908d908: 4ad13e91  add	x10, x10, #0xfb4
0xfffffff00908d90c: 09000014  b	#0xfffffff00908d930
0xfffffff00908d910: 281b8052  mov	w8, #0xd9
0xfffffff00908d914: 891eff90  adrp	x9, #0xfffffff00745d000
