; Candidate 7810
; ADRP+ADD at VM 0xfffffff008880c9c (fileoff 0x187cc9c): page=0x1fe969000 add_imm=0xe80

0xfffffff008880c1c: edeaff97  bl	#0xfffffff00887b7d0
0xfffffff008880c20: e0040034  cbz	w0, #0xfffffff008880cbc
0xfffffff008880c24: 60098052  mov	w0, #0x4b
0xfffffff008880c28: fceaff97  bl	#0xfffffff00887b818
0xfffffff008880c2c: f30300aa  mov	x19, x0
0xfffffff008880c30: 5fcd0094  bl	#0xfffffff0088b41ac
0xfffffff008880c34: f50300aa  mov	x21, x0
0xfffffff008880c38: 00018052  mov	w0, #8
0xfffffff008880c3c: 05ebff97  bl	#0xfffffff00887b850
0xfffffff008880c40: 93010034  cbz	w19, #0xfffffff008880c70
0xfffffff008880c44: c87a77b8  ldr	w8, [x22, x23, lsl #2]
0xfffffff008880c48: f7a302a9  stp	x23, x8, [sp, #0x28]
0xfffffff008880c4c: 485e8052  mov	w8, #0x2f2
0xfffffff008880c50: fba301a9  stp	x27, x8, [sp, #0x18]
0xfffffff008880c54: 68098052  mov	w8, #0x4b
0xfffffff008880c58: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008880c5c: f50300f9  str	x21, [sp]
0xfffffff008880c60: 604dff90  adrp	x0, #0xfffffff00722c000
0xfffffff008880c64: 00982d91  add	x0, x0, #0xb66
0xfffffff008880c68: fed9d497  bl	#0xfffffff007db7460
0xfffffff008880c6c: 14000014  b	#0xfffffff008880cbc
0xfffffff008880c70: 4fcd0094  bl	#0xfffffff0088b41ac
0xfffffff008880c74: f30300aa  mov	x19, x0
0xfffffff008880c78: 00018052  mov	w0, #8
0xfffffff008880c7c: f5eaff97  bl	#0xfffffff00887b850
0xfffffff008880c80: c87a77b8  ldr	w8, [x22, x23, lsl #2]
0xfffffff008880c84: f7a302a9  stp	x23, x8, [sp, #0x28]
0xfffffff008880c88: 485e8052  mov	w8, #0x2f2
0xfffffff008880c8c: fba301a9  stp	x27, x8, [sp, #0x18]
0xfffffff008880c90: 68098052  mov	w8, #0x4b
0xfffffff008880c94: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008880c98: f30300f9  str	x19, [sp]
0xfffffff008880c9c: 404bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008880ca0: 00003a91  add	x0, x0, #0xe80
0xfffffff008880ca4: 418cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008880ca8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008880cac: 02008052  mov	w2, #0
0xfffffff008880cb0: c34efff0  adrp	x3, #0xfffffff00725b000
0xfffffff008880cb4: 63b42691  add	x3, x3, #0x9ad
0xfffffff008880cb8: 1ec9ea97  bl	#0xfffffff008333130
0xfffffff008880cbc: f7060091  add	x23, x23, #1
0xfffffff008880cc0: 5f0317eb  cmp	x26, x23
0xfffffff008880cc4: 81faff54  b.ne	#0xfffffff008880c14
0xfffffff008880cc8: 94060091  add	x20, x20, #1
0xfffffff008880ccc: f7a345a9  ldp	x23, x8, [sp, #0x58]
0xfffffff008880cd0: 9f0208eb  cmp	x20, x8
0xfffffff008880cd4: 61f1ff54  b.ne	#0xfffffff008880b00
0xfffffff008880cd8: 02000014  b	#0xfffffff008880ce0
0xfffffff008880cdc: 18008052  mov	w24, #0
0xfffffff008880ce0: 16008052  mov	w22, #0
0xfffffff008880ce4: e85344a9  ldp	x8, x20, [sp, #0x40]
0xfffffff008880ce8: 180100b9  str	w24, [x8]
0xfffffff008880cec: 17edffb5  cbnz	x23, #0xfffffff008880a8c
0xfffffff008880cf0: 6cffff17  b	#0xfffffff008880aa0
0xfffffff008880cf4: 7f2303d5  pacibsp	
0xfffffff008880cf8: ff4301d1  sub	sp, sp, #0x50
0xfffffff008880cfc: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008880d00: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008880d04: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008880d08: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008880d0c: fd030191  add	x29, sp, #0x40
0xfffffff008880d10: f40304aa  mov	x20, x4
0xfffffff008880d14: f60303aa  mov	x22, x3
0xfffffff008880d18: f70302aa  mov	x23, x2
