; Candidate 7704
; ADRP+ADD at VM 0xfffffff00887a10c (fileoff 0x187610c): page=0x1fe9b1000 add_imm=0xdc8

0xfffffff00887a08c: 880208cb  sub	x8, x20, x8
0xfffffff00887a090: 1501168b  add	x21, x8, x22
0xfffffff00887a094: df0215eb  cmp	x22, x21
0xfffffff00887a098: a29259fa  ccmp	x21, x25, #2, ls
0xfffffff00887a09c: e3070054  b.lo	#0xfffffff00887a198
0xfffffff00887a0a0: a00b8052  mov	w0, #0x5d
0xfffffff00887a0a4: 81008052  mov	w1, #4
0xfffffff00887a0a8: ca050094  bl	#0xfffffff00887b7d0
0xfffffff00887a0ac: 80030034  cbz	w0, #0xfffffff00887a11c
0xfffffff00887a0b0: a00b8052  mov	w0, #0x5d
0xfffffff00887a0b4: d9050094  bl	#0xfffffff00887b818
0xfffffff00887a0b8: f80300aa  mov	x24, x0
0xfffffff00887a0bc: 3ce80094  bl	#0xfffffff0088b41ac
0xfffffff00887a0c0: f70300aa  mov	x23, x0
0xfffffff00887a0c4: 80008052  mov	w0, #4
0xfffffff00887a0c8: e2050094  bl	#0xfffffff00887b850
0xfffffff00887a0cc: d8020034  cbz	w24, #0xfffffff00887a124
0xfffffff00887a0d0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00887a0d4: f6e705a9  stp	x22, x25, [sp, #0x58]
0xfffffff00887a0d8: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00887a0dc: 894dffb0  adrp	x9, #0xfffffff00722b000
0xfffffff00887a0e0: 2ac13891  add	x10, x9, #0xe30
0xfffffff00887a0e4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00887a0e8: 085d8052  mov	w8, #0x2e8
0xfffffff00887a0ec: 894dffb0  adrp	x9, #0xfffffff00722b000
0xfffffff00887a0f0: 29893891  add	x9, x9, #0xe22
0xfffffff00887a0f4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00887a0f8: 884dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff00887a0fc: 08053c91  add	x8, x8, #0xf01
0xfffffff00887a100: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887a104: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887a108: a80b8052  mov	w8, #0x5d
0xfffffff00887a10c: 804dffb0  adrp	x0, #0xfffffff00722b000
0xfffffff00887a110: 00203791  add	x0, x0, #0xdc8
0xfffffff00887a114: f72300a9  stp	x23, x8, [sp]
0xfffffff00887a118: d2f4d497  bl	#0xfffffff007db7460
0xfffffff00887a11c: 150080d2  mov	x21, #0
0xfffffff00887a120: 1e000014  b	#0xfffffff00887a198
0xfffffff00887a124: 22e80094  bl	#0xfffffff0088b41ac
0xfffffff00887a128: f70300aa  mov	x23, x0
0xfffffff00887a12c: 80008052  mov	w0, #4
0xfffffff00887a130: c8050094  bl	#0xfffffff00887b850
0xfffffff00887a134: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00887a138: f6e705a9  stp	x22, x25, [sp, #0x58]
0xfffffff00887a13c: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00887a140: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00887a144: 884dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff00887a148: 0ac13891  add	x10, x8, #0xe30
0xfffffff00887a14c: 085d8052  mov	w8, #0x2e8
0xfffffff00887a150: 894dffb0  adrp	x9, #0xfffffff00722b000
0xfffffff00887a154: 29893891  add	x9, x9, #0xe22
0xfffffff00887a158: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00887a15c: 884dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff00887a160: 08053c91  add	x8, x8, #0xf01
0xfffffff00887a164: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887a168: a80b8052  mov	w8, #0x5d
0xfffffff00887a16c: 034fff90  adrp	x3, #0xfffffff00725a000
0xfffffff00887a170: 63642b91  add	x3, x3, #0xad9
0xfffffff00887a174: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887a178: f70300f9  str	x23, [sp]
0xfffffff00887a17c: 604bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887a180: 00003a91  add	x0, x0, #0xe80
0xfffffff00887a184: 618cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887a188: 212c42f9  ldr	x1, [x1, #0x458]
