; Candidate 13585
; ADRP+ADD at VM 0xfffffff0093ac4f8 (fileoff 0x23a84f8): page=0x1fe156000 add_imm=0xd20

0xfffffff0093ac478: b5622b91  add	x21, x21, #0xad8
0xfffffff0093ac47c: e00315aa  mov	x0, x21
0xfffffff0093ac480: 36e1bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac484: 900240f9  ldr	x16, [x20]
0xfffffff0093ac488: f10314aa  mov	x17, x20
0xfffffff0093ac48c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ac490: 301ac1da  autda	x16, x17
0xfffffff0093ac494: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ac498: e90310aa  mov	x9, x16
0xfffffff0093ac49c: e00314aa  mov	x0, x20
0xfffffff0093ac4a0: f10309aa  mov	x17, x9
0xfffffff0093ac4a4: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ac4a8: 11093fd7  blraa	x8, x17
0xfffffff0093ac4ac: 2be1bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac4b0: e00315aa  mov	x0, x21
0xfffffff0093ac4b4: 29e1bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac4b8: f50300aa  mov	x21, x0
0xfffffff0093ac4bc: 900240f9  ldr	x16, [x20]
0xfffffff0093ac4c0: f10314aa  mov	x17, x20
0xfffffff0093ac4c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ac4c8: 301ac1da  autda	x16, x17
0xfffffff0093ac4cc: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ac4d0: e90310aa  mov	x9, x16
0xfffffff0093ac4d4: e00314aa  mov	x0, x20
0xfffffff0093ac4d8: f10309aa  mov	x17, x9
0xfffffff0093ac4dc: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ac4e0: 11093fd7  blraa	x8, x17
0xfffffff0093ac4e4: 1de1bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac4e8: b60afff0  adrp	x22, #0xfffffff007503000
0xfffffff0093ac4ec: d6462991  add	x22, x22, #0xa51
0xfffffff0093ac4f0: f68300a9  stp	x22, x0, [sp, #8]
0xfffffff0093ac4f4: f50300f9  str	x21, [sp]
0xfffffff0093ac4f8: a00affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093ac4fc: 00803491  add	x0, x0, #0xd20
0xfffffff0093ac500: e140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ac504: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ac508: c30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093ac50c: 63382291  add	x3, x3, #0x88e
0xfffffff0093ac510: 22008052  mov	w2, #1
0xfffffff0093ac514: 071bbe97  bl	#0xfffffff008333130
0xfffffff0093ac518: bfe31d78  sturh	wzr, [x29, #-0x22]
0xfffffff0093ac51c: 800e47f9  ldr	x0, [x20, #0xe18]
0xfffffff0093ac520: 100040f9  ldr	x16, [x0]
0xfffffff0093ac524: f10300aa  mov	x17, x0
0xfffffff0093ac528: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ac52c: 301ac1da  autda	x16, x17
0xfffffff0093ac530: f10310aa  mov	x17, x16
0xfffffff0093ac534: f147c1da  xpacd	x17
0xfffffff0093ac538: 1f0211eb  cmp	x16, x17
0xfffffff0093ac53c: 40000054  b.eq	#0xfffffff0093ac544
0xfffffff0093ac540: 408e38d4  brk	#0xc472
0xfffffff0093ac544: 08020b91  add	x8, x16, #0x2c0
0xfffffff0093ac548: 096241f9  ldr	x9, [x16, #0x2c0]
0xfffffff0093ac54c: e10314aa  mov	x1, x20
0xfffffff0093ac550: 02008052  mov	w2, #0
0xfffffff0093ac554: 030080d2  mov	x3, #0
0xfffffff0093ac558: f10308aa  mov	x17, x8
0xfffffff0093ac55c: 31a5e8f2  movk	x17, #0x4529, lsl #48
0xfffffff0093ac560: 31093fd7  blraa	x9, x17
0xfffffff0093ac564: 400b0036  tbz	w0, #0, #0xfffffff0093ac6cc
0xfffffff0093ac568: 800e47f9  ldr	x0, [x20, #0xe18]
0xfffffff0093ac56c: 100040f9  ldr	x16, [x0]
0xfffffff0093ac570: f10300aa  mov	x17, x0
0xfffffff0093ac574: 31b4f9f2  movk	x17, #0xcda1, lsl #48
