; Candidate 14227
; ADRP+ADD at VM 0xfffffff0097522d8 (fileoff 0x274e2d8): page=0xc39000 add_imm=0xdd0

0xfffffff009752258: 2126ff90  adrp	x1, #0xfffffff007c16000
0xfffffff00975225c: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009752260: a3f2fe90  adrp	x3, #0xfffffff0075a6000
0xfffffff009752264: 63f82991  add	x3, x3, #0xa7e
0xfffffff009752268: 02008052  mov	w2, #0
0xfffffff00975226c: b183af97  bl	#0xfffffff008333130
0xfffffff009752270: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009752274: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009752278: ff0f5fd6  retab	
0xfffffff00975227c: 5f2403d5  bti	c
0xfffffff009752280: 1d49ae17  b	#0xfffffff0082e46f4
0xfffffff009752284: 7f2303d5  pacibsp	
0xfffffff009752288: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00975228c: fd030091  mov	x29, sp
0xfffffff009752290: c06100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff009752294: 00403791  add	x0, x0, #0xdd0
0xfffffff009752298: 21f2fed0  adrp	x1, #0xfffffff007598000
0xfffffff00975229c: 218c0191  add	x1, x1, #0x63
0xfffffff0097522a0: 2226ff90  adrp	x2, #0xfffffff007c16000
0xfffffff0097522a4: 427842f9  ldr	x2, [x2, #0x4f0]
0xfffffff0097522a8: 03078052  mov	w3, #0x38
0xfffffff0097522ac: 2346ae97  bl	#0xfffffff0082e3b38
0xfffffff0097522b0: 1027fff0  adrp	x16, #0xfffffff007c35000
0xfffffff0097522b4: 10222e91  add	x16, x16, #0xb88
0xfffffff0097522b8: 10420091  add	x16, x16, #0x10
0xfffffff0097522bc: f10300aa  mov	x17, x0
0xfffffff0097522c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097522c4: 300ac1da  pacda	x16, x17
0xfffffff0097522c8: 100000f9  str	x16, [x0]
0xfffffff0097522cc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0097522d0: ff0f5fd6  retab	
0xfffffff0097522d4: 5f2403d5  bti	c
0xfffffff0097522d8: c06100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097522dc: 00403791  add	x0, x0, #0xdd0
0xfffffff0097522e0: 0549ae17  b	#0xfffffff0082e46f4
0xfffffff0097522e4: 7f2303d5  pacibsp	
0xfffffff0097522e8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0097522ec: fd030091  mov	x29, sp
0xfffffff0097522f0: 01f2fed0  adrp	x1, #0xfffffff007594000
0xfffffff0097522f4: 21b80191  add	x1, x1, #0x6e
0xfffffff0097522f8: 2226ff90  adrp	x2, #0xfffffff007c16000
0xfffffff0097522fc: 423842f9  ldr	x2, [x2, #0x470]
0xfffffff009752300: 03268052  mov	w3, #0x130
0xfffffff009752304: 0d46ae97  bl	#0xfffffff0082e3b38
0xfffffff009752308: 3027ff90  adrp	x16, #0xfffffff007c36000
0xfffffff00975230c: 10220891  add	x16, x16, #0x208
0xfffffff009752310: 10420091  add	x16, x16, #0x10
0xfffffff009752314: f10300aa  mov	x17, x0
0xfffffff009752318: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975231c: 300ac1da  pacda	x16, x17
0xfffffff009752320: 100000f9  str	x16, [x0]
0xfffffff009752324: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009752328: ff0f5fd6  retab	
0xfffffff00975232c: 5f2403d5  bti	c
0xfffffff009752330: f148ae17  b	#0xfffffff0082e46f4
0xfffffff009752334: 7f2303d5  pacibsp	
0xfffffff009752338: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00975233c: fd030091  mov	x29, sp
0xfffffff009752340: f9b7b297  bl	#0xfffffff008400324
0xfffffff009752344: 1027fff0  adrp	x16, #0xfffffff007c35000
0xfffffff009752348: 10823091  add	x16, x16, #0xc20
0xfffffff00975234c: 10420091  add	x16, x16, #0x10
0xfffffff009752350: f10300aa  mov	x17, x0
0xfffffff009752354: 31b4f9f2  movk	x17, #0xcda1, lsl #48
