; Candidate 6129
; ADRP+ADD at VM 0xfffffff008816400 (fileoff 0x1812400): page=0x1fe9d3000 add_imm=0xe80

0xfffffff008816380: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008816384: 4850ff90  adrp	x8, #0xfffffff00721e000
0xfffffff008816388: 089d2491  add	x8, x8, #0x927
0xfffffff00881638c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008816390: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008816394: 880e8052  mov	w8, #0x74
0xfffffff008816398: 4050ff90  adrp	x0, #0xfffffff00721e000
0xfffffff00881639c: 00e82791  add	x0, x0, #0x9fa
0xfffffff0088163a0: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088163a4: 2f84d697  bl	#0xfffffff007db7460
0xfffffff0088163a8: de000014  b	#0xfffffff008816720
0xfffffff0088163ac: 80770294  bl	#0xfffffff0088b41ac
0xfffffff0088163b0: f60300aa  mov	x22, x0
0xfffffff0088163b4: c0008052  mov	w0, #6
0xfffffff0088163b8: 26950194  bl	#0xfffffff00887b850
0xfffffff0088163bc: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff0088163c0: e83b00f9  str	x8, [sp, #0x70]
0xfffffff0088163c4: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0088163c8: e83700f9  str	x8, [sp, #0x68]
0xfffffff0088163cc: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088163d0: fca305a9  stp	x28, x8, [sp, #0x58]
0xfffffff0088163d4: f8e704a9  stp	x24, x25, [sp, #0x48]
0xfffffff0088163d8: fbdf03a9  stp	x27, x23, [sp, #0x38]
0xfffffff0088163dc: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0088163e0: 4850ff90  adrp	x8, #0xfffffff00721e000
0xfffffff0088163e4: 089d2491  add	x8, x8, #0x927
0xfffffff0088163e8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088163ec: 880e8052  mov	w8, #0x74
0xfffffff0088163f0: 8351ffd0  adrp	x3, #0xfffffff007248000
0xfffffff0088163f4: 63b41d91  add	x3, x3, #0x76d
0xfffffff0088163f8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088163fc: f60300f9  str	x22, [sp]
0xfffffff008816400: 804efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008816404: 00003a91  add	x0, x0, #0xe80
0xfffffff008816408: 818fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881640c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008816410: 02008052  mov	w2, #0
0xfffffff008816414: 4773ec97  bl	#0xfffffff008333130
0xfffffff008816418: 93efffb5  cbnz	x19, #0xfffffff008816208
0xfffffff00881641c: 800e8052  mov	w0, #0x74
0xfffffff008816420: 81008052  mov	w1, #4
0xfffffff008816424: eb940194  bl	#0xfffffff00887b7d0
0xfffffff008816428: c0140034  cbz	w0, #0xfffffff0088166c0
0xfffffff00881642c: 800e8052  mov	w0, #0x74
0xfffffff008816430: fa940194  bl	#0xfffffff00887b818
0xfffffff008816434: fa0300aa  mov	x26, x0
0xfffffff008816438: 5d770294  bl	#0xfffffff0088b41ac
0xfffffff00881643c: f60300aa  mov	x22, x0
0xfffffff008816440: 80008052  mov	w0, #4
0xfffffff008816444: 03950194  bl	#0xfffffff00887b850
0xfffffff008816448: fa050034  cbz	w26, #0xfffffff008816504
0xfffffff00881644c: f56f04a9  stp	x21, x27, [sp, #0x40]
0xfffffff008816450: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff008816454: 4850ff90  adrp	x8, #0xfffffff00721e000
0xfffffff008816458: 08dd2491  add	x8, x8, #0x937
0xfffffff00881645c: a9e48052  mov	w9, #0x725
0xfffffff008816460: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008816464: 4850ff90  adrp	x8, #0xfffffff00721e000
0xfffffff008816468: 089d2491  add	x8, x8, #0x927
0xfffffff00881646c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008816470: 880e8052  mov	w8, #0x74
0xfffffff008816474: e04ffff0  adrp	x0, #0xfffffff007215000
0xfffffff008816478: 00ec1991  add	x0, x0, #0x67b
0xfffffff00881647c: 1f000014  b	#0xfffffff0088164f8
