; Candidate 6068
; ADRP+ADD at VM 0xfffffff008812998 (fileoff 0x180e998): page=0x1fe9d7000 add_imm=0xe80

0xfffffff008812918: f42300a9  stp	x20, x8, [sp]
0xfffffff00881291c: a04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008812920: 00003a91  add	x0, x0, #0xe80
0xfffffff008812924: a18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008812928: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881292c: a351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff008812930: 63282f91  add	x3, x3, #0xbca
0xfffffff008812934: 02008052  mov	w2, #0
0xfffffff008812938: fe81ec97  bl	#0xfffffff008333130
0xfffffff00881293c: 147d8012  mov	w20, #-0x3e9
0xfffffff008812940: e00314aa  mov	x0, x20
0xfffffff008812944: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008812948: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00881294c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008812950: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008812954: ff430291  add	sp, sp, #0x90
0xfffffff008812958: ff0f5fd6  retab	
0xfffffff00881295c: 14860294  bl	#0xfffffff0088b41ac
0xfffffff008812960: f50300aa  mov	x21, x0
0xfffffff008812964: 80008052  mov	w0, #4
0xfffffff008812968: baa30194  bl	#0xfffffff00887b850
0xfffffff00881296c: e89644b9  ldr	w8, [x23, #0x494]
0xfffffff008812970: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008812974: e84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff008812978: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881297c: 296d8052  mov	w9, #0x369
0xfffffff008812980: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008812984: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812988: 08dd1b91  add	x8, x8, #0x6f7
0xfffffff00881298c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008812990: 880e8052  mov	w8, #0x74
0xfffffff008812994: f52300a9  stp	x21, x8, [sp]
0xfffffff008812998: a04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881299c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088129a0: a18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088129a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088129a8: a351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff0088129ac: 63443091  add	x3, x3, #0xc11
0xfffffff0088129b0: 02008052  mov	w2, #0
0xfffffff0088129b4: df81ec97  bl	#0xfffffff008333130
0xfffffff0088129b8: e2ffff17  b	#0xfffffff008812940
0xfffffff0088129bc: e89a44b9  ldr	w8, [x23, #0x498]
0xfffffff0088129c0: 48060034  cbz	w8, #0xfffffff008812a88
0xfffffff0088129c4: 800e8052  mov	w0, #0x74
0xfffffff0088129c8: 81008052  mov	w1, #4
0xfffffff0088129cc: 81a30194  bl	#0xfffffff00887b7d0
0xfffffff0088129d0: 60fbff34  cbz	w0, #0xfffffff00881293c
0xfffffff0088129d4: 800e8052  mov	w0, #0x74
0xfffffff0088129d8: 90a30194  bl	#0xfffffff00887b818
0xfffffff0088129dc: f50300aa  mov	x21, x0
0xfffffff0088129e0: f3850294  bl	#0xfffffff0088b41ac
0xfffffff0088129e4: f40300aa  mov	x20, x0
0xfffffff0088129e8: 80008052  mov	w0, #4
0xfffffff0088129ec: 99a30194  bl	#0xfffffff00887b850
0xfffffff0088129f0: 15050034  cbz	w21, #0xfffffff008812a90
0xfffffff0088129f4: e89a44b9  ldr	w8, [x23, #0x498]
0xfffffff0088129f8: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088129fc: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812a00: 08d52391  add	x8, x8, #0x8f5
0xfffffff008812a04: 496e8052  mov	w9, #0x372
0xfffffff008812a08: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008812a0c: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812a10: 08dd1b91  add	x8, x8, #0x6f7
0xfffffff008812a14: e02301a9  stp	x0, x8, [sp, #0x10]
