; Candidate 2995
; ADRP+ADD at VM 0xfffffff008700d80 (fileoff 0x16fcd80): page=0x1fea31000 add_imm=0xd90

0xfffffff008700d00: 20010054  b.eq	#0xfffffff008700d24
0xfffffff008700d04: 6852fff0  adrp	x8, #0xfffffff00714f000
0xfffffff008700d08: 08bd1991  add	x8, x8, #0x66f
0xfffffff008700d0c: e86300a9  stp	x8, x24, [sp]
0xfffffff008700d10: e00314aa  mov	x0, x20
0xfffffff008700d14: e10315aa  mov	x1, x21
0xfffffff008700d18: 02008052  mov	w2, #0
0xfffffff008700d1c: e30316aa  mov	x3, x22
0xfffffff008700d20: 04c9f097  bl	#0xfffffff008333130
0xfffffff008700d24: 09008052  mov	w9, #0
0xfffffff008700d28: 28008052  mov	w8, #1
0xfffffff008700d2c: 3afd0737  tbnz	w26, #0, #0xfffffff008700cd0
0xfffffff008700d30: 08118052  mov	w8, #0x88
0xfffffff008700d34: e92340f9  ldr	x9, [sp, #0x40]
0xfffffff008700d38: 284d089b  madd	x8, x9, x8, x19
0xfffffff008700d3c: 087149f9  ldr	x8, [x8, #0x12e0]
0xfffffff008700d40: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff008700d44: 28d901b9  str	w8, [x9, #0x1d8]
0xfffffff008700d48: 68f274b9  ldr	w8, [x19, #0x34f0]
0xfffffff008700d4c: 28dd01b9  str	w8, [x9, #0x1dc]
0xfffffff008700d50: 68b24df9  ldr	x8, [x19, #0x1b60]
0xfffffff008700d54: 28e101b9  str	w8, [x9, #0x1e0]
0xfffffff008700d58: 687e5bb9  ldr	w8, [x19, #0x1b7c]
0xfffffff008700d5c: 28e501b9  str	w8, [x9, #0x1e4]
0xfffffff008700d60: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008700d64: 09914739  ldrb	w9, [x8, #0x1e4]
0xfffffff008700d68: 3f050072  tst	w9, #3
0xfffffff008700d6c: c0010054  b.eq	#0xfffffff008700da4
0xfffffff008700d70: 29518052  mov	w9, #0x289
0xfffffff008700d74: 6852fff0  adrp	x8, #0xfffffff00714f000
0xfffffff008700d78: 08bd1991  add	x8, x8, #0x66f
0xfffffff008700d7c: e82700a9  stp	x8, x9, [sp]
0xfffffff008700d80: 8051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008700d84: 00403691  add	x0, x0, #0xd90
0xfffffff008700d88: e197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008700d8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008700d90: a351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff008700d94: 63c41891  add	x3, x3, #0x631
0xfffffff008700d98: 02008052  mov	w2, #0
0xfffffff008700d9c: e5c8f097  bl	#0xfffffff008333130
0xfffffff008700da0: 880340f9  ldr	x8, [x28]
0xfffffff008700da4: fbeb4629  ldp	w27, w26, [sp, #0x34]
0xfffffff008700da8: e92740f9  ldr	x9, [sp, #0x48]
0xfffffff008700dac: 09bd00b9  str	w9, [x8, #0xbc]
0xfffffff008700db0: 69150034  cbz	w9, #0xfffffff00870105c
0xfffffff008700db4: 180080d2  mov	x24, #0
0xfffffff008700db8: 9451ffb0  adrp	x20, #0xfffffff007131000
0xfffffff008700dbc: 94423691  add	x20, x20, #0xd90
0xfffffff008700dc0: f597ffb0  adrp	x21, #0xfffffff0079fd000
0xfffffff008700dc4: b5de41f9  ldr	x21, [x21, #0x3b8]
0xfffffff008700dc8: a9c302d1  sub	x9, x29, #0xb0
0xfffffff008700dcc: 367978f8  ldr	x22, [x9, x24, lsl #3]
0xfffffff008700dd0: 362500b4  cbz	x22, #0xfffffff008701274
0xfffffff008700dd4: c91a40f9  ldr	x9, [x22, #0x30]
0xfffffff008700dd8: e92400b4  cbz	x9, #0xfffffff008701274
0xfffffff008700ddc: 290940f9  ldr	x9, [x9, #0x10]
0xfffffff008700de0: a92400b4  cbz	x9, #0xfffffff008701274
0xfffffff008700de4: ba020034  cbz	w26, #0xfffffff008700e38
0xfffffff008700de8: c12e40b9  ldr	w1, [x22, #0x2c]
0xfffffff008700dec: ff2f00f9  str	xzr, [sp, #0x58]
0xfffffff008700df0: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008700df4: 100040f9  ldr	x16, [x0]
0xfffffff008700df8: f10300aa  mov	x17, x0
0xfffffff008700dfc: d1ccfdf2  movk	x17, #0xee66, lsl #48
