; Candidate 3603
; ADRP+ADD at VM 0xfffffff008747b44 (fileoff 0x1743b44): page=0x1fe9ea000 add_imm=0xd90

0xfffffff008747ac4: 090240f9  ldr	x9, [x16]
0xfffffff008747ac8: ea0310aa  mov	x10, x16
0xfffffff008747acc: e00308aa  mov	x0, x8
0xfffffff008747ad0: f1030aaa  mov	x17, x10
0xfffffff008747ad4: d18ef3f2  movk	x17, #0x9c76, lsl #48
0xfffffff008747ad8: 31093fd7  blraa	x9, x17
0xfffffff008747adc: 28ae98d2  mov	x8, #0xc571
0xfffffff008747ae0: a87ab1f2  movk	x8, #0x8bd5, lsl #16
0xfffffff008747ae4: e858c3f2  movk	x8, #0x1ac7, lsl #32
0xfffffff008747ae8: 280fe8f2  movk	x8, #0x4079, lsl #48
0xfffffff008747aec: 1f0008eb  cmp	x0, x8
0xfffffff008747af0: 40010054  b.eq	#0xfffffff008747b18
0xfffffff008747af4: 086f8bd2  mov	x8, #0x5b78
0xfffffff008747af8: 28f1b4f2  movk	x8, #0xa789, lsl #16
0xfffffff008747afc: 8829d1f2  movk	x8, #0x894c, lsl #32
0xfffffff008747b00: 48eefdf2  movk	x8, #0xef72, lsl #48
0xfffffff008747b04: 1f0008eb  cmp	x0, x8
0xfffffff008747b08: 61010054  b.ne	#0xfffffff008747b34
0xfffffff008747b0c: 13008052  mov	w19, #0
0xfffffff008747b10: bf0200f9  str	xzr, [x21]
0xfffffff008747b14: 15000014  b	#0xfffffff008747b68
0xfffffff008747b18: 13008052  mov	w19, #0
0xfffffff008747b1c: 48008052  mov	w8, #2
0xfffffff008747b20: 03000014  b	#0xfffffff008747b2c
0xfffffff008747b24: 13008052  mov	w19, #0
0xfffffff008747b28: 88008052  mov	w8, #4
0xfffffff008747b2c: a80200f9  str	x8, [x21]
0xfffffff008747b30: 0e000014  b	#0xfffffff008747b68
0xfffffff008747b34: 68a20e91  add	x8, x19, #0x3a8
0xfffffff008747b38: 080140f9  ldr	x8, [x8]
0xfffffff008747b3c: f4a300a9  stp	x20, x8, [sp, #8]
0xfffffff008747b40: e00300f9  str	x0, [sp]
0xfffffff008747b44: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008747b48: 00403691  add	x0, x0, #0xd90
0xfffffff008747b4c: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008747b50: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008747b54: c34fff90  adrp	x3, #0xfffffff00713f000
0xfffffff008747b58: 63f80a91  add	x3, x3, #0x2be
0xfffffff008747b5c: 02008052  mov	w2, #0
0xfffffff008747b60: 74adef97  bl	#0xfffffff008333130
0xfffffff008747b64: 13008052  mov	w19, #0
0xfffffff008747b68: e00313aa  mov	x0, x19
0xfffffff008747b6c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008747b70: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008747b74: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008747b78: ff830191  add	sp, sp, #0x60
0xfffffff008747b7c: ff0f5fd6  retab	
0xfffffff008747b80: 7f2303d5  pacibsp	
0xfffffff008747b84: ff8301d1  sub	sp, sp, #0x60
0xfffffff008747b88: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008747b8c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008747b90: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008747b94: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008747b98: fd430191  add	x29, sp, #0x50
0xfffffff008747b9c: f50302aa  mov	x21, x2
0xfffffff008747ba0: f60301aa  mov	x22, x1
0xfffffff008747ba4: 134840f9  ldr	x19, [x0, #0x90]
0xfffffff008747ba8: 0137da97  bl	#0xfffffff007dd57ac
0xfffffff008747bac: e20300aa  mov	x2, x0
0xfffffff008747bb0: e00313aa  mov	x0, x19
0xfffffff008747bb4: e10316aa  mov	x1, x22
0xfffffff008747bb8: 06234e94  bl	#0xfffffff009ad07d0
0xfffffff008747bbc: 800500b4  cbz	x0, #0xfffffff008747c6c
0xfffffff008747bc0: f40300aa  mov	x20, x0
