; Candidate 838
; ADRP+ADD at VM 0xfffffff0080daa00 (fileoff 0x10d6a00): page=0x1fef9c000 add_imm=0xe50

0xfffffff0080da980: e87cff90  adrp	x8, #0xfffffff007076000
0xfffffff0080da984: 08d53991  add	x8, x8, #0xe75
0xfffffff0080da988: e84f00a9  stp	x8, x19, [sp]
0xfffffff0080da98c: 8079ffd0  adrp	x0, #0xfffffff00700c000
0xfffffff0080da990: 00000091  add	x0, x0, #0
0xfffffff0080da994: 037ffff0  adrp	x3, #0xfffffff0070bd000
0xfffffff0080da998: 63082b91  add	x3, x3, #0xac2
0xfffffff0080da99c: 22008052  mov	w2, #1
0xfffffff0080da9a0: e4610994  bl	#0xfffffff008333130
0xfffffff0080da9a4: 4cfcff17  b	#0xfffffff0080d9ad4
0xfffffff0080da9a8: e00313aa  mov	x0, x19
0xfffffff0080da9ac: 4e010094  bl	#0xfffffff0080daee4
0xfffffff0080da9b0: 49fcff17  b	#0xfffffff0080d9ad4
0xfffffff0080da9b4: e07cffb0  adrp	x0, #0xfffffff007077000
0xfffffff0080da9b8: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080da9bc: e17cffb0  adrp	x1, #0xfffffff007077000
0xfffffff0080da9c0: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080da9c4: e2088052  mov	w2, #0x47
0xfffffff0080da9c8: 93130f94  bl	#0xfffffff00849f814
0xfffffff0080da9cc: 200df297  bl	#0xfffffff007d5de4c
0xfffffff0080da9d0: e07cff90  adrp	x0, #0xfffffff007076000
0xfffffff0080da9d4: 00242191  add	x0, x0, #0x849
0xfffffff0080da9d8: e17cff90  adrp	x1, #0xfffffff007076000
0xfffffff0080da9dc: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080da9e0: e26a8052  mov	w2, #0x357
0xfffffff0080da9e4: 8c130f94  bl	#0xfffffff00849f814
0xfffffff0080da9e8: 9f2403d5  bti	j
0xfffffff0080da9ec: e9478052  mov	w9, #0x23f
0xfffffff0080da9f0: ea7cff90  adrp	x10, #0xfffffff007076000
0xfffffff0080da9f4: 4a052391  add	x10, x10, #0x8c1
0xfffffff0080da9f8: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0080da9fc: e80300f9  str	x8, [sp]
0xfffffff0080daa00: e07cff90  adrp	x0, #0xfffffff007076000
0xfffffff0080daa04: 00403991  add	x0, x0, #0xe50
0xfffffff0080daa08: c1e60e94  bl	#0xfffffff00849450c
0xfffffff0080daa0c: 0c000000  udf	#0xc
0xfffffff0080daa10: 28000000  udf	#0x28
0xfffffff0080daa14: 60000000  udf	#0x60
0xfffffff0080daa18: 98000000  udf	#0x98
0xfffffff0080daa1c: d0000000  udf	#0xd0
0xfffffff0080daa20: 50040000  udf	#0x450
0xfffffff0080daa24: 50040000  udf	#0x450
0xfffffff0080daa28: 50040000  udf	#0x450
0xfffffff0080daa2c: e4000000  udf	#0xe4
0xfffffff0080daa30: 7f2303d5  pacibsp	
0xfffffff0080daa34: ff0302d1  sub	sp, sp, #0x80
0xfffffff0080daa38: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff0080daa3c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0080daa40: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0080daa44: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0080daa48: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0080daa4c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0080daa50: fdc30191  add	x29, sp, #0x70
0xfffffff0080daa54: f50304aa  mov	x21, x4
0xfffffff0080daa58: f80303aa  mov	x24, x3
0xfffffff0080daa5c: f70302aa  mov	x23, x2
0xfffffff0080daa60: f90301aa  mov	x25, x1
0xfffffff0080daa64: f30300aa  mov	x19, x0
0xfffffff0080daa68: ff0f00f9  str	xzr, [sp, #0x18]
0xfffffff0080daa6c: 086840a9  ldp	x8, x26, [x0]
0xfffffff0080daa70: 161940f9  ldr	x22, [x8, #0x30]
0xfffffff0080daa74: c80e40f9  ldr	x8, [x22, #0x18]
0xfffffff0080daa78: 083d40f9  ldr	x8, [x8, #0x78]
0xfffffff0080daa7c: a80000b4  cbz	x8, #0xfffffff0080daa90
