; Candidate 13299
; ADRP+ADD at VM 0xfffffff00927e124 (fileoff 0x227a124): page=0x1fe23d000 add_imm=0xe38

0xfffffff00927e0a4: 0008611e  fmul	d0, d0, d1
0xfffffff00927e0a8: 80f61afd  str	d0, [x20, #0x35e8]
0xfffffff00927e0ac: 9ffa1af9  str	xzr, [x20, #0x35f0]
0xfffffff00927e0b0: e00315aa  mov	x0, x21
0xfffffff00927e0b4: a2b9ac97  bl	#0xfffffff007dac73c
0xfffffff00927e0b8: 700240f9  ldr	x16, [x19]
0xfffffff00927e0bc: f10313aa  mov	x17, x19
0xfffffff00927e0c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00927e0c4: 301ac1da  autda	x16, x17
0xfffffff00927e0c8: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff00927e0cc: e90310aa  mov	x9, x16
0xfffffff00927e0d0: e00313aa  mov	x0, x19
0xfffffff00927e0d4: f10309aa  mov	x17, x9
0xfffffff00927e0d8: b116e7f2  movk	x17, #0x38b5, lsl #48
0xfffffff00927e0dc: 11093fd7  blraa	x8, x17
0xfffffff00927e0e0: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff00927e0e4: c948ff90  adrp	x9, #0xfffffff007b96000
0xfffffff00927e0e8: 29c946f9  ldr	x9, [x9, #0xd90]
0xfffffff00927e0ec: 290140f9  ldr	x9, [x9]
0xfffffff00927e0f0: 3f0108eb  cmp	x9, x8
0xfffffff00927e0f4: 21010054  b.ne	#0xfffffff00927e118
0xfffffff00927e0f8: 20008052  mov	w0, #1
0xfffffff00927e0fc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00927e100: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00927e104: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00927e108: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00927e10c: ffc30191  add	sp, sp, #0x70
0xfffffff00927e110: ff0f5fd6  retab	
0xfffffff00927e114: b3310094  bl	#0xfffffff00928a7e0
0xfffffff00927e118: 4d7fab97  bl	#0xfffffff007d5de4c
0xfffffff00927e11c: 48008052  mov	w8, #2
0xfffffff00927e120: ed2300a9  stp	x13, x8, [sp]
0xfffffff00927e124: e011ffb0  adrp	x0, #0xfffffff0074bb000
0xfffffff00927e128: 00e03891  add	x0, x0, #0xe38
0xfffffff00927e12c: f858c897  bl	#0xfffffff00849450c
0xfffffff00927e130: 7f2303d5  pacibsp	
0xfffffff00927e134: ff4301d1  sub	sp, sp, #0x50
0xfffffff00927e138: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00927e13c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00927e140: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00927e144: fd030191  add	x29, sp, #0x40
0xfffffff00927e148: 10a44739  ldrb	w16, [x0, #0x1e9]
0xfffffff00927e14c: 1f1a0071  cmp	w16, #6
0xfffffff00927e150: 28100054  b.hi	#0xfffffff00927e354
0xfffffff00927e154: f30301aa  mov	x19, x1
0xfffffff00927e158: 1f1a00f1  cmp	x16, #6
0xfffffff00927e15c: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00927e160: 11000090  adrp	x17, #0xfffffff00927e000
0xfffffff00927e164: 31e20e91  add	x17, x17, #0x3b8
0xfffffff00927e168: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00927e16c: 11000010  adr	x17, #0xfffffff00927e16c
0xfffffff00927e170: 3002108b  add	x16, x17, x16
0xfffffff00927e174: 00021fd6  br	x16
0xfffffff00927e178: 9f2403d5  bti	j
0xfffffff00927e17c: 09ac4739  ldrb	w9, [x0, #0x1eb]
0xfffffff00927e180: 083043b9  ldr	w8, [x0, #0x330]
0xfffffff00927e184: 0a244d39  ldrb	w10, [x0, #0x349]
0xfffffff00927e188: 4b8500b0  adrp	x11, #0xfffffff00a327000
0xfffffff00927e18c: 6bd11a91  add	x11, x11, #0x6b4
0xfffffff00927e190: 6b0140b9  ldr	w11, [x11]
0xfffffff00927e194: 0b0e0034  cbz	w11, #0xfffffff00927e354
0xfffffff00927e198: cb48ff90  adrp	x11, #0xfffffff007b96000
0xfffffff00927e19c: 6bf546f9  ldr	x11, [x11, #0xde8]
0xfffffff00927e1a0: 6b0140b9  ldr	w11, [x11]
